index 513
DMU 250
input 3
output 3
instance 3
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   27   20   44   44   42   45    78   18
  2   22   29   43   45   44   47    93   14
  3   10   41   28   18   21   22    63    4
  4   31   13   45   47   43   46    84   18
  5   34   23   12   29   29   26    99    7
  6   40   23   11   35   35   32    68   19
  7   46   13   33   38   34   34    78   11
  8   28   11   23   30   28   28    77   12
  9   41   26   46   41   38   40    86    6
 10   28   49   43   40   42   43    86    7
 11   33   37   20   30   32   30    69   11
 12   30   19   11   18   18   16    94    0
 13   28   43   23   33   36   34    99    5
 14   10   34   35   34   36   38    86   12
 15   10   50   39   28   32   35    91    1
 16   44   35   17   23   24   21    63    4
 17   24   38   14   35   39   36    89   16
 18   20   34   23   19   21   21    78    1
 19   45   26   48   53   49   51    89   14
 20   19   30   40   43   43   45    75   20
 21   41   19   17   40   38   35    97   14
 22   13   23   22   30   31   32    72   17
 23   35   14   38   32   28   30    90    2
 24   39   13   44   47   41   44    99   10
 25   21   24   30   32   32   33    78   12
 26   38   45   26   46   48   46    81   19
 27   43   13   45   45   41   43    64   20
 28   30   32   46   33   32   34    61   10
 29   27   42   43   39   40   42    77   11
 30   17   38   13   30   34   32    79   16
 31   16   18   41   25   23   26    67    6
 32   25   23   39   46   44   47    89   18
 33   24   33   22   19   21   20    79    0
 34   30   28   35   40   39   40   100    8
 35   37   35   40   43   43   43    77   14
 36   33   23   27   34   33   32    61   16
 37   17   20   46   33   31   36    88    6
 38   47   38   29   44   44   41    88   11
 39   15   36   12   16   19   17    65    5
 40   47   38   36   40   40   39    80    8
 41   43   40   32   24   24   23    64    0
 42   20   36   36   45   46   48    87   19
 43   48   44   33   41   42   40    63   16
 44   21   38   28   42   45   45    94   17
 45   46   45   36   39   40   39    86    4
 46   34   26   37   42   40   41    96    9
 47   42   23   11   33   33   29    90   11
 48   20   20   34   39   37   40    94   14
 49   13   29   40   25   25   28    68    6
 50   18   30   36   23   24   26    69    4
 51   19   35   48   49   49   53    88   18
 52   22   38   48   39   40   43    97    4
 53   27   19   13   26   26   24    89    9
 54   36   19   25   41   39   39    86   17
 55   47   34   42   36   34   34    67    7
 56   41   46   22   35   37   34    69   12
 57   24   43   48   40   40   43    65   15
 58   22   31   36   37   37   38    63   18
 59   23   44   26   26   29   28    62    9
 60   49   16   24   34   32   31    60   15
 61   38   28   21   19   19   17    65    0
 62   29   27   27   38   38   38    99   11
 63   12   12   25   18   17   19    83    3
 64   42   31   28   35   34   32    99    1
 65   27   11   24   21   19   19    83    2
 66   24   15   28   28   26   27    65   12
 67   28   36   13   25   28   25    69   10
 68   39   36   13   33   34   31    63   16
 69   21   11   43   24   21   25    72    3
 70   42   29   35   27   25   25    64    3
 71   13   48   44   45   48   52    92   15
 72   27   25   35   37   36   37    68   16
 73   41   48   27   51   54   50    92   18
 74   38   29   31   40   39   39    68   17
 75   14   50   49   31   34   37    76    4
 76   33   27   24   25   25   24    78    3
 77   32   36   11   34   37   33    76   17
 78   47   36   25   30   30   28    74    4
 79   14   20   46   25   23   28    78    2
 80   12   39   19   38   43   42    98   19
 81   15   35   48   26   26   30    72    2
 82   33   19   50   30   26   30    77    0
 83   13   34   47   25   26   29    73    2
 84   16   39   42   34   36   38    83    8
 85   23   23   15   29   30   28    72   15
 86   47   18   37   42   39   39    66   17
 87   13   47   45   43   46   49    77   18
 88   10   40   39   25   28   31    84    2
 89   38   12   24   43   40   39    87   19
 90   10   36   39   29   30   33    66   11
 91   32   17   13   24   23   20    98    3
 92   12   29   19   12   13   13    65    0
 93   21   24   24   35   35   35    95   13
 94   14   29   14   20   22   21    71    8
 95   14   50   26   20   24   24    65    4
 96   45   10   29   38   35   35    60   19
 97   12   40   17   20   23   22    60    9
 98   27   29   27   26   27   27    71    7
 99   42   25   27   39   37   36    82   12
100   39   36   40   29   29   29    67    3
101   35   38   24   30   31   30    63   11
