index 392
DMU 200
input 3
output 3
instance 2
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   25   38   41   39   38   39    73   14
  2   26   38   26   29   29   30    87    4
  3   37   19   42   39   39   38    75   13
  4   18   47   46   43   40   42    78   15
  5   48   20   15   36   39   37    84   12
  6   37   18   13   32   34   33    77   14
  7   16   13   17   14   14   14    72    3
  8   22   34   27   37   36   37    77   16
  9   42   23   22   30   32   31    69   10
 10   48   24   12   29   32   31    85    5
 11   23   11   12   22   23   22   100    6
 12   47   45   48   51   51   51    76   15
 13   35   40   28   33   33   34    84    5
 14   17   19   17   18   18   18    98    1
 15   13   49   34   38   34   37    99    8
 16   13   21   37   34   32   32    89   12
 17   17   26   13   16   16   17    80    2
 18   30   40   23   37   37   38    83   12
 19   46   48   37   42   42   42    62   15
 20   25   36   37   35   33   34    79    9
 21   25   50   38   45   43   45    81   16
 22   48   42   23   25   27   27    61    3
 23   49   15   40   34   36   33    72    7
 24   49   46   14   43   45   45    72   18
 25   42   48   24   30   30   31    70    4
 26   35   12   46   43   43   41    76   17
 27   17   36   29   36   35   36    68   18
 28   13   34   42   25   22   24    82    1
 29   19   46   47   45   42   44    90   12
 30   42   31   20   24   25   25    74    1
 31   36   44   25   34   34   35    63   13
 32   49   30   28   50   52   51    85   19
 33   39   35   23   34   35   34    62   14
 34   26   30   38   37   36   36    89    9
 35   13   26   17   16   15   16    77    2
 36   50   11   32   43   46   43    84   15
 37   44   13   49   45   46   44    68   19
 38   43   47   48   32   31   31    60    4
 39   28   11   41   43   43   41    94   16
 40   46   38   29   52   54   53    89   19
 41   44   36   33   40   41   40    61   17
 42   36   45   11   31   32   33    68   12
 43   19   26   22   33   33   33    64   19
 44   13   19   40   29   28   28    61   14
 45   48   32   30   35   36   35    77    6
 46   36   18   47   39   39   38    81   10
 47   16   47   42   40   37   40    81   13
 48   50   34   27   34   36   35    91    0
 49   18   43   16   25   24   26    87    5
 50   15   34   33   43   41   43    99   17
 51   40   49   38   29   29   30    71    0
 52   34   15   14   25   26   25    72    9
 53   23   13   39   23   23   22    71    4
 54   35   14   19   40   42   41    94   18
 55   20   50   10   19   18   20    63    4
 56   11   27   50   40   36   37    99   10
 57   12   41   45   28   26   27    61    9
 58   33   26   20   30   31   31    85    8
 59   39   38   30   41   42   42    96    7
 60   49   19   30   44   46   44    92   12
 61   13   41   42   27   24   25    82    1
 62   43   40   44   34   34   33    74    2
 63   46   35   28   29   31   30    75    2
 64   24   24   13   13   14   14    63    1
 65   19   39   16   26   25   27    61   12
 66   21   35   38   39   38   39    65   19
 67   24   30   21   28   28   29    92    6
 68   25   35   31   26   26   26    75    4
 69   33   19   49   30   30   29    76    3
 70   34   24   34   37   38   37    71   15
 71   36   22   42   37   38   36    98    3
 72   24   31   39   36   35   35    63   16
 73   15   13   42   23   22   21    89    1
 74   27   37   46   35   34   35    66   11
 75   37   43   26   41   41   41    66   18
 76   39   47   13   36   38   39    95    7
 77   24   41   14   20   20   22    72    3
 78   14   50   41   40   37   40    88   11
 79   43   18   15   33   36   34    87   10
 80   30   38   26   32   32   33    89    5
 81   12   18   12   11   11   11    66    2
 82   29   48   14   35   35   36    78   13
 83   46   13   23   38   41   38    96   10
 84   45   45   40   47   47   47    86   10
 85   14   17   35   37   36   36    85   18
 86   40   23   33   34   35   34    67   12
 87   27   33   21   35   35   36    62   19
 88   37   13   49   44   45   42    87   13
 89   46   50   18   35   36   36    68   10
 90   35   21   39   34   35   34    64   13
 91   45   38   17   42   44   44    74   18
 92   36   19   36   36   36   35    71   13
 93   15   13   13   22   22   22    86   10
 94   43   16   14   23   25   24    63    7
 95   11   37   35   36   33   35    90   12
 96   26   17   24   30   30   30    95    8
 97   25   22   44   44   43   42    75   20
 98   14   47   43   48   45   47    91   18
 99   20   42   14   26   25   27    83    7
100   19   16   37   21   21   20    85    0
101   32   23   44   45   45   44    96   12
102   46   37   31   50   51   51    79   20
103   40   26   48   53   53   52    85   19
104   45   41   17   43   45   45    70   20
105   35   23   45   38   38   36    96    3
106   34   39   48   27   26   26    64    1
107   43   31   32   39   40   39    80   10
108   19   15   10   17   18   18    83    5
109   50   49   17   41   43   44    87    9
110   18   27   49   29   27   27    84    2
111   11   46   15   35   33   36    75   19
112   47   40   20   34   36   35    91    2
113   40   44   49   44   44   44    84    7
114   17   47   12   29   28   30    66   14
115   36   42   25   42   42   43    99    9
116   31   15   34   35   35   34    91    9
117   22   21   23   15   15   15    65    1
118   33   14   35   32   32   31    71   11
119   18   42   35   27   25   27    75    4
120   36   32   30   41   42   42    87   13
121   42   32   22   32   33   33    75    8
122   42   33   37   33   34   33    69    7
123   38   48   11   48   50   51    98   19
124   31   35   37   42   42   42    77   16
125   47   28   11   35   38   37    89   10
126   45   45   11   45   47   47    87   17
127   14   36   32   36   34   36    68   18
128   40   20   30   28   29   28    60    9
129   43   40   28   40   41   41    68   15
130   21   18   22   29   29   29    93   10
131   39   17   22   25   27   25    91    0
132   29   36   29   49   49   49    98   19
133   24   20   28   39   39   39    86   18
134   11   20   48   32   29   29    90    7
135   20   18   47   35   34   34    64   16
136   29   36   14   21   21   22    64    5
137   28   15   42   31   31   30    84    6
138   14   25   43   27   25   26    91    2
139   27   43   32   37   36   37    67   15
140   44   17   26   30   32   31    67   10
141   20   28   33   25   25   25    61    9
142   32   32   16   45   47   47    99   20
143   37   13   39   37   39   37    83   11
144   33   28   14   36   38   38    80   17
145   44   44   20   47   48   49   100   12
146   35   39   23   34   34   35    64   14
147   36   23   23   40   41   40    86   16
148   36   29   26   34   35   35    60   16
149   38   48   23   45   45   46    77   18
150   41   41   18   30   31   31    77    5
151   50   18   16   32   36   33    96    4
152   48   29   42   44   46   44    93    6
153   12   38   18   14   13   14    62    1
154   49   18   33   35   37   35    82    6
155   27   14   46   20   19   18    63    0
156   20   46   47   48   44   47    97   12
157   32   29   28   49   50   50    99   20
158   20   33   34   33   32   33    75   12
159   16   16   18   26   26   26    65   15
160   28   19   44   37   37   36    95    7
161   33   20   38   25   26   25    70    3
162   39   46   33   46   46   47   100    8
163   41   43   19   49   50   51    94   18
164   45   20   49   40   41   39    96    1
165   35   21   40   44   44   43    98   11
166   38   17   12   25   27   26    82    6
167   41   39   48   51   50   50    80   16
168   30   47   29   40   39   40    88   10
169   12   47   27   31   28   31    74   11
170   29   49   24   34   33   35    71   11
171   18   29   28   25   25   25    71    8
172   24   19   19   29   29   29    90   10
173   20   16   41   37   36   36    75   17
174   14   46   32   25   23   25    69    5
175   44   47   34   45   46   46    74   15
176   21   15   30   21   21   20    70    5
177   37   43   41   58   57   58    99   18
178   12   17   18   20   19   20    76    8
179   45   32   40   50   51   50    88   15
180   20   20   49   40   38   38    69   18
181   20   22   25   21   21   21    64    7
182   15   28   27   24   22   23    99    1
183   15   13   39   40   39   39    90   19
184   26   28   17   34   34   35    91   13
185   40   31   30   26   27   27    63    5
186   42   13   16   37   40   38    92   14
187   40   21   43   43   43   42    81   13
188   26   11   40   31   30   29    81    8
189   42   21   38   42   43   42    68   18
190   38   22   50   43   43   41    90    8
191   34   31   41   30   30   30    81    1
192   33   47   34   47   46   47    83   16
193   26   37   49   41   39   40    80   11
194   13   22   41   33   31   32    78   13
195   45   39   50   53   53   52    87   13
196   44   31   12   34   36   35    76   12
197   28   29   46   34   33   33    67   10
198   18   32   20   27   26   27    90    7
199   24   23   12   20   20   20    97    1
200   43   35   15   40   42   42    73   18
