index 573
DMU 250
input 5
output 5
instance 3
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   41   19   17   13   23   43   38   42   40   40    98   18
  2   22   35   14   38   39   27   27   28   27   29    81    3
  3   13   44   21   24   30   40   41   40   38   40    91   16
  4   38   45   26   43   13   44   43   42   42   43    93   13
  5   45   30   32   46   27   43   42   43   44   43    75   16
  6   42   43   17   38   13   33   31   32   31   31    62   13
  7   16   18   41   25   23   24   27   24   26   25    87    4
  8   39   24   33   22   30   47   45   46   46   45    98   17
  9   28   35   37   35   40   42   43   42   42   42    69   18
 10   33   23   27   17   20   29   27   28   28   27    96    5
 11   46   47   38   29   15   43   40   41   40   40    83   13
 12   36   12   47   38   36   43   45   43   47   44    95   12
 13   43   40   32   20   36   47   43   46   43   44    89   14
 14   36   48   44   33   21   37   37   36   36   35    80    8
 15   38   28   46   45   36   43   44   43   45   43    66   18
 16   34   26   37   42   23   35   37   35   37   36    72   13
 17   11   20   20   34   13   27   29   27   28   28    67   15
 18   29   40   18   30   36   38   37   38   36   38    75   14
 19   19   35   48   22   38   36   37   36   36   36    81   10
 20   48   27   19   13   36   39   35   39   36   37    79   14
 21   19   25   47   34   42   45   49   46   48   47    80   20
 22   41   46   22   24   43   33   31   33   30   32    67    8
 23   48   22   31   36   23   42   41   41   43   41    71   19
 24   44   26   49   16   24   28   26   26   27   25    76    3
 25   38   28   21   29   27   35   33   34   34   34    90    8
 26   27   12   12   25   42   25   24   27   26   26    90    3
 27   31   28   27   11   24   29   27   28   27   27    74   10
 28   24   15   28   28   36   25   26   25   26   26    61    9
 29   13   39   36   13   21   35   36   34   33   34    91   13
 30   11   43   42   29   35   20   22   20   20   21    62    1
 31   13   48   44   27   25   38   40   37   37   38    99    8
 32   35   41   48   27   38   29   29   29   29   29    64    5
 33   29   31   14   50   49   42   44   45   44   46    81   15
 34   33   27   24   32   36   34   33   34   34   34    80    9
 35   11   47   36   25   14   35   37   34   34   35    83   14
 36   20   46   12   39   19   35   35   35   33   35    73   15
 37   15   35   48   33   19   28   31   28   30   29    67   10
 38   50   13   34   47   16   39   39   38   42   39    87   12
 39   39   42   23   23   15   29   26   27   26   26    79    5
 40   47   18   37   13   47   40   37   40   39   38    77   13
 41   45   10   40   39   38   36   36   36   39   36    79    9
 42   12   24   10   36   39   22   24   24   24   25    79    4
 43   32   17   13   12   29   28   26   28   27   27    81   10
 44   19   21   24   24   14   27   28   26   28   27    96    8
 45   29   14   14   50   26   23   24   24   26   25    75    4
 46   45   10   29   12   40   25   23   25   25   24    69    5
 47   17   27   29   27   42   30   32   32   31   32    98    3
 48   25   27   39   36   40   39   41   40   41   41    73   16
 49   35   38   24   13   46   29   26   29   26   27    86    0
 50   13   12   31   47   37   27   31   29   32   31    76    8
 51   32   11   24   33   22   37   38   38   39   38    81   18
 52   27   42   47   14   11   32   31   29   29   28    93    5
 53   46   11   24   41   32   33   32   34   35   34    81    8
 54   17   20   23   43   14   18   21   19   21   20    73    3
 55   34   35   14   12   40   41   36   41   36   39    99   11
 56   39   41   46   28   40   40   39   39   39   39    65   14
 57   21   43   34   19   39   32   32   32   30   31    75    8
 58   22   18   12   25   12   25   25   25   26   25    81   11
 59   19   44   43   50   47   40   43   41   41   42    65   15
 60   14   10   35   12   44   29   31   30   31   30    84   10
 61   45   34   26   19   27   46   42   45   43   43    86   18
 62   31   21   26   49   23   41   43   41   44   43    91   15
 63   32   31   17   17   46   39   37   40   37   39    79   15
 64   14   29   33   32   48   42   44   43   43   44    79   18
 65   13   22   18   38   16   24   26   24   25   25    61   12
 66   14   25   43   28   26   29   32   29   31   30    86    7
 67   32   30   12   23   10   21   18   19   18   19    91    0
 68   20   43   45   33   19   37   39   36   37   37    81   12
 69   13   14   21   12   15   32   32   32   32   32    87   19
 70   15   40   34   32   41   36   38   37   36   37    85    9
 71   27   13   47   33   20   33   36   33   36   34    71   15
 72   38   15   38   11   47   51   49   52   51   50    99   20
 73   18   33   14   43   17   32   33   32   32   33    63   17
 74   15   12   16   12   14   18   17   17   18   17    90    5
 75   11   34   32   43   35   35   39   37   37   38    65   17
 76   23   14   45   14   24   30   31   30   31   30    61   16
 77   28   10   26   15   14   33   32   32   34   32    90   16
 78   38   13   16   28   11   35   34   35   36   34    74   19
 79   40   42   30   35   28   32   31   31   31   31    90    0
 80   13   10   17   34   19   36   39   37   39   39   100   19
 81   18   41   10   45   23   23   24   24   23   25    75    3
 82   19   26   24   28   33   30   31   31   31   32    91    7
 83   22   17   36   39   38   40   44   42   45   44    97   13
 84   39   34   21   21   15   33   30   31   30   31    71   13
 85   32   31   29   30   32   40   39   40   40   40    93   11
 86   16   20   16   48   26   24   28   26   28   28    97    2
 87   48   34   41   34   36   45   44   45   45   44    79   14
 88   38   19   15   10   28   27   22   26   24   24    99    2
 89   31   25   44   13   28   37   36   36   36   35    68   17
 90   11   15   42   30   45   27   32   29   31   31    86    5
 91   43   27   39   16   25   47   44   45   45   44    94   17
 92   45   38   16   34   36   42   39   42   40   41    87   11
 93   38   18   24   17   34   34   32   34   34   33    80   12
 94   48   49   49   34   29   42   40   40   40   39    74   10
 95   13   23   47   18   12   21   23   20   22   20    65    7
 96   18   38   34   14   29   33   33   33   31   32    93    8
 97   44   34   36   32   20   39   38   38   39   37    87   10
 98   41   32   20   45   28   45   44   45   45   45    86   16
 99   45   20   37   32   49   35   35   36   37   36    79    6
100   46   10   10   10   46   26   22   27   25   25    80    4
101   11   44   16   17   19   23   23   23   20   23    93    3
102   40   46   46   22   44   55   53   54   52   53    92   17
103   16   15   42   35   28   23   27   24   27   25    75    5
104   28   21   31   37   45   35   36   36   36   36    62   15
105   25   16   47   48   25   27   30   27   31   29    65    8
106   20   16   32   42   30   25   28   26   28   27    77    5
107   29   21   14   45   24   34   35   35   36   36    98    9
108   12   40   35   24   37   27   29   27   26   28    79    4
