index 123
DMU 100
input 2
output 2
instance 3
DMU   i1   i2   o1   o2   eff  err
  1   43   22   40   47    91   16
  2   13   36   28   21    74    5
  3   42   13   27   36    78   12
  4   27   21   22   23    62    8
  5   36   27   42   45    96   14
  6   31   29   25   26    76    3
  7   36   39   39   38    70   12
  8   27   12   20   24    68   10
  9   47   30   33   39    93    2
 10   43   49   45   43    89    3
 11   50   37   36   40    78    5
 12   15   21   31   29    79   15
 13   13   42   30   21    81    1
 14   43   10   28   40    93   12
 15   30   39   34   31    78    5
 16   18   17   32   32    91   16
 17   32   30   35   36    99    5
 18   23   39   29   25    67    5
 19   48   12   31   40    73   16
 20   48   12   35   48    98   15
 21   42   16   27   35    81    9
 22   37   11   29   37    83   15
 23   19   11   19   22    73   10
 24   15   14   25   25    85   13
 25   47   10   31   42    79   17
 26   24   42   35   29    81    4
 27   45   22   22   28    70    3
 28   21   27   22   20    78    2
 29   35   17   38   44    95   18
 30   43   42   44   44    90    6
 31   32   46   35   32    63    8
 32   11   24   17   14    71    2
 33   18   28   30   27    61   14
 34   25   13   20   25    98    5
 35   36   37   45   44    92   11
 36   19   11   21   24    96    9
 37   49   37   48   52    86   14
 38   30   21   21   24    76    4
 39   32   43   52   48    83   18
 40   26   38   31   28    68    7
 41   33   16   21   27    94    2
 42   40   48   46   44    78   10
 43   25   49   45   39    68   15
 44   31   42   56   52    96   18
 45   26   38   44   40    96   10
 46   44   32   41   45    94    8
 47   41   45   57   55    92   16
 48   21   17   13   14    62    2
 49   12   42   25   17    67    1
 50   47   21   42   52    95   17
 51   35   19   22   26    65    7
 52   45   45   65   65    99   20
 53   30   26   26   28    76    6
 54   33   25   39   42    80   18
 55   25   49   47   39    91    7
 56   48   12   36   48    94   17
 57   29   19   28   31    90    9
 58   49   27   35   42    88    7
 59   27   49   50   43    88   11
 60   34   20   40   45    91   19
 61   20   34   28   24    70    6
 62   30   24   31   33    71   13
 63   46   17   38   48    94   16
 64   14   42   29   23    60    8
 65   23   22   33   33    84   14
 66   35   48   56   52    80   20
 67   41   13   28   36    75   14
 68   29   49   41   36    75    8
 69   42   25   22   26    68    2
 70   33   18   24   27    68    9
 71   47   31   40   46    91    9
 72   14   20   30   28    70   17
 73   28   31   34   34    67   14
 74   44   39   30   31    64    4
 75   48   17   24   35    89    3
 76   18   16   25   26    96    9
 77   16   36   27   22    74    4
 78   43   30   38   43    92    8
 79   39   44   43   42    71   13
 80   29   42   32   29    75    3
 81   25   42   54   48    93   18
 82   25   34   28   25    84    1
 83   11   45   35   24    86    3
 84   17   25   22   20    68    6
 85   50   28   33   40    93    2
 86   16   44   51   41    99   14
 87   26   34   30   28    81    4
 88   12   27   35   30    97   12
 89   24   16   17   19    77    3
 90   20   23   21   20    87    2
 91   17   19   24   24    88    8
 92   25   16   17   19    64    5
 93   25   27   33   32    60   17
 94   18   25   28   26    95    6
 95   26   27   30   29    77    9
 96   35   38   46   45    77   17
 97   23   20   17   18    84    0
 98   24   34   37   35    66   16
 99   45   22   31   38    81    9
100   18   18   24   24    70   11
