index 518
DMU 250
input 3
output 3
instance 8
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   40   45   19   48   46   40    87   16
  2   29   18   20   18   16   16    68    1
  3   28   20   37   38   38   41    91   12
  4   30   30   14   37   35   32    80   16
  5   47   31   32   38   33   33    92    1
  6   36   40   24   36   36   32    74   11
  7   12   28   22   30   33   32    63   19
  8   48   11   42   42   36   42    89    8
  9   39   19   13   33   27   25    78   10
 10   19   31   38   26   29   30    61   10
 11   46   48   31   54   52   48    85   17
 12   45   49   17   40   37   31    69   12
 13   27   36   35   35   36   37    70   13
 14   34   33   15   41   39   35    70   20
 15   23   19   23   22   22   22    63    8
 16   32   29   33   43   43   44    80   18
 17   13   19   31   25   28   30    62   14
 18   17   16   23   23   24   26    90    7
 19   48   41   29   42   38   35    90    4
 20   38   22   24   48   43   43    98   17
 21   40   32   38   28   27   28    62    5
 22   25   21   41   24   26   29    67    6
 23   15   47   17   28   32   27    78   10
 24   21   32   33   29   32   33    94    4
 25   26   16   12   18   15   14    61    5
 26   44   38   43   35   34   35    75    3
 27   10   12   37   27   31   37    86   13
 28   35   42   45   44   46   47    75   15
 29   14   22   46   30   36   42    89   10
 30   39   38   40   35   35   35    89    0
 31   18   49   36   40   47   45    81   17
 32   38   34   34   40   39   39    70   15
 33   20   46   32   27   31   29    76    5
 34   17   49   40   26   32   32    72    5
 35   45   28   14   24   19   16    64    2
 36   34   40   24   36   36   32    91    6
 37   25   49   45   47   52   53    80   19
 38   45   39   23   43   41   38    60   20
 39   34   26   11   29   25   22    76    8
 40   39   36   12   34   31   27    61   14
 41   47   12   37   47   41   45    87   15
 42   32   45   11   32   31   24    90    5
 43   41   18   49   41   40   44    67   16
 44   38   41   24   39   37   33    98    4
 45   22   41   24   37   39   37    63   20
 46   38   49   41   39   41   40    90    2
 47   30   40   44   41   44   46    85   11
 48   39   19   31   48   44   46    85   20
 49   26   12   37   26   26   30    71    8
 50   40   21   41   42   40   43    64   19
 51   35   35   11   35   32   26    87    9
 52   26   43   24   41   43   39    84   16
 53   16   35   37   25   30   32    88    3
 54   20   46   28   31   37   33    99    4
 55   38   12   22   41   36   37    73   20
 56   13   38   30   24   30   29    87    5
 57   28   13   26   26   24   26    88    5
 58   50   45   44   51   49   48    98    4
 59   38   31   28   28   26   25    67    5
 60   42   15   39   50   46   51    89   19
 61   39   24   34   26   24   25    66    3
 62   34   42   26   37   37   34    80   10
 63   22   29   43   29   32   35    75    8
 64   35   49   29   41   42   39    85   10
 65   29   11   15   32   28   28    87   13
 66   27   15   31   31   29   33    94    7
 67   16   20   30   34   36   39    85   17
 68   32   39   41   43   45   45    68   19
 69   17   13   11   22   21   20    82   10
 70   13   33   43   35   41   43    74   17
 71   50   34   24   29   24   22    68    1
 72   27   35   27   44   45   44    94   17
 73   14   11   15   16   16   17    98    3
 74   47   24   13   36   28   24    94    4
 75   22   11   12   14   11   11    81    0
 76   27   23   37   33   33   37    94    6
 77   46   41   39   30   29   28    60    4
 78   22   35   41   43   47   49    88   17
 79   35   33   47   48   49   52    78   19
 80   12   10   14   10   10   11    62    3
 81   50   30   14   50   43   38    86   18
 82   21   13   46   42   44   52    89   20
 83   36   45   16   47   45   38    94   15
 84   45   41   16   42   38   32    84   10
 85   33   44   32   28   29   27    78    0
 86   45   23   15   37   30   27    87    8
 87   18   24   21   24   25   25    76    9
 88   31   18   26   25   23   24    78    4
 89   47   30   26   37   33   31    69   10
 90   38   18   22   25   21   21    75    3
 91   36   30   19   36   33   31    70   14
 92   29   47   18   33   33   29    64   13
 93   34   27   31   35   34   34    79   10
 94   12   42   15   20   24   20    87    3
 95   29   43   34   37   39   38    80   10
 96   39   43   13   28   25   20    69    4
 97   43   41   44   40   40   40    72    9
 98   12   21   29   13   15   17    62    2
 99   13   42   11   34   38   32    95   16
100   24   33   17   29   29   27    65   13
101   27   39   13   19   19   14    67    1
102   16   40   37   30   36   36    81    9
103   16   46   29   36   40   38    62   20
104   19   22   35   22   24   26    60    8
105   39   48   34   54   54   51    89   18
106   10   32   13   13   16   13    69    2
107   12   44   18   20   24   21    68    6
108   39   34   43   44   44   45    74   15
109   46   23   28   41   37   37    74   14
110   33   29   47   41   42   45    62   19
111   11   14   43   29   34   42    93   12
112   15   25   48   32   37   42    78   13
113   21   11   19   31   30   31    60   20
114   19   33   36   31   34   35    62   15
115   46   44   42   56   56   55    86   18
116   12   39   39   18   24   25    71    1
117   25   31   10   21   20   15    81    2
118   20   19   12   30   28   27    99   12
119   17   40   26   33   37   35    79   14
120   11   12   25   20   22   25    78    9
121   26   37   41   29   32   33    61   10
122   16   50   45   37   44   44    73   15
123   38   20   50   48   47   53    90   15
124   42   43   46   55   56   57    96   14
125   19   34   19   34   36   33    84   15
126   16   29   10   21   22   19    73    8
127   17   31   29   32   35   36    87   12
128   23   16   35   32   32   35    66   16
129   18   11   35   28   29   34    75   13
130   35   13   10   16   12   10    62    1
131   48   49   39   41   40   38    60   13
132   35   31   39   45   45   47    78   18
133   35   40   42   30   31   32    64    6
134   49   49   41   36   35   34    64    6
135   47   14   16   35   28   27    66   13
136   45   33   26   46   42   40    82   15
137   24   19   34   36   37   40    88   14
138   25   22   35   25   25   28    78    4
139   36   21   15   25   21   19    78    3
140   31   25   24   25   23   23    77    3
141   34   40   38   41   42   42    69   16
142   22   32   23   42   43   42    97   18
143   23   24   35   33   34   37    88   10
144   18   33   39   31   34   36    64   14
145   44   18   14   33   25   23    85    6
146   41   13   29   34   30   31    61   14
147   20   28   48   35   38   42    61   18
148   28   31   37   43   45   47    95   14
149   13   20   42   24   27   32    70    9
150   34   36   33   39   39   38    96    6
151   10   39   36   15   21   21    64    1
152   49   11   49   36   32   37    61   11
153   19   33   35   31   35   36    89    8
154   27   21   25   20   19   20    73    2
155   43   27   40   45   43   45    81   14
156   11   49   48   23   31   32    71    3
157   42   48   50   34   36   36    69    3
158   44   47   16   34   31   24    89    0
159   35   12   21   26   22   23    63    9
160   32   45   17   41   41   35    92   12
161   36   12   23   20   16   17    72    0
162   45   13   19   48   39   39    95   17
163   43   25   11   50   43   39    95   20
164   46   35   27   41   37   35    79   10
165   40   21   22   29   25   24    80    4
166   25   21   40   27   28   31    62   10
167   45   13   18   30   23   22    74    6
168   11   23   46   19   24   28    63    6
169   29   30   23   24   23   22    81    1
170   39   20   38   46   43   46    78   19
171   49   23   10   46   36   32    95   13
172   16   27   43   29   33   37    70   12
173   42   37   45   31   31   32    72    1
174   38   20   13   47   40   38    93   20
175   23   22   14   36   35   33    98   16
176   37   41   34   37   38   37    63   14
177   30   11   25   22   19   22    79    3
