index 128
DMU 100
input 2
output 2
instance 8
DMU   i1   i2   o1   o2   eff  err
  1   43   34   35   34    64    9
  2   49   16   41   39    64   16
  3   26   11   26   25    76   10
  4   44   28   37   36    62   13
  5   28   31   40   40    76   18
  6   26   27   21   21    63    4
  7   35   22   26   25    74    3
  8   37   25   41   40    76   16
  9   18   14   33   32    94   17
 10   11   29   27   28    89   12
 11   34   31   25   25    62    5
 12   11   14   28   28    88   17
 13   31   40   50   51    92   19
 14   39   13   32   30    74    9
 15   10   41   25   27    77   10
 16   26   26   30   30    71   12
 17   20   27   41   41    94   20
 18   32   46   28   28    70    2
 19   49   48   51   51    83   11
 20   39   23   46   45    77   20
 21   21   17   26   26    76   11
 22   49   16   43   41    72   15
 23   20   12   30   29    90   14
 24   20   31   30   31    94    8
 25   42   37   42   42    69   14
 26   23   28   40   41    95   17
 27   26   10   19   18    82    2
 28   50   47   53   53    70   19
 29   40   17   32   30    75    7
 30   43   12   45   43    91   15
 31   22   28   33   33    90   11
 32   47   46   46   46    96    1
 33   25   29   45   45    99   19
 34   14   41   20   22    67    5
 35   35   36   24   24    66    1
 36   17   35   30   31    78   12
 37   36   23   39   38    91   10
 38   36   39   44   44    71   18
 39   22   25   31   31    90   10
 40   44   47   35   35    69    4
 41   41   44   32   33    70    3
 42   48   11   31   29    60    9
 43   28   15   30   29    91    8
 44   42   42   47   47    79   14
 45   15   49   42   45    94   18
 46   22   30   34   35    66   18
 47   33   11   23   21    75    3
 48   46   13   49   47    85   19
 49   28   41   31   32    72    8
 50   47   27   46   45    67   19
 51   43   13   40   38    80   13
 52   11   46   32   34    71   16
 53   27   48   26   27    71    2
 54   29   32   36   36   100    6
 55   19   37   38   39    86   17
 56   31   18   36   36    72   17
 57   42   22   37   36    87    6
 58   18   28   26   27    81    9
 59   24   35   40   41    81   18
 60   46   20   40   38    90    6
 61   27   31   23   23    61    6
 62   19   14   20   20    89    5
 63   15   34   33   34    80   16
 64   27   44   35   36    69   13
 65   46   40   47   47    64   19
 66   21   20   31   31    69   17
 67   24   28   33   34    73   15
 68   27   16   29   28    89    8
 69   45   44   38   38    64    9
 70   48   23   51   49    89   15
 71   18   13   29   28    65   18
 72   40   38   32   32    67    6
 73   50   28   45   44    84    9
 74   38   19   51   49    96   20
 75   40   12   35   33    94    6
 76   24   27   34   34    73   16
 77   38   43   39   40    82    7
 78   41   45   50   50    85   14
 79   12   13   30   30    84   20
 80   23   14   17   16    84    0
 81   21   46   40   41    85   15
 82   14   26   19   20    62    8
 83   32   45   45   46    74   18
 84   13   21   23   23    70   12
 85   26   13   25   24   100    3
 86   32   19   28   27    72    8
 87   27   39   41   42    90   13
 88   48   23   33   31    79    1
 89   29   14   28   27    80    9
 90   44   11   25   23    69    2
 91   33   15   37   35    79   15
 92   32   17   44   43    96   18
 93   35   22   33   32    91    5
 94   29   35   36   36    86    9
 95   16   32   22   23    84    4
 96   23   16   18   18    64    5
 97   20   25   24   24    68    9
 98   44   26   30   29    66    5
 99   24   15   28   27    70   13
100   25   44   40   42    97   10
