index 183
DMU 20
input 4
output 4
instance 3
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   23   39   45   33   45   48   49   47    98   13
  2   45   32   11   21   35   31   31   33    97    6
  3   11   34   17   29   26   28   28   27    99    3
  4   47   42   36   28   50   49   50   50    84   18
  5   23   26   38   21   37   38   39   37    68   20
  6   33   25   35   11   21   22   23   22    75    4
  7   27   19   27   26   32   32   32   32    62   17
  8   48   36   38   24   32   32   32   32    91    0
  9   48   47   22   12   27   26   27   26    74    3
 10   25   43   26   32   30   31   32   31    86    3
 11   48   29   18   14   34   31   32   32    66   15
 12   11   30   14   19   17   18   19   18    77    3
 13   34   17   10   24   42   38   37   40    94   19
 14   49   24   31   29   42   39   39   40    94   10
 15   37   48   36   40   48   48   49   48    86   13
 16   38   20   35   42   31   30   29   30    69    7
 17   28   32   16   20   33   32   33   33    85   12
 18   22   38   27   41   45   45   45   45    90   15
 19   25   18   12   47   47   44   41   45    89   20
 20   47   37   45   37   50   49   50   49    95   11
