index 451
DMU 40
input 5
output 5
instance 1
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   15   31   43   42   20   41   42   42   37   41    86   15
  2   38   20   11   10   47   37   36   38   42   39    73   20
  3   28   39   30   38   40   30   33   32   32   33    89    1
  4   46   28   29   32   13   32   30   29   30   26    80    5
  5   29   11   44   18   44   37   31   37   36   39    89   10
  6   15   42   14   21   50   23   28   27   28   30    85    4
  7   29   41   50   15   36   53   47   53   50   53    99   17
  8   12   33   11   29   39   33   40   37   38   39    98   14
  9   30   35   10   33   49   37   42   40   43   42    84   15
 10   37   37   49   33   44   40   37   40   39   41    83    6
 11   44   39   15   37   47   28   32   30   34   30    77    3
 12   17   16   46   40   30   44   42   45   40   45    93   16
 13   45   23   17   45   19   43   45   41   44   39    87   16
 14   11   17   24   46   45   25   28   28   27   29    63   10
 15   15   36   27   19   31   17   18   19   17   19    68    1
 16   40   48   36   22   26   41   40   40   40   39    91    8
 17   46   14   34   18   14   26   20   22   23   20    80    1
 18   43   12   21   32   25   29   28   27   30   26    96    2
 19   22   16   26   34   18   25   25   25   24   24    73    8
 20   36   15   28   19   13   32   28   29   30   28    84   10
 21   39   49   44   16   14   28   25   26   25   25    60    6
 22   15   30   47   22   27   43   40   44   39   44    96   15
 23   39   44   39   31   24   40   39   39   38   38    89    7
 24   43   22   41   19   22   33   26   29   30   28    90    2
 25   27   11   32   42   41   23   23   24   24   25    63    5
 26   29   23   22   38   39   25   27   27   27   27    63    8
 27   42   48   11   29   21   21   24   21   24   20    62    3
 28   26   42   15   47   20   23   29   23   24   23    72    3
 29   21   46   25   23   47   23   25   25   25   27    66    4
 30   45   37   33   31   48   36   36   37   39   37    95    0
 31   16   12   35   49   10   31   31   30   27   29    65   14
 32   32   27   12   29   14   19   21   18   20   17    72    2
 33   32   27   24   31   15   35   35   33   34   32    95    9
 34   40   36   49   45   39   36   35   36   34   35    77    3
 35   42   22   45   13   46   53   45   52   52   53    99   17
 36   21   46   38   27   14   42   42   41   38   40    93   13
 37   28   24   30   12   46   40   37   41   42   44    99   13
 38   32   14   13   14   47   27   27   28   31   30    74   11
 39   24   36   34   41   16   26   27   25   23   24    76    2
 40   30   49   11   11   19   34   37   34   37   34    87   14
