index 130
DMU 100
input 2
output 2
instance 10
DMU   i1   i2   o1   o2   eff  err
  1   34   49   28   31    69    2
  2   27   42   24   26    64    4
  3   27   23   42   41    96   17
  4   37   40   36   37    82    5
  5   20   33   21   24    87    1
  6   44   18   38   33    79    9
  7   43   12   39   32    93    7
  8   42   35   48   46    89   12
  9   11   31   21   26    99    5
 10   21   49   26   32    87    1
 11   32   18   35   32    87   10
 12   25   37   38   40    88   13
 13   47   18   48   43    77   18
 14   23   37   29   31    74    9
 15   14   12   27   27    63   19
 16   14   35   38   43    98   19
 17   50   23   39   35    61   13
 18   12   21   19   21    64   10
 19   12   46   21   27    70    6
 20   21   21   26   26    92    7
 21   40   28   52   49    92   18
 22   47   43   57   56    84   18
 23   47   41   42   41    67   12
 24   14   42   37   42    79   20
 25   49   14   55   47    93   18
 26   43   21   37   32    85    5
 27   32   17   44   41    86   20
 28   24   30   35   36    92   11
 29   26   21   17   16    70    0
 30   26   45   41   46    98   11
 31   45   34   37   35    66    9
 32   41   16   51   45    95   18
 33   19   32   34   36    75   17
 34   39   18   32   29    64   11
 35   29   17   19   17    66    2
 36   50   25   58   51    98   15
 37   28   17   25   24    61   10
 38   20   39   25   29    80    5
 39   46   42   43   42    64   14
 40   49   13   32   26    71    4
 41   12   42   27   33    84   10
 42   43   44   35   35    64    7
 43   46   15   54   47    89   20
 44   31   38   37   38    93    6
 45   14   21   24   25    86   10
 46   30   22   30   29    66   12
 47   39   35   30   29    69    4
 48   14   27   31   33    74   18
 49   48   39   47   45    94    4
 50   38   22   35   31   100    1
 51   20   20   38   38    94   19
 52   20   29   19   20    74    2
 53   27   40   30   33    90    3
 54   23   50   39   45    89   12
 55   27   46   38   41    71   15
 56   42   29   41   38    74   12
 57   22   12   16   14    85    0
 58   17   43   38   44    88   17
 59   14   13   29   29    86   17
 60   18   22   23   23    71    9
 61   20   20   33   33    93   14
 62   43   45   47   47    98    4
 63   29   45   27   30    66    5
 64   43   24   45   41    70   18
 65   17   20   32   32    83   17
 66   46   14   48   40    98   11
 67   47   44   46   46    61   18
 68   40   37   38   37    87    4
 69   23   43   24   27    60    7
 70   40   20   42   39    73   17
 71   45   25   38   35    71   10
 72   30   28   36   36    86   11
 73   33   31   33   32    88    4
 74   17   21   19   20   100    1
 75   28   45   36   40    98    4
 76   24   45   40   45    85   15
 77   36   27   39   37    67   16
 78   37   42   34   35    63   10
 79   37   31   48   46    89   16
 80   15   12   26   25    96   12
 81   17   19   19   19    73    6
 82   30   23   33   31   100    5
 83   28   46   39   43    88   10
 84   36   27   36   34    78   10
 85   27   16   22   21    64    7
 86   50   36   63   59    99   17
 87   39   15   29   24    89    0
 88   11   20   29   31    90   17
 89   25   23   36   36    82   16
 90   27   11   17   15    63    3
 91   35   21   33   30    77    9
 92   39   38   48   47    92   12
 93   26   25   41   41    82   20
 94   32   18   31   28    80    8
 95   17   37   28   31    62   14
 96   35   35   52   52    94   19
 97   37   47   44   46    81   12
 98   27   24   38   37    99   12
 99   33   17   39   36    78   17
100   31   36   38   39    78   13
