index 546
DMU 250
input 4
output 4
instance 6
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   32   33   25   37   27   27   26   27    69    5
  2   26   33   40   28   35   35   36   35    79   10
  3   48   19   25   22   33   32   32   32    97    5
  4   37   26   33   44   37   35   36   36    63   14
  5   41   18   28   26   30   29   29   29    91    4
  6   45   42   26   43   28   29   28   29    65    4
  7   20   20   42   37   34   31   33   32    84    7
  8   26   46   28   16   39   44   42   42    85   17
  9   24   36   35   26   34   35   35   35    80   10
 10   21   49   33   45   43   44   43   44    66   19
 11   44   25   45   11   27   28   28   27    67    6
 12   21   44   24   18   37   41   40   40    91   15
 13   26   33   22   46   37   36   36   37    98    6
 14   35   17   49   42   46   42   44   43    74   17
 15   41   28   41   21   39   39   40   39    91    9
 16   26   14   38   31   30   27   28   27    69    9
 17   26   23   25   20   27   27   27   27    77    9
 18   39   41   28   37   26   27   26   27    62    4
 19   19   50   22   28   35   38   37   38    77   14
 20   28   26   19   42   39   37   37   38    92   12
 21   28   40   33   33   34   34   34   34    60   14
 22   35   45   13   14   27   31   29   30    62   13
 23   49   27   15   23   42   44   42   43    92   17
 24   38   46   11   28   19   23   20   22    68    1
 25   35   35   22   44   32   32   31   33    94    1
 26   48   19   29   28   41   39   40   39    94   11
 27   35   14   44   46   38   33   35   34    81    7
 28   15   36   38   28   32   32   33   32    68   12
 29   28   31   21   42   29   28   28   29    75    6
 30   25   43   24   28   42   44   43   44    91   16
 31   50   19   35   42   35   32   33   33    82    4
 32   40   45   45   27   42   44   44   43    84   10
 33   39   13   42   12   18   17   18   17    61    1
 34   37   35   10   38   36   38   36   38    94   10
 35   41   37   12   40   30   31   29   31    84    4
 36   15   34   32   20   29   31   31   30    97    5
 37   17   25   37   50   48   43   46   46    95   15
 38   12   48   29   16   20   24   23   23    83    0
 39   50   18   16   19   20   20   19   20    67    3
 40   33   39   42   35   31   31   31   31    67    6
 41   33   40   27   42   41   42   41   42    64   19
 42   21   41   10   19   19   23   21   23    79    4
 43   13   39   27   23   16   18   17   17    66    0
 44   20   23   37   23   36   35   36   35    62   19
 45   39   20   25   31   38   37   37   37    79   15
 46   26   14   19   42   24   21   22   22    87    1
 47   20   15   32   32   35   32   34   33    66   17
 48   16   22   20   11   33   34   34   34    95   17
 49   16   48   36   36   38   39   39   39    67   16
