index 427
DMU 200
input 4
output 4
instance 7
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   36   30   19   16   19   18   21   18    72    1
  2   11   49   18   20   21   24   23   19    80    2
  3   20   32   29   37   28   29   28   29    63   10
  4   18   17   39   40   20   20   17   20    64    1
  5   24   44   16   13   30   31   33   28    85   10
  6   29   26   42   47   33   33   30   33    78    4
  7   14   26   18   12   24   25   25   23    97    7
  8   42   50   30   36   34   35   37   34    80    4
  9   45   30   14   28   25   24   29   27    72    6
 10   41   44   21   29   49   50   54   50    98   18
 11   19   30   11   43   26   27   28   28    61   12
 12   46   45   16   31   26   26   31   27    72    3
 13   40   22   45   18   45   43   42   44    99   12
 14   11   13   13   45   30   31   30   32    74   16
 15   43   46   12   10   31   31   37   31    79   11
 16   49   29   18   39   30   29   35   33    88    3
 17   25   47   29   22   47   49   48   45    94   18
 18   15   44   20   46   32   35   34   33    88    6
 19   32   38   17   14   27   27   31   26    95    4
 20   48   25   13   22   25   23   30   27    93    2
 21   41   28   43   36   47   46   46   48    96   11
 22   32   16   39   21   24   23   22   24    63    6
 23   17   48   36   45   36   38   36   36    69   11
 24   27   30   49   46   42   43   39   42    64   17
 25   30   30   46   39   45   45   42   45    90   11
 26   37   49   47   23   33   34   33   31    75    3
 27   32   50   42   35   51   52   50   49    76   20
 28   18   43   12   35   24   26   28   25    97    0
 29   35   11   19   29   31   30   32   33    62   17
 30   46   49   17   47   47   48   53   49    83   17
 31   21   49   48   45   54   57   52   53    89   17
 32   25   40   14   32   22   23   25   23    67    5
 33   21   37   23   14   20   21   21   19    68    4
 34   41   16   22   11   22   20   23   22    85    3
 35   33   26   45   27   41   40   38   40    86   11
 36   17   12   33   17   28   27   24   27    80   10
 37   18   30   26   35   40   41   40   41    83   18
 38   38   25   43   15   35   34   33   33    87    7
 39   45   15   11   12   39   36   43   40    98   20
 40   42   34   43   46   57   57   56   58    97   17
 41   41   46   43   47   34   34   34   34    70    3
 42   13   36   15   33   40   42   42   40    86   20
 43   32   38   42   49   38   39   37   38    67   11
 44   30   43   49   41   49   50   47   48    81   15
 45   14   45   45   22   50   52   47   46    92   19
 46   13   47   23   48   34   38   36   35    94    5
 47   13   43   47   24   33   35   29   30    81    5
 48   47   19   11   46   43   41   48   48    98   16
 49   23   23   21   34   30   30   30   31    69   13
 50   14   20   21   18   21   21   20   20    95    3
 51   33   14   36   42   37   36   35   39    76   13
 52   29   48   14   43   35   37   39   36    73   13
 53   21   29   19   43   38   39   40   40    96   13
 54   40   41   35   27   36   36   37   36    62   14
 55   14   44   36   43   31   33   30   31    67    8
 56   10   14   43   46   28   28   23   28    75    5
 57   28   17   38   40   40   39   37   41    85   13
 58   36   12   26   39   37   36   37   39    68   18
 59   31   20   32   19   22   21   21   21    66    4
 60   26   17   19   32   27   26   27   28    91    6
 61   28   45   48   23   32   33   30   30    69    6
 62   47   15   26   27   40   38   40   41    73   19
 63   47   46   42   11   44   44   45   42    83   13
 64   14   15   31   48   30   31   28   32    67   12
 65   13   21   12   49   23   24   24   26    75    7
 66   17   34   16   36   42   44   44   43    95   19
 67   34   32   48   16   33   32   30   30    91    1
 68   44   40   34   22   38   37   39   37    82    9
 69   15   47   18   33   36   39   38   35    89   12
 70   24   23   49   15   41   40   35   38    91   12
 71   11   42   35   13   23   24   21   20    69    4
 72   15   43   47   21   28   29   24   25    75    2
 73   43   42   48   47   61   61   59   61    96   17
 74   47   11   16   31   29   26   31   32    81    9
 75   48   50   29   22   33   33   35   32    63   10
 76   38   39   26   47   38   38   41   40    98    3
 77   11   35   31   31   39   41   37   38    98   12
 78   45   40   19   31   24   24   27   25    64    4
 79   15   12   33   11   26   26   23   25    80   10
 80   33   17   44   12   36   34   32   34    77   13
 81   27   29   21   14   33   33   34   32    74   16
 82   33   29   43   15   19   19   18   18    60    0
 83   12   48   48   32   45   47   41   42    85   13
 84   33   13   43   34   34   32   30   34    88    5
 85   41   32   27   34   34   33   36   35    80    8
 86   31   28   10   17   26   26   30   27    77   11
 87   40   26   30   37   30   29   31   32    84    3
 88   45   44   41   47   39   39   40   40    74    7
 89   37   24   30   45   43   42   43   45    81   16
 90   20   47   33   31   31   33   31   30    67    9
 91   31   43   40   37   32   32   31   31    70    5
 92   26   21   15   32   17   17   18   18    72    1
 93   43   32   28   26   34   34   36   34    64   14
 94   49   37   28   33   38   37   41   39    95    4
 95   32   22   12   24   22   21   24   23    66    8
 96   42   44   17   30   42   42   47   43    84   16
 97   35   36   14   49   28   29   32   30    67    8
 98   30   39   28   20   24   24   25   23    74    2
 99   23   36   35   11   39   39   38   37    75   18
100   32   44   33   39   45   46   46   45    75   18
101   34   21   42   17   36   34   32   34    93    7
