index 91
DMU 10
input 5
output 5
instance 1
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   11   27   43   43   48   27   26   25   26   28    61    5
  2   48   10   39   44   29   46   46   50   49   50   100   14
  3   11   16   38   49   43   44   43   42   43   46    85   17
  4   22   42   48   31   46   45   43   43   44   45    68   18
  5   24   26   15   11   29   28   29   30   30   27    97    8
  6   17   35   22   46   11   40   38   33   34   37    89   15
  7   15   35   38   35   50   42   42   41   42   43    62   20
  8   41   21   24   47   22   38   39   39   38   38    87   12
  9   30   31   33   31   37   32   32   33   33   33    87    4
 10   35   30   40   24   17   45   43   45   44   45    91   18
