index 33
DMU 10
input 3
output 3
instance 3
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   17   28   43   25   25   27    83    0
  2   16   10   39   36   35   39    81   19
  3   28   16   21   30   30   31    65   17
  4   45   48   34   45   46   44    83   10
  5   36   24   12   36   36   34    86   16
  6   13   30   44   38   38   40    84   12
  7   34   19   35   23   22   24    82    0
  8   34   46   27   39   40   38    68   14
  9   38   47   46   49   49   49    98    5
 10   39   37   19   22   22   20    66    1
