index 38
DMU 50
input 3
output 3
instance 8
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   49   28   43   36   39   38    72   10
  2   22   22   25   22   22   22    78    4
  3   12   22   12   33   31   31    97   16
  4   34   33   49   41   45   45    96    6
  5   38   43   43   35   35   35    75    4
  6   11   15   31   22   26   26    79    9
  7   25   42   14   28   23   24    64    7
  8   40   34   29   44   42   42    91   12
  9   21   10   29   32   36   36    85   18
 10   12   19   32   22   25   25    86    5
 11   41   49   33   39   36   36    67    9
 12   42   46   31   46   43   43    85   10
 13   25   49   24   37   32   32    86    4
 14   11   46   44   29   28   29    73    2
 15   43   19   27   25   27   26    86    2
 16   29   35   16   39   34   35    89   12
 17   16   17   17   21   21   21    72    9
 18   41   21   48   40   45   45    75   17
 19   19   14   31   35   39   39    94   18
 20   48   39   18   52   46   46    97   15
 21   20   11   17   19   20   20    91    6
 22   22   13   30   22   26   26    94    5
 23   30   13   23   26   28   28    98    7
 24   20   23   30   23   24   24    61    9
 25   31   48   47   43   43   43    78    9
 26   26   15   43   18   23   22    65    3
 27   31   25   37   43   46   46    92   17
 28   30   26   48   45   51   50    92   17
 29   12   17   38   32   35   35    65   19
 30   28   25   29   32   33   33    99    6
 31   43   34   49   32   35   35    72    4
 32   16   26   11   18   15   15    80    1
 33   44   28   28   42   42   41    83   15
 34   31   26   27   31   31   31    61   14
 35   35   22   37   47   51   50    96   20
 36   25   18   14   21   20   20    63    9
 37   11   29   34   34   35   35    78   14
 38   31   11   14   19   20   19    91    4
 39   31   40   39   51   51   51    97   15
 40   13   10   41   13   20   20    77    1
 41   26   26   20   30   29   29    93    7
 42   27   32   46   29   31   31    63    8
 43   49   48   39   42   41   41    61   14
 44   23   21   17   36   35   35    96   16
 45   49   16   20   34   35   34    77   15
 46   12   20   31   37   40   41    98   18
 47   42   37   23   29   26   26    79    1
 48   28   26   10   20   17   17    82    1
 49   50   47   40   39   38   38    69    7
 50   17   43   12   29   22   23    87    2
