index 363
DMU 200
input 2
output 2
instance 3
DMU   i1   i2   o1   o2   eff  err
  1   22   10   21   22    69   11
  2   39   49   47   46    88    7
  3   11   20   16   16    64    6
  4   35   26   35   35    67   15
  5   24   47   49   47    91   15
  6   34   29   36   36    92    7
  7   41   17   35   37    93   10
  8   26   42   29   28    79    1
  9   39   37   38   38    86    5
 10   27   35   39   38    68   17
 11   30   38   40   39    65   17
 12   27   10   31   32    94   15
 13   14   50   40   37    74   14
 14   13   21   33   33    86   18
 15   19   19   20   20    79    5
 16   36   30   31   31    71    8
 17   18   45   45   43    89   15
 18   47   48   50   49    81   11
 19   29   11   27   28    66   15
 20   23   11   28   29    71   17
 21   48   28   43   45    73   17
 22   35   47   42   41    95    2
 23   47   38   28   29    63    2
 24   12   43   33   31    65   13
 25   44   48   32   32    65    2
 26   39   49   48   47    75   14
 27   43   29   44   45    97   10
 28   22   28   26   26    95    2
 29   19   32   24   23    86    1
 30   37   46   32   31    76    0
 31   14   13   21   21    99    8
 32   37   26   32   33    88    5
 33   19   38   28   26    78    4
 34   24   14   30   31    61   19
 35   16   23   25   24    89    7
 36   11   21   32   31    86   17
 37   48   28   31   32    66    7
 38   15   42   44   42    94   15
 39   15   47   34   32    77    8
 40   10   45   36   33    87    9
 41   20   32   23   22    77    2
 42   41   27   25   26    72    1
 43   43   23   29   31    83    3
 44   12   15   17   17    96    4
 45   18   50   30   28    62    7
 46   36   18   18   20    69    1
 47   15   29   33   32    92   12
 48   12   22   17   16    71    4
 49   12   37   24   22    87    1
 50   39   25   27   28    61    8
 51   13   27   21   20    77    5
 52   44   24   42   44    97   11
 53   48   24   44   46    88   14
 54   42   28   46   47    92   15
 55   46   15   28   31    90    3
 56   15   11   12   13    75    3
 57   14   34   33   31    99    7
 58   41   40   38   38    82    5
 59   33   10   21   23    97    2
 60   30   26   34   34    93    8
 61   41   41   45   45    99    4
 62   40   44   49   49    86   13
 63   45   43   46   47    65   18
 64   12   16   19   19    90    6
 65   10   13   15   15    96    4
 66   16   29   23   22    83    3
 67   20   21   31   31    70   17
 68   30   45   40   39    64   15
 69   13   25   27   26    84   10
 70   14   49   36   33    79    8
 71   10   23   34   33    80   20
 72   19   19   31   31    69   18
 73   23   32   35   35    72   15
 74   24   32   32   32    70   12
 75   45   25   32   33    62   11
 76   14   47   28   26    66    6
 77   42   49   36   36    63    7
 78   24   29   42   41    91   17
 79   19   41   46   44    89   17
 80   40   32   39   40    80   11
 81   40   39   37   37    64   12
 82   44   43   55   55    89   16
 83   42   28   50   52    96   18
 84   33   27   43   43    97   14
 85   50   27   32   33    65    8
 86   36   21   23   23    61    6
 87   10   22   23   22    95    7
 88   11   34   31   29    78   12
 89   14   36   47   45   100   20
 90   49   10   34   37    99    8
 91   36   31   33   33    75    8
 92   23   31   28   27    61   11
 93   15   14   23   23    69   13
 94   29   35   43   42    79   17
 95   23   41   41   39    64   19
 96   17   46   37   35    64   15
 97   38   34   39   39    75   12
 98   33   34   41   41    74   16
 99   47   26   45   47    86   15
100   42   26   31   32    61   11
101   26   32   36   36    93    9
102   24   46   38   36    85    6
103   22   18   22   23    98    3
104   27   30   45   45    91   19
105   17   33   34   33    75   14
106   38   30   50   50    92   19
107   36   45   42   41    69   13
108   28   12   35   37    99   17
109   30   48   50   48    99   10
110   21   18   24   24    78    9
111   10   26   19   18    78    4
112   47   39   45   46    95    5
113   49   44   30   31    64    1
114   42   10   34   37    92   13
115   29   38   41   41    71   17
116   17   12   16   17    67    7
117   43   12   39   42    96   15
118   48   37   40   41    73   10
119   31   37   33   33    91    2
120   14   22   18   17    84    2
121   49   35   34   35    73    4
122   13   30   20   19    69    4
123   18   13   11   12    75    0
124   12   20   31   30    95   15
125   13   21   30   29    99   12
126   41   26   33   35    88    5
127   15   35   28   27    64   11
128   28   43   38   36    83    7
129   37   37   46   46    76   18
130   39   47   37   37    62   10
131   34   43   38   37    93    1
132   30   47   57   55    97   18
133   37   28   26   27    80    1
134   24   40   38   37    87    9
135   27   12   25   26    77   11
136   34   44   33   32    70    5
137   25   23   26   26    67   10
138   37   48   32   32    63    5
139   33   25   45   46    96   18
140   48   18   30   33    86    4
141   49   25   38   40    88    7
142   36   37   36   36    83    6
143   48   39   42   42    95    1
144   37   29   35   35    83    8
145   25   29   21   21    78    0
146   11   35   35   33    87   13
147   19   23   34   34    72   19
148   12   25   14   13    66    1
149   20   43   51   49    99   18
150   27   46   43   42    69   17
151   47   20   36   38    99    5
152   12   25   18   17    73    4
153   25   28   35   35    95   10
154   11   40   30   28    63   12
155   16   14   32   32    95   18
156   14   34   26   24    69    8
157   37   48   41   40    71   10
158   42   17   27   28    72    7
159   34   29   33   33    80    8
160   24   34   45   44    82   20
161   48   37   54   55    98   13
162   31   23   37   37    94   12
163   19   37   22   21    71    1
164   32   24   32   33    93    7
165   23   14   19   20    65    8
166   31   37   49   49    91   18
167   49   13   27   31    92    2
168   22   16   17   18    67    5
169   12   21   26   25    68   14
170   26   34   29   28    71    7
171   27   35   32   32    86    5
172   29   36   50   49    96   18
173   47   20   36   39    97    6
174   37   18   26   28    86    4
175   46   36   44   44    62   19
176   19   20   26   25    64   13
177   18   26   31   30    61   17
178   31   32   37   37    80   12
179   19   45   41   38    86   11
180   42   18   30   31    61   13
181   35   20   34   35    70   16
182   42   24   22   24    68    1
183   49   16   23   25    60    5
184   19   22   28   27    94    8
185   29   22   20   20    63    4
186   20   11   29   29    66   19
187   47   22   39   41    87   11
188   41   39   43   43    88    8
189   33   13   33   35    68   19
190   31   32   46   46    94   16
191   29   23   32   33    95    8
192   33   28   34   35    77   11
193   14   49   38   35    68   14
194   30   42   41   40    67   16
195   17   49   32   30    87    1
196   48   11   31   34    85    9
197   41   48   40   39    70    8
198   18   48   35   33    64   12
199   30   14   30   31    72   15
200   46   20   30   32    71    8
