index 62
DMU 10
input 4
output 4
instance 2
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   47   32   48   32   36   40   38   38    74    9
  2   42   20   27   47   28   28   30   32    71    4
  3   33   25   37   34   24   25   24   25    63    4
  4   49   30   17   36   39   41   43   43    84   12
  5   17   11   20   42   26   23   25   29    88    5
  6   44   20   41   40   39   42   42   43    72   15
  7   36   19   26   40   39   40   41   43    89   13
  8   36   49   11   16   39   39   40   35    95   11
  9   17   16   35   32   27   27   26   29    91    5
 10   47   34   32   36   28   30   30   30    66    4
