index 276
DMU 150
input 3
output 3
instance 6
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   27   29   45   30   30   26    76    1
  2   11   19   11   18   18   18    64   10
  3   22   24   36   31   31   28    69   10
  4   27   34   40   44   44   40    92   11
  5   36   46   15   18   19   22    70    0
  6   38   43   43   29   29   28    65    2
  7   40   15   19   35   35   42    82   17
  8   18   43   20   39   39   37    82   18
  9   49   26   35   35   35   39    66   12
 10   20   12   37   38   38   35    72   18
 11   18   30   19   28   28   27    70   13
 12   47   31   41   25   25   27    61    1
 13   24   37   41   45   44   40    66   20
 14   14   34   40   49   48   39    98   15
 15   44   25   25   31   31   38    86    7
 16   32   28   46   39   39   35    86    5
 17   13   11   35   31   31   27    64   15
 18   43   35   33   31   31   34    83    2
 19   28   43   13   22   22   24    77    4
 20   33   42   16   27   27   30    67   10
 21   39   21   37   42   42   44    76   17
 22   43   41   27   37   37   41    75   12
 23   43   48   15   38   39   46    92   13
 24   48   26   47   37   36   38    80    3
 25   35   39   20   28   29   32    75    8
 26   33   16   44   37   37   35    85    7
 27   34   40   49   58   58   53    92   17
 28   46   46   30   38   38   42    95    3
 29   30   45   27   36   36   36    82   10
 30   25   39   29   28   28   26    81    3
 31   50   46   16   30   31   37    60   13
 32   35   14   16   27   28   33    67   15
 33   46   50   46   42   42   42    73    8
 34   28   27   33   32   32   31    72   10
 35   20   44   35   52   52   45   100   17
 36   46   25   27   27   27   33    81    3
 37   35   46   23   44   44   46    78   20
 38   41   48   42   51   51   51    79   17
 39   48   22   41   45   45   49    92   11
 40   13   49   11   37   37   35    80   20
 41   28   41   18   27   27   29    98    2
 42   38   25   26   44   44   49    94   18
 43   23   31   43   33   33   28    68    8
 44   38   11   23   24   24   29    79    6
 45   25   30   20   28   28   29    96    6
 46   12   35   23   30   30   25    99    6
 47   17   39   41   44   44   36    85   13
 48   30   31   48   41   41   35    98    1
 49   34   35   47   59   59   55   100   17
 50   18   36   24   22   22   20    67    5
 51   10   37   36   24   24   17    70    2
 52   46   27   34   31   31   35    74    6
 53   20   47   32   36   36   31    80    9
 54   23   28   26   37   37   35    75   17
 55   45   38   17   17   18   23    61    1
 56   42   14   32   23   23   27    65    4
 57   18   29   42   43   43   37    75   17
 58   20   38   47   33   33   26    78    2
 59   22   45   18   34   34   33    85   12
 60   45   20   45   51   50   53    97   13
 61   13   49   42   34   34   23    87    0
 62   15   33   24   25   25   22    86    4
 63   22   39   14   25   26   26    81    8
 64   33   49   21   48   49   51    98   19
 65   18   37   24   29   29   27    61   13
 66   40   29   23   41   41   46    77   20
 67   36   19   45   47   47   46    89   14
 68   49   23   38   26   26   30    65    3
 69   44   13   33   47   47   52    93   19
 70   20   41   25   44   44   41    89   19
 71   42   34   11   19   19   27    77    2
 72   23   15   22   31   31   32    78   15
 73   29   40   24   42   42   42    93   15
 74   23   11   34   36   36   34    87   13
 75   31   47   24   37   37   37    74   14
 76   48   48   37   38   38   41    91    0
 77   37   27   12   27   27   33    67   14
 78   43   13   39   37   37   40    82   10
 79   46   26   22   24   25   30    65    7
 80   18   13   14   22   22   23    82   10
 81   23   18   10   24   25   28    88   12
 82   11   35   44   31   31   22    72    5
 83   21   47   20   25   25   24    83    3
 84   27   46   50   52   52   44    88   12
 85   37   27   15   38   38   45    88   19
 86   47   26   22   30   30   37    77    9
 87   12   47   17   21   21   18    66    5
 88   28   11   21   17   17   20    77    2
 89   46   36   16   36   36   46    99   10
 90   21   29   44   31   30   24    81    1
 91   32   33   25   24   24   25    77    2
 92   37   26   33   38   38   40    94    8
 93   40   28   48   45   45   44    75   14
 94   19   25   22   32   32   30    97   10
 95   37   26   33   34   34   35    63   14
 96   44   41   18   30   31   37    77    9
 97   28   26   45   43   43   38    96    7
 98   42   26   43   36   36   37    77    6
 99   20   20   42   37   36   32    75   12
100   37   26   46   52   52   50    98   13
101   28   16   24   20   20   21    66    5
102   36   35   26   43   43   46    94   15
103   21   49   33   28   28   24    65    5
104   45   44   25   37   37   43    88    8
105   45   11   21   22   22   29    71    6
106   44   24   18   38   38   47    95   15
107   26   33   22   32   32   32    67   15
108   46   35   17   27   28   34    63   11
109   49   42   41   40   40   43    89    2
110   28   41   21   35   35   35    76   14
111   26   14   38   40   40   38    77   17
112   31   26   23   29   29   31    79    9
113   25   20   39   36   36   33    71   13
114   41   28   37   41   41   42    64   18
115   19   50   22   24   24   22    68    5
116   28   28   26   29   29   29    77    8
117   19   42   28   40   40   36    80   16
118   40   33   33   38   38   41    91    7
119   35   45   13   31   31   35    72   13
120   14   49   27   39   39   32    96   10
121   15   23   38   30   29   23    87    3
122   46   11   28   34   34   41    81   12
123   35   35   22   40   40   44    91   15
124   44   48   19   37   37   43    88   10
125   29   28   35   34   34   32    89    5
126   14   44   46   48   48   36    94   10
