index 65
DMU 50
input 4
output 4
instance 5
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   13   29   12   30   36   37   36   35    88   18
  2   30   15   11   23   25   28   26   24    88    8
  3   50   37   26   30   43   44   44   43    94    9
  4   48   32   36   31   38   38   38   38    75   10
  5   27   30   28   14   37   35   36   38    73   18
  6   30   40   46   23   43   40   42   45    74   17
  7   48   28   25   26   43   44   43   42    86   15
  8   22   15   31   32   25   26   25   24    84    4
  9   18   26   38   40   29   29   28   29    80    5
 10   12   32   29   28   29   28   29   30    89    7
 11   43   28   18   30   22   24   23   22    68    2
 12   33   33   11   47   26   29   27   24    66    6
 13   17   32   42   49   43   44   42   42    88   13
 14   26   45   17   15   35   33   35   36    83   13
 15   11   33   41   29   29   27   28   30    86    5
 16   42   48   20   18   27   26   28   28    74    3
 17   15   11   48   14   19   15   17   21    84    0
 18   23   28   32   19   24   23   24   25    79    4
 19   23   35   46   16   44   38   42   46    96   14
 20   25   29   44   49   34   35   34   34    68   10
 21   16   48   30   22   35   33   35   36    76   13
 22   21   38   39   35   34   33   33   35    88    5
 23   15   15   39   30   34   33   33   34    64   18
 24   18   29   14   17   35   34   35   35    85   18
 25   15   18   45   45   20   21   20   20    65    1
 26   23   19   20   47   34   39   35   32    94   10
 27   48   38   43   40   50   50   50   50    78   17
 28   13   48   42   31   49   46   48   51    97   17
 29   44   39   25   35   39   40   40   38    89    7
 30   15   36   29   30   40   40   40   41    98   14
 31   39   28   40   36   43   43   43   43    79   15
 32   47   46   45   26   49   45   48   50    97    8
 33   21   16   26   35   33   35   33   32    75   15
 34   48   13   29   39   46   50   47   45    91   17
 35   37   24   34   49   33   36   34   32    71    8
 36   47   44   42   28   45   43   45   47    96    6
 37   33   10   29   38   31   34   32   30    78   10
 38   25   26   43   16   37   34   36   39    78   15
 39   20   38   47   15   29   24   27   32    91    1
 40   21   34   28   43   38   39   38   37    78   14
 41   25   12   41   32   33   33   32   33    95    7
 42   22   24   12   21   24   25   25   24    99    5
 43   40   27   17   15   38   38   38   38    82   17
 44   32   18   47   18   39   36   38   40    77   16
 45   47   35   43   39   28   28   28   28    65    1
 46   21   44   33   20   33   31   33   35    65   14
 47   39   23   45   45   46   47   46   45    92   11
 48   33   18   34   16   22   20   21   23    80    1
 49   20   43   11   46   38   41   39   37    78   16
 50   41   16   17   47   35   40   37   33    82   11
