index 487
DMU 250
input 2
output 2
instance 7
DMU   i1   i2   o1   o2   eff  err
  1   49   29   25   28    70    0
  2   18   39   28   25    67    6
  3   25   47   59   54    96   20
  4   29   22   23   24    67    7
  5   15   44   33   29    67   10
  6   20   46   44   39    78   14
  7   32   38   46   45    80   17
  8   17   14   28   29    96   14
  9   48   25   37   40    63   17
 10   13   22   34   32    95   16
 11   41   28   42   44    76   18
 12   43   36   33   34    84    1
 13   32   16   23   26    91    4
 14   39   21   18   20    60    2
 15   17   48   45   40    79   15
 16   36   45   37   36    72    7
 17   27   30   36   36    98    8
 18   49   46   62   63    92   19
 19   30   30   30   30    96    1
 20   46   39   48   49    89   11
 21   37   49   56   53    92   14
 22   47   23   29   33    81    4
 23   32   50   36   34    73    4
 24   42   35   42   43    80   12
 25   18   43   45   41    92   13
 26   12   35   31   27    76   10
 27   35   11   28   33    88   12
 28   19   29   35   33    84   13
 29   46   49   63   62    91   19
 30   17   47   45   41    70   19
 31   21   49   31   27    64    5
 32   48   45   43   43    65   13
 33   25   40   34   31    84    4
 34   14   32   36   32    93   11
 35   21   37   37   35    67   16
 36   23   14   28   29    65   17
 37   41   16   30   35    81   11
 38   22   11   29   31    71   19
 39   33   26   25   26    74    4
 40   45   27   48   52    96   17
 41   17   12   20   21    87    8
 42   33   17   28   31    96    7
 43   18   30   37   36    74   18
 44   26   35   31   29    92    1
 45   38   25   29   31    89    3
 46   43   15   31   37   100    7
 47   45   15   28   32    63   13
 48   11   12   11   11    61    4
 49   42   34   27   28    66    3
 50   43   46   48   48    71   16
 51   41   46   36   36    73    4
 52   43   47   44   43    81    7
 53   13   36   40   35    99   11
 54   15   33   31   27    97    4
 55   32   38   31   30    66    7
 56   42   49   48   47    67   17
 57   30   43   52   49    95   15
 58   49   41   41   42    69   11
 59   14   45   40   35    71   15
 60   45   22   36   39    67   16
 61   13   47   30   25    68    5
 62   23   48   37   33    71    8
 63   13   43   44   39    77   18
 64   47   24   29   32    61   10
 65   47   19   20   25    70    1
 66   11   46   53   46    96   19
 67   23   23   36   36    72   19
 68   21   34   29   26    89    2
 69   14   20   22   21    65   10
 70   21   18   25   26    91    8
 71   33   14   23   27    82    7
 72   36   42   26   25    65    0
 73   29   48   47   44    84   12
 74   14   43   42   37    81   14
 75   21   29   26   25    62   10
 76   19   43   37   33    81    8
 77   40   41   37   37    61   12
 78   35   27   34   36    92    7
 79   14   44   45   39    98   11
 80   36   43   37   35    80    4
 81   10   14   13   12    62    5
 82   43   46   49   49    96    6
 83   28   17   22   24    98    2
 84   38   40   44   44    67   18
 85   36   12   16   20    69    3
 86   26   39   34   32    62   12
 87   31   20   20   21    71    3
 88   32   19   21   22    60    7
 89   26   17   27   29    98    8
 90   19   32   26   24    67    7
 91   28   45   54   50    92   17
 92   48   23   41   46    91   13
 93   47   15   37   41    67   20
