index 217
DMU 100
input 5
output 5
instance 7
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   19   25   32   27   30   35   36   35   35   35    98    9
  2   43   26   32   30   27   37   35   36   36   36    97    5
  3   48   12   41   41   12   41   33   36   37   35    97    6
  4   30   47   35   45   26   35   35   35   36   34    61   13
  5   34   16   50   37   34   36   35   35   35   34    66   12
  6   12   11   41   44   30   23   23   21   22   21    81    0
  7   16   23   34   48   26   40   40   38   40   37    98   11
  8   15   12   40   44   25   46   45   43   45   42   100   17
  9   41   11   32   42   26   37   34   34   35   34    79   11
 10   24   45   45   27   42   40   43   42   42   42    72   15
 11   23   26   50   28   15   39   36   38   39   36    88   12
 12   25   43   43   39   26   36   36   37   38   35    89    5
 13   14   41   33   28   39   38   41   40   40   40    76   16
 14   49   26   47   11   12   35   29   34   34   33    97    3
 15   41   47   46   30   12   42   39   42   42   40    61   19
 16   43   10   24   37   41   38   38   36   36   38    85   11
 17   23   23   39   39   15   32   30   30   32   29    81    8
 18   12   47   49   32   29   31   33   33   34   31    81    5
 19   17   37   16   18   48   29   35   33   31   35    95    7
 20   43   33   33   37   26   40   38   39   39   39    90    8
 21   16   43   48   15   47   26   30   29   28   28    69    4
 22   22   27   19   17   36   30   33   32   31   33    81   12
 23   23   11   34   46   44   27   28   25   25   26    65    6
 24   28   20   37   43   34   25   24   23   24   23    62    4
 25   41   37   39   35   23   49   47   48   49   48    83   19
 26   37   31   14   14   22   18   18   19   18   19    61    4
 27   24   26   32   49   19   46   44   44   45   43    83   20
 28   30   25   48   39   41   38   38   38   38   37    67   13
 29   27   39   28   27   19   44   43   45   45   44    94   18
 30   34   38   19   32   49   28   30   29   28   30    62    8
 31   13   38   42   41   31   27   28   27   28   26    77    2
 32   15   10   45   14   42   33   36   34   33   34    79   13
 33   11   29   29   32   38   22   25   23   23   23    71    4
 34   46   20   32   11   16   33   30   32   32   32    64   15
 35   29   17   34   12   19   26   24   26   25   25    83    6
 36   12   47   38   17   18   25   26   28   28   26    79    5
 37   26   10   35   39   49   36   38   34   34   36    93    6
 38   16   38   36   27   42   20   23   22   22   22    65    1
 39   20   14   10   35   48   23   26   23   23   25    62    9
 40   46   50   23   22   38   48   49   50   49   51    98   14
 41   48   38   24   39   35   50   49   49   49   50    98   14
 42   34   21   40   13   37   42   43   43   42   44    82   18
 43   36   30   19   16   11   32   29   31   31   31    83   12
 44   49   18   20   20   32   37   36   37   36   38    63   19
 45   29   37   18   17   39   43   46   45   44   47    93   19
 46   40   24   44   16   13   33   29   32   32   31    84    7
 47   29   26   42   47   14   50   46   47   49   45    91   19
 48   26   18   12   42   50   33   36   32   32   34    82   10
 49   30   36   45   30   14   42   40   42   43   40    77   17
 50   28   41   44   21   29   39   40   41   41   40    84   12
 51   19   30   11   43   46   35   38   35   35   37    81   13
 52   45   16   31   40   22   27   24   24   25   24    78    1
 53   45   18   11   13   13   32   30   31   31   32    60   19
 54   45   43   46   12   10   36   32   36   36   35    67   13
 55   49   29   18   39   25   49   46   46   47   48    90   19
 56   47   29   22   15   44   32   33   33   32   35    76    9
 57   20   46   32   38   17   26   25   26   28   25    80    2
 58   14   48   25   13   22   27   30   31   30   30    87    8
 59   41   28   43   36   32   44   42   43   43   42    95    8
 60   16   39   21   17   48   26   32   30   28   31    94    3
 61   36   45   27   30   49   37   40   39   38   40    91    5
 62   46   30   30   46   39   47   45   45   45   46    97    9
 63   37   49   47   23   32   41   41   43   42   42    87    8
 64   50   42   35   18   43   37   37   38   37   39    74    9
 65   12   35   35   11   19   20   21   23   22   21    80    3
 66   29   46   49   17   47   52   56   56   54   56    95   18
 67   21   49   48   45   25   27   27   28   29   26    70    1
 68   40   14   32   21   37   40   40   40   38   41    97   11
 69   23   14   41   16   22   33   32   33   32   32    83   12
 70   11   33   26   45   27   26   27   26   27   25    81    4
 71   17   12   33   17   18   33   32   33   32   32    81   16
 72   30   26   35   38   25   44   42   42   43   42    93   14
 73   43   15   45   15   11   38   33   36   36   35    90   11
 74   12   42   34   43   46   35   40   37   37   37    87    7
 75   41   46   43   47   13   45   40   43   45   41    76   14
 76   36   15   33   32   38   35   34   34   33   34    71   12
 77   42   49   30   43   49   44   45   44   44   45    65   17
 78   41   14   45   45   22   33   29   30   31   29    82    3
 79   13   47   23   48   13   41   40   40   43   38    93   15
 80   43   47   24   47   19   33   30   31   33   31    82    3
 81   11   46   23   23   21   21   22   23   23   22    78    3
 82   34   14   20   21   18   19   17   18   18   19    76    2
 83   33   14   36   42   29   43   41   40   41   40    99   11
 84   48   14   43   21   29   42   39   40   39   40    87   12
 85   19   43   40   41   35   45   46   46   46   45    78   18
 86   27   14   44   36   43   34   35   33   33   33    83    6
 87   10   14   43   46   28   27   27   25   26   24    82    3
 88   17   38   40   36   12   27   26   27   28   25    72    6
 89   26   39   31   20   32   27   28   28   28   28    62    9
 90   19   26   17   19   32   16   19   18   17   18    74    1
 91   28   45   48   23   47   49   52   52   50   51    92   15
 92   15   26   27   47   46   38   42   38   39   39    94   10
 93   42   11   14   15   31   18   17   17   16   19    67    2
 94   48   13   21   12   49   31   32   31   29   34    80    8
 95   17   34   16   36   34   38   41   39   39   40    85   17
 96   32   48   16   44   40   42   44   42   43   43    86   13
 97   34   22   15   47   18   31   29   29   30   29    64   13
 98   33   24   23   49   15   49   45   45   48   45    99   19
 99   11   42   35   13   15   33   34   35   35   33    80   15
100   43   47   21   43   42   37   37   37   37   38    89    3
