index 400
DMU 200
input 3
output 3
instance 10
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   21   36   38   26   27   28    79    3
  2   50   48   35   36   33   34    65    5
  3   17   13   39   23   31   25    92    6
  4   46   23   50   51   58   51    93   16
  5   38   28   14   33   30   31    61   14
  6   49   39   40   36   36   35    75    3
  7   32   13   27   36   38   35    81   16
  8   42   32   30   42   42   41    75   15
  9   12   44   31   26   25   28    62   10
 10   49   28   28   42   41   40    75   13
 11   13   19   44   21   28   24    82    5
 12   20   13   28   36   40   37    86   20
 13   25   34   19   31   27   30    93    5
 14   11   30   35   22   24   25    80    5
 15   47   28   48   48   53   48    87   13
 16   49   36   30   53   50   51    86   17
 17   22   25   46   36   42   38    97   10
 18   46   34   50   29   32   30    63    3
 19   46   20   49   36   43   36    89    3
 20   32   11   33   30   35   30    79   11
 21   28   46   43   32   32   33    60   10
 22   32   14   39   34   39   35    69   16
 23   30   19   38   22   26   23    64    5
 24   18   30   24   37   36   38   100   14
 25   49   21   30   41   42   38    94    7
 26   34   18   45   38   46   39    95   10
 27   17   12   48   18   28   22    85    2
 28   13   16   35   23   28   25    91    7
 29   40   33   11   41   34   38    90   11
 30   44   43   29   47   43   46    97    7
 31   38   18   21   27   26   25    80    4
 32   46   45   32   43   40   42    78    9
 33   46   19   23   39   39   36    86   11
 34   44   30   32   35   35   33    80    5
 35   17   12   18   16   18   17    95    2
 36   40   43   31   45   42   44    93    8
 37   42   35   22   31   28   30    64    8
 38   20   29   30   36   36   36    63   20
 39   24   44   11   48   39   46    93   20
 40   44   41   17   46   40   44    80   15
 41   28   33   50   47   52   49    87   18
 42   26   38   49   34   38   36    86    5
 43   35   34   43   35   38   36    99    0
 44   37   34   12   41   33   37   100    8
 45   39   41   42   38   39   39    78    7
 46   11   39   49   28   31   31    74    8
 47   29   12   29   37   41   36    87   17
 48   42   39   47   43   45   43    81    9
 49   20   35   19   31   28   31    76   12
 50   45   40   31   48   45   47    93   10
 51   26   17   34   34   39   35    86   14
 52   13   41   39   37   38   40    75   17
 53   32   41   22   46   41   45    82   18
 54   27   35   31   38   38   39    83   13
 55   20   15   49   31   39   33    72   15
 56   45   42   43   37   37   37    67    8
 57   28   31   24   35   33   35    85   11
 58   22   39   10   28   22   27    69    9
 59   24   44   39   37   37   39    76   12
 60   45   21   11   37   35   35    62   18
 61   20   34   49   34   39   37    85    9
 62   24   32   33   37   38   38    65   19
 63   29   39   50   49   52   51    83   19
 64   37   27   15   31   27   29    97    2
 65   46   19   33   34   36   32    87    4
 66   43   49   21   44   38   42    69   15
 67   28   13   21   29   31   28    89   10
 68   43   26   49   44   50   45    81   14
 69   27   48   33   27   25   28    62    5
