index 40
DMU 50
input 3
output 3
instance 10
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   15   36   18   37   37   37    95   16
  2   36   13   46   38   39   37    84   10
  3   21   19   15   22   22   23    91    6
  4   13   17   14   11   11   11    66    1
  5   16   24   38   23   23   20    69    3
  6   35   13   29   37   37   38    82   16
  7   26   29   23   25   25   25    89    2
  8   24   20   17   14   14   15    68    1
  9   48   37   29   33   32   35    79    4
 10   22   34   32   26   26   25    67    6
 11   11   39   29   32   33   30   100    5
 12   36   45   24   30   30   31    75    5
 13   11   11   24   30   30   29    78   17
 14   29   25   17   32   32   33    67   17
 15   17   21   42   30   30   27    70    9
 16   15   21   25   36   36   35    89   17
 17   17   19   16   33   33   34    96   17
 18   34   39   38   41   41   41    92    7
 19   13   46   33   34   35   32    99    3
 20   17   46   18   21   21   21    63    5
 21   26   45   17   35   35   36    62   18
 22   49   25   34   34   34   36    92    2
 23   11   23   26   38   38   36    93   18
 24   33   37   16   42   42   44    94   17
 25   37   29   22   42   41   44    96   15
 26   25   18   22   28   28   28    65   14
 27   18   18   23   23   24   23    81    7
 28   24   38   19   40   40   40    88   17
 29   29   41   37   38   38   37    64   15
 30   12   45   31   26   27   25    71    5
 31   34   49   27   45   45   46    80   17
 32   42   27   23   28   28   30    72    7
 33   37   40   20   37   37   39    89   10
 34   33   44   18   34   34   36    85    9
 35   43   12   42   33   32   32    64   11
 36   35   11   31   31   31   31    77   11
 37   21   49   32   37   38   36    98    4
 38   18   25   37   30   31   28    89    5
 39   47   18   23   33   33   36    88    9
 40   37   14   12   32   31   34    72   18
 41   14   35   50   32   33   29    70    7
 42   23   12   21   30   30   30    70   17
 43   12   46   21   31   31   30    70   13
 44   21   40   28   32   33   32    79    9
 45   47   43   47   49   49   49    77   14
 46   41   14   42   46   46   46    90   16
 47   49   14   43   40   40   41    73   14
 48   21   32   17   33   33   34   100   11
 49   24   30   26   23   23   22    77    2
 50   21   26   45   33   33   30    96    1
