index 578
DMU 250
input 5
output 5
instance 8
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   40   32   38   25   21   32   34   34   33   33    75   10
  2   41   15   47   17   21   23   28   30   28   25    91    1
  3   32   33   26   16   12   30   30   31   29   31    61   16
  4   44   38   43   10   12   40   41   44   40   42    80   18
  5   37   35   42   45   14   45   47   45   45   45    75   20
  6   22   46   39   38   40   46   45   44   44   46    81   15
  7   18   49   36   38   34   27   26   25   24   27    69    2
  8   34   20   46   32   17   42   46   45   45   43    88   18
  9   49   40   45   28   14   39   41   42   39   41    99    6
 10   34   40   24   25   49   48   45   47   46   47    79   19
 11   45   45   39   23   34   34   33   35   33   35    67    9
 12   26   11   39   36   12   27   32   29   31   27    99    5
 13   47   12   37   32   45   39   42   43   44   39    83   12
 14   11   41   18   49   38   49   46   43   45   47    84   20
 15   41   24   22   41   24   46   46   45   47   45    88   19
 16   38   49   41   30   40   34   33   34   32   34    84    0
 17   44   39   19   31   26   34   32   33   32   34    89    5
 18   12   37   40   21   41   41   41   40   40   42    94   12
 19   35   35   11   26   43   34   30   32   32   32    72   10
 20   24   16   35   37   20   29   32   30   31   29    85    8
 21   46   28   38   12   22   27   29   32   29   29    89    3
 22   13   38   30   28   13   31   30   29   28   31    67   14
 23   26   50   45   44   38   48   47   45   45   48    99    7
 24   31   28   42   15   39   35   37   38   37   36    65   16
 25   39   24   34   34   42   31   32   32   33   31    77    5
 26   26   22   29   43   35   34   35   33   35   33    71   12
 27   49   29   29   11   15   35   36   38   36   36    65   19
 28   27   15   31   16   20   20   22   22   22   21    70    6
 29   30   32   39   41   17   26   28   26   26   27    63    7
 30   13   11   13   33   43   33   32   31   34   31    86   12
 31   50   34   24   27   35   26   25   27   26   26    65    4
 32   27   14   11   15   47   30   28   30   31   29    69   13
 33   24   13   22   11   12   13   15   16   15   14    83    1
 34   27   23   37   46   41   45   47   45   47   44    88   15
 35   39   22   35   41   35   50   52   52   53   50    94   19
 36   33   47   12   10   14   28   25   27   25   29    69   11
 37   50   30   14   21   13   21   20   22   21   21    75    2
 38   46   36   45   16   45   36   37   40   38   37    72   10
 39   41   16   33   44   32   38   39   39   40   37    74   14
 40   45   23   15   18   24   34   34   36   35   34    62   19
 41   21   31   18   26   47   20   17   18   18   19    63    0
 42   30   26   38   18   22   31   33   33   32   32    90    8
 43   36   30   19   29   47   42   40   41   42   41    89   12
 44   18   34   27   31   12   21   21   19   19   21    64    5
 45   42   15   29   43   34   24   25   25   26   23    66    3
 46   39   43   13   43   41   28   25   25   26   27    67    2
 47   44   12   21   29   13   17   18   19   19   17    64    3
 48   42   11   24   33   17   31   33   33   34   31    77   13
 49   27   39   13   16   40   29   26   28   26   29    82    5
 50   37   16   46   29   19   18   22   21   21   19    69    0
 51   22   35   39   48   34   36   36   33   35   35    91    3
 52   10   32   13   12   44   30   27   28   28   30    81   10
 53   18   39   34   43   46   30   29   28   29   29    64    6
 54   23   28   33   29   47   39   39   39   40   39    71   16
 55   11   14   43   15   25   23   26   26   25   24    73    9
 56   48   21   11   19   19   41   40   43   42   41    95   19
 57   33   36   46   44   42   41   42   41   41   41    72   12
 58   12   39   39   25   31   38   38   37   36   38    74   16
 59   10   20   19   12   17   23   22   22   22   23    99    7
 60   40   26   11   12   25   21   19   22   20   21    75    3
 61   26   37   41   16   50   28   28   29   28   29    74    3
 62   45   38   20   50   42   35   32   32   34   33    75    4
 63   43   46   19   34   19   37   34   35   34   37    87    8
 64   16   29   10   17   31   36   32   33   33   35    94   14
