index 247
DMU 150
input 2
output 2
instance 7
DMU   i1   i2   o1   o2   eff  err
  1   16   23   27   27    71   12
  2   34   48   50   49    99    6
  3   26   15   21   21    98    3
  4   12   40   48   48    95   18
  5   44   25   27   27    75    4
  6   41   11   29   29    90   11
  7   32   42   32   32    64    7
  8   26   24   26   26    82    6
  9   45   45   51   51    71   19
 10   27   42   36   35    87    3
 11   23   26   19   19    73    1
 12   50   28   38   38    64   16
 13   15   25   32   32    91   12
 14   43   43   30   30    66    2
 15   39   26   23   24    72    2
 16   14   41   36   36    61   16
 17   33   28   42   43    83   18
 18   39   49   41   41    76    6
 19   26   47   56   55    95   17
 20   11   12   25   25    77   16
 21   41   47   49   49    67   19
 22   46   30   39   40    62   18
 23   12   43   47   47    83   19
 24   10   24   13   13    67    0
 25   37   41   30   30    68    3
 26   23   23   28   28    80   10
 27   39   39   49   49    76   19
 28   15   12   31   31    85   20
 29   47   49   53   53    88   10
 30   32   29   28   28    75    6
 31   17   37   43   43    93   14
 32   16   18   26   26    65   15
 33   48   43   50   50    95    8
 34   33   33   40   40    65   19
 35   37   26   19   19    61    1
 36   16   43   34   33    62   12
 37   48   15   32   33    92   10
 38   47   22   35   36    84   11
 39   27   19   38   38    93   18
 40   17   36   44   44    96   15
 41   23   11   18   18    91    5
 42   34   46   52   52    96   11
 43   44   28   32   33    93    2
 44   20   37   32   32    97    1
 45   43   34   34   34    63   11
 46   41   37   33   33    86    0
 47   39   35   34   35    65   11
 48   23   37   31   31    83    4
 49   31   14   32   33    82   17
 50   14   22   18   18    88    1
 51   24   26   32   32    92    9
 52   32   49   54   53    99   10
 53   19   30   26   26    80    5
 54   25   48   41   40    93    2
 55   39   41   52   52    99   12
 56   27   39   42   42    91   10
 57   28   27   33   33    64   16
 58   19   34   30   30    95    2
 59   38   19   24   25    95    1
 60   32   49   51   50    72   19
 61   13   38   38   38    63   19
 62   42   41   51   51    97   11
 63   31   15   26   27    73   12
 64   10   45   35   34    98    1
 65   14   42   37   37    63   16
 66   11   29   34   34    93   12
 67   29   32   45   45    97   15
 68   38   46   43   43    74   11
 69   20   32   36   35    97    8
 70   11   16   22   22    69   12
 71   29   17   22   23    61   10
 72   34   12   27   27    96    9
 73   19   12   10   10    73    0
 74   47   38   33   33    73    3
 75   17   18   28   28    71   15
 76   26   10   20   21    84    8
 77   35   39   34   34    64   10
 78   49   16   31   31    70   13
 79   38   36   44   44    71   18
 80   27   42   43   42    68   17
 81   20   14   28   28    83   15
 82   10   35   36   35    64   18
 83   48   46   53   53    86   13
 84   50   23   35   36    92    7
 85   22   38   36   36    79   10
 86   48   38   57   57    98   17
 87   24   39   27   27    64    5
 88   35   34   51   51    93   19
 89   21   40   37   36    71   12
 90   13   37   34   33    79   10
 91   36   30   32   32    69   10
 92   19   16   33   33    93   17
 93   11   49   49   48    90   15
 94   18   20   31   31    91   13
 95   20   32   32   32    85    8
 96   29   37   32   32    77    5
 97   18   17   14   14    64    3
 98   39   40   48   48    94   11
 99   24   44   49   49    86   16
100   16   13   24   24    93   11
101   29   26   25   25    60    9
102   42   47   37   37    64    8
103   14   26   41   41    93   20
104   18   12   26   26    96   13
105   42   50   46   46    78    9
106   30   36   35   35    67   12
107   45   30   41   41    88   11
108   14   28   28   27    90    6
109   41   44   38   38    86    1
110   21   29   24   23    62    7
111   19   30   36   36    76   16
112   11   43   47   46    89   17
113   46   45   40   40    81    3
114   16   31   29   28    70   10
115   40   22   35   36    82   13
116   45   18   31   31    69   13
117   11   13   11   11    76    2
118   13   45   44   43    67   20
119   43   46   41   41    69   10
120   12   10   23   23    82   14
121   49   29   36   36    78    9
122   18   39   36   36    95    5
123   25   47   46   45    98    6
124   29   22   31   31    73   13
125   15   44   47   46    97   12
126   20   46   25   25    65    0
127   32   38   39   38    76   11
128   17   14   28   28    77   17
129   48   25   42   42    97   11
130   13   22   34   33    96   15
131   41   28   41   41    92   12
132   43   36   28   28    61    5
133   32   16   29   29    64   16
134   39   21   20   20    65    3
135   17   48   51   50    81   19
136   36   45   53   52    98   11
137   27   30   26   26    63    8
138   49   46   38   38    71    5
139   30   30   26   26    62    7
140   46   39   49   49    99    8
141   37   49   35   34    67    4
142   47   23   37   38    84   12
143   32   50   36   35    66    6
144   42   35   36   36    86    4
145   18   43   49   49    84   19
146   12   35   27   27    82    4
147   35   11   38   38    98   20
148   19   29   30   30    66   13
149   46   49   63   63    94   18
150   17   47   43   42    90    8
