index 241
DMU 30
input 2
output 2
instance 1
DMU   i1   i2   o1   o2   eff  err
  1   42   13   32   37    84   10
  2   46   31   37   39    75    8
  3   10   42   35   30    74   15
  4   17   18   30   29    95   13
  5   40   31   46   47    82   17
  6   14   18   18   18    96    3
  7   19   32   22   20    61    6
  8   42   36   41   42    65   16
  9   30   24   33   34    83   11
 10   38   17   26   30    89    2
 11   44   41   39   39    77    6
 12   19   45   38   34    69   15
 13   36   44   37   36    90    1
 14   25   46   43   39    79   14
 15   15   47   33   28    88    5
 16   34   37   40   40    65   17
 17   38   37   40   40    75   12
 18   36   32   42   43    78   16
 19   12   48   38   32    88   11
 20   32   49   35   33    79    3
 21   25   41   46   43    95   14
 22   22   13   25   26    75   12
 23   16   21   32   31    73   18
 24   14   44   34   30    73   12
 25   13   23   28   27    72   15
 26   27   32   32   31    87    6
 27   11   40   26   21    92    2
 28   45   34   45   47    84   12
 29   37   37   43   43    91    9
 30   25   16   37   38    93   18
