index 212
DMU 100
input 5
output 5
instance 2
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   34   42   32   18   31   30   29   31   32   31    82    5
  2   31   42   26   46   42   35   35   35   35   34    69    9
  3   27   24   44   13   23   28   28   28   28   29    65   11
  4   38   22   43   42   26   32   32   31   30   31    60   11
  5   12   32   11   13   20   28   27   28   30   29   100   11
  6   38   43   15   49   10   34   31   30   32   31    99    3
  7   28   38   11   14   29   28   28   30   31   29    67   13
  8   40   20   37   11   10   19   16   18   17   18    68    2
  9   14   43   18   49   40   39   40   38   40   39    77   14
 10   19   14   16   19   32   31   32   33   32   31    99   11
 11   41   42   15   35   44   30   30   32   32   30    61    9
 12   47   46   25   27   20   34   30   33   34   33    96    2
 13   28   41   25   11   13   32   30   31   33   32    65   17
 14   29   13   24   19   17   37   37   38   36   37    97   17
 15   36   33   30   18   33   32   31   33   33   33    90    5
 16   36   45   49   10   22   34   32   33   35   36    70   12
 17   33   42   38   21   50   47   48   50   51   50    90   15
 18   50   41   22   14   22   35   31   36   36   35    94    7
 19   16   22   14   16   45   34   37   39   39   37    99   13
 20   13   18   37   10   48   23   26   26   25   26    67    7
 21   31   22   14   19   40   30   31   35   33   31    97    6
 22   33   37   35   30   41   35   35   35   36   35    62   13
 23   38   44   11   43   31   38   38   39   40   37    86   10
 24   31   26   36   35   11   35   33   31   31   32    92    8
 25   12   20   23   10   22   27   27   27   28   28    75   14
 26   39   30   41   38   21   47   46   45   44   46    81   19
 27   40   37   20   18   33   25   24   27   27   26    65    6
 28   13   17   45   19   34   36   38   36   36   38    84   15
 29   44   11   44   23   49   40   41   44   40   41    72   15
 30   16   34   18   32   25   21   22   20   22   21    71    4
 31   25   36   20   28   40   41   42   43   43   42    73   20
 32   24   31   48   24   34   31   31   30   30   32    83    4
 33   36   36   26   17   45   23   23   26   25   24    64    3
 34   18   28   45   17   11   39   38   36   37   40    85   19
 35   34   11   14   22   25   24   24   26   24   23    68    9
 36   28   44   23   17   33   42   41   43   45   43    92   16
 37   25   38   41   26   38   29   30   29   30   30    85    1
 38   26   37   19   42   18   39   38   36   38   37    86   14
 39   47   46   48   20   15   33   29   31   32   33    82    4
 40   37   18   13   16   13   35   33   36   35   34    80   19
 41   17   22   34   27   42   30   32   31   31   31    92    4
 42   23   22   48   24   12   33   32   29   30   32    82   11
 43   23   11   12   47   45   28   31   30   28   27    72    8
 44   48   35   40   28   17   34   30   32   31   32    92    2
 45   19   17   13   49   34   40   43   41   40   39    83   18
 46   13   21   37   17   26   25   26   24   25   26    87    5
 47   13   30   40   23   46   44   47   45   46   46    88   18
 48   48   37   25   36   37   55   54   57   56   54    98   19
 49   25   50   38   48   42   35   36   34   36   36    61   11
 50   23   49   15   40   49   36   38   38   40   38    81    9
 51   46   14   42   48   24   40   40   39   35   37    85    9
 52   35   12   46   17   36   31   32   33   30   32    87    5
 53   29   13   34   42   19   39   39   37   34   36    97   11
 54   46   47   42   31   20   41   38   39   40   41    78   12
 55   36   44   25   49   30   25   25   24   25   25    61    3
 56   28   39   35   23   26   31   30   30   32   32    95    3
 57   30   38   13   26   17   27   25   26   28   27    95    4
 58   50   11   32   44   13   29   27   28   25   26    61    9
 59   49   43   47   48   28   33   32   31   31   32    64    5
 60   11   41   46   38   29   45   46   41   44   46    86   17
 61   44   36   33   36   45   43   43   45   44   43    82   11
 62   11   19   26   22   13   22   21   19   20   21    90    5
 63   19   40   48   32   30   37   38   35   37   38    70   14
 64   36   18   47   16   47   40   42   43   41   42    80   14
 65   42   50   34   27   18   50   46   47   49   49    93   18
 66   43   16   15   34   33   38   38   41   38   37    90   12
 67   40   49   38   34   15   43   40   39   41   42    78   15
 68   14   23   13   39   35   33   35   34   34   33    71   16
 69   14   19   20   50   10   20   20   17   17   18    68    4
 70   11   27   50   12   41   37   38   37   38   39    72   17
 71   45   33   26   20   39   34   33   37   36   35    89    5
 72   38   30   49   19   30   41   41   41   41   42    67   19
 73   13   41   42   43   40   37   39   35   38   38    72   12
 74   44   46   35   28   24   33   31   32   33   33    79    5
 75   24   13   19   39   16   35   35   34   32   33    86   15
 76   21   35   38   24   30   37   37   36   37   38    79   14
 77   21   25   35   31   33   25   26   25   25   26    74    4
 78   19   49   34   24   34   22   23   22   24   24    70    1
 79   36   22   42   24   31   40   39   40   39   40    78   15
 80   39   15   13   42   27   32   32   33   31   31    61   15
 81   37   46   37   43   26   46   44   43   45   45    70   19
 82   39   47   13   24   41   41   41   44   46   42    98   10
 83   14   14   50   41   43   42   45   41   40   42    70   19
 84   18   15   30   38   26   28   29   27   26   27    68   10
 85   12   18   12   29   48   23   28   27   27   25    97    1
 86   14   46   13   23   45   40   42   41   45   42    79   19
 87   45   40   14   17   35   34   33   38   38   35    86    9
 88   40   23   33   27   33   30   30   31   30   30    64   10
 89   21   37   13   49   46   44   47   45   46   44    78   19
 90   50   18   35   21   39   29   28   31   29   29    65    7
 91   45   38   17   36   19   33   30   32   32   31    92    4
 92   36   15   13   13   43   24   25   28   26   25    64    9
 93   16   14   11   37   35   26   28   27   26   26    75    9
 94   26   17   24   25   22   29   29   29   28   28    93    7
 95   44   14   47   43   20   31   30   30   27   29    77    4
 96   42   14   19   16   37   29   29   34   31   30    93    5
 97   32   23   44   46   37   36   37   35   33   35    82    5
 98   31   40   26   48   45   38   40   39   40   38    94    3
 99   41   17   35   23   45   37   38   40   37   37    67   15
100   34   39   48   43   31   32   31   30   30   31    76    2
