index 339
DMU 150
input 5
output 5
instance 9
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   26   12   49   47   30   39   40   40   41   38    69   18
  2   14   26   39   37   43   27   28   28   28   28    82    2
  3   21   18   41   36   14   19   19   20   21   20    69    2
  4   23   49   27   49   42   32   30   31   32   34    67    6
  5   31   17   38   36   41   32   34   33   32   31    65   12
  6   11   36   22   29   44   24   24   24   24   26    78    2
  7   45   31   47   44   22   41   41   42   42   40    67   16
  8   37   25   21   33   15   42   42   41   42   41    98   16
  9   17   39   13   47   28   24   22   22   23   25    76    1
 10   30   30   32   31   29   30   30   31   31   31    94    2
 11   33   37   37   18   38   49   50   50   49   50    98   17
 12   29   22   11   48   38   33   33   30   31   31    94    5
 13   20   19   25   13   50   34   36   34   33   33    89   12
 14   23   49   10   23   18   23   20   22   22   25    74    3
 15   17   39   41   19   48   22   23   23   23   24    66    1
 16   10   33   21   35   18   27   25   26   28   29    83    7
 17   39   47   33   20   33   47   46   47   47   48    85   17
 18   20   25   32   10   12   29   29   30   30   30    85   12
 19   20   32   35   26   12   40   39   41   42   42    88   18
 20   38   30   19   45   46   31   31   29   29   29    78    3
 21   15   44   28   45   24   22   20   21   23   24    69    0
 22   33   48   11   25   14   30   27   28   29   31    75    8
 23   34   45   10   42   11   43   40   41   42   44    75   20
 24   32   36   35   13   38   37   38   38   37   38    66   17
 25   15   19   37   44   50   38   39   38   38   38    86   11
 26   18   11   33   32   11   25   26   27   27   26    99    6
 27   13   40   40   50   11   33   30   33   35   35    70   11
 28   49   22   39   29   15   34   35   35   34   33    60   16
 29   26   46   33   33   23   33   31   33   33   35    66   11
 30   45   33   30   18   45   37   38   37   35   35    93    5
 31   10   41   17   49   23   40   36   37   40   42    94   12
 32   29   41   17   13   46   29   29   29   28   30    67    9
 33   37   38   24   35   24   46   45   45   46   46    93   16
 34   28   31   28   33   11   39   38   39   40   40    75   19
 35   49   47   44   47   38   50   50   50   50   50    76   16
 36   35   37   26   25   29   35   35   35   35   35    94    6
 37   16   33   12   30   49   21   20   19   19   21    65    2
 38   21   40   20   16   48   28   28   28   27   29    81    4
 39   49   22   14   28   18   24   24   23   23   22    67    6
 40   31   34   42   41   26   48   47   48   49   48    83   19
 41   40   49   25   13   11   32   30   32   32   33    74   10
 42   20   12   50   44   17   38   39   40   40   38    76   18
 43   37   26   41   33   39   40   41   41   40   39    79   13
 44   11   24   48   30   32   41   42   44   44   44   100   14
 45   21   18   17   17   49   28   29   28   27   27    63   13
 46   36   49   40   22   45   45   45   46   45   47    86   12
 47   14   28   34   15   11   15   14   16   16   17    64    2
 48   37   20   32   21   48   39   42   39   38   37    85   13
 49   22   39   47   12   32   45   46   48   47   48    88   19
 50   41   45   35   16   14   29   28   30   30   30    81    4
 51   49   24   40   42   49   49   52   49   48   46    89   14
 52   50   29   47   38   17   34   35   35   35   33    65   11
 53   20   16   28   47   45   34   35   34   34   34    65   15
 54   19   35   50   40   14   23   23   25   26   26    63    4
 55   30   21   37   29   41   40   42   40   40   39    91   12
 56   33   32   45   33   22   28   28   29   29   29    71    5
 57   25   15   15   16   45   21   22   20   19   19    77    3
 58   42   18   30   37   43   30   32   30   29   27    82    3
 59   20   24   38   34   29   44   45   45   46   45    94   18
 60   37   50   18   11   32   30   28   29   28   31    91    1
 61   18   37   13   13   43   21   21   20   20   22    66    4
 62   19   30   12   10   13   26   24   25   25   27    98    8
 63   49   42   25   10   35   30   30   30   28   29    90    0
 64   21   50   49   27   22   39   37   41   41   43    90    8
 65   14   13   25   33   30   33   34   33   33   33    68   18
 66   30   25   45   46   22   30   30   31   31   30    76    5
 67   26   26   18   39   20   32   30   30   31   31    93    7
 68   21   32   49   47   27   35   35   36   37   37    68   12
 69   42   21   13   18   17   23   24   23   22   22    67    8
 70   50   43   24   34   14   42   40   41   41   41    65   19
 71   27   18   27   34   26   27   28   27   27   27    71    9
 72   15   18   18   33   33   36   36   35   36   36    74   19
 73   45   28   25   18   14   37   37   38   37   36    88   14
 74   30   40   38   33   27   46   46   47   47   48    81   19
 75   45   16   19   24   48   25   27   24   23   22    74    3
 76   34   32   49   15   26   26   27   28   27   27    78    2
 77   33   15   22   26   29   24   25   23   23   22    80    4
