index 423
DMU 200
input 4
output 4
instance 3
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   37   24   16   25   40   38   37   37    94   13
  2   33   49   18   17   35   37   36   34    92    9
  3   45   32   45   14   37   32   30   36    94    2
  4   22   23   36   42   37   38   39   38    91   10
  5   20   16   39   36   39   39   40   41    97   13
  6   23   38   49   30   32   33   33   34    77    7
  7   21   47   31   36   31   35   36   32    90    4
  8   48   36   22   36   27   26   26   26    64    3
  9   17   20   14   36   19   21   22   19    65    6
 10   37   33   20   48   37   38   39   36    77   10
 11   34   24   33   28   40   39   38   40    81   15
 12   42   24   19   20   46   43   41   43    93   18
 13   36   47   21   18   26   27   25   25    71    4
 14   23   38   25   37   27   30   30   28    62   10
 15   40   31   42   31   28   27   27   28    60    6
 16   44   33   48   16   46   42   41   46    91   12
 17   28   20   27   22   26   25   25   26    63   10
 18   17   22   28   48   41   44   46   43    88   18
 19   20   21   43   39   29   29   31   31    66   10
 20   11   46   50   43   30   35   36   33    74    7
 21   13   22   35   29   28   29   29   29    74   11
 22   13   47   49   41   30   35   35   33    74    7
 23   37   11   24   20   35   31   31   33    69   16
 24   23   29   16   42   34   37   38   33    98    8
 25   32   22   15   13   30   29   28   29    61   16
 26   11   49   42   26   40   46   46   44    94   16
 27   48   32   47   19   40   36   35   40    76   10
 28   41   44   39   20   29   29   28   29    64    6
 29   16   28   18   23   27   30   30   28    93    9
 30   38   29   45   43   46   45   45   46    94    9
 31   18   29   17   22   21   23   23   21    86    4
 32   11   19   44   44   29   30   32   31    68   11
 33   12   31   44   31   43   46   47   46    94   19
 34   21   37   38   10   39   40   39   41    83   19
 35   18   39   18   37   37   42   43   38    91   15
 36   48   10   49   42   41   35   36   40    83    6
 37   42   37   43   29   42   41   41   42    60   19
 38   45   17   49   36   41   36   36   40    76   10
 39   15   45   17   14   26   31   30   27    81   11
 40   46   21   44   29   43   39   39   43    65   18
 41   35   12   20   16   28   25   25   27    61   13
 42   13   43   40   36   22   27   27   25    77    1
 43   12   23   17   46   15   18   20   16    63    2
 44   27   41   11   24   29   32   31   28    93    6
 45   31   23   25   49   33   33   35   33    93    3
 46   17   45   39   36   35   39   40   38    76   13
 47   37   17   37   25   41   36   36   40   100    9
 48   11   24   27   37   33   36   37   35    84   15
 49   40   36   35   29   40   39   38   39    80   11
 50   31   31   17   46   40   41   42   39    80   15
 51   18   43   46   12   44   46   45   47    95   19
 52   28   33   31   32   49   50   50   49    98   19
 53   30   46   26   28   40   42   41   40    71   18
 54   20   25   16   22   19   20   20   19    89    1
 55   38   38   15   19   41   41   40   39    80   18
 56   26   44   18   23   37   40   39   37    85   15
 57   44   41   48   29   50   48   47   50    89   13
 58   48   43   21   37   29   29   28   27    69    2
 59   21   41   37   27   28   30   30   29    70    8
 60   49   41   23   35   55   54   53   53    92   19
 61   35   28   33   36   37   36   36   36    79   10
 62   44   39   20   36   28   28   28   27    64    5
 63   37   26   12   33   34   33   33   31    91    7
 64   46   50   34   23   37   37   35   36    79    6
 65   11   32   38   27   24   27   28   27    87    4
 66   21   25   36   27   28   28   28   29    94    3
 67   11   36   37   45   29   35   37   32    94    4
 68   13   40   13   40   20   27   28   21    88    1
 69   17   19   15   45   35   38   40   35    93   14
 70   48   16   19   42   33   29   30   30    89    1
 71   34   48   23   50   36   39   40   36    61   14
 72   21   19   31   27   29   28   29   29    77   10
 73   22   41   17   33   33   36   36   33    70   15
 74   21   18   29   32   34   34   35   35    86   13
 75   38   10   32   49   28   26   27   27    65    5
 76   24   24   37   42   36   37   38   37    98    6
 77   49   48   21   32   44   45   44   43    65   19
 78   31   41   37   49   41   44   45   42   100    4
 79   12   15   49   27   23   23   24   25    68    7
 80   23   43   19   13   33   36   34   33    80   15
 81   20   12   44   32   21   20   21   22    63    4
 82   13   46   41   19   21   24   24   23    73    3
 83   25   22   25   17   36   35   35   36    75   19
 84   42   41   48   30   28   27   27   28    62    3
 85   25   32   32   16   31   31   31   32    71   13
 86   17   25   21   49   25   27   29   25    73    6
 87   19   14   33   38   28   28   29   29    94    4
 88   24   34   17   21   30   31   31   30    69   14
 89   36   19   19   38   29   28   29   28    67    9
 90   19   41   17   29   27   31   31   27    73   10
 91   44   15   21   32   40   36   36   38    76   15
 92   14   23   50   16   36   36   36   39    85   16
 93   49   27   24   26   35   32   32   33    61   13
 94   20   12   11   34   25   26   27   25    78   10
 95   30   50   19   22   22   24   23   21    66    3
 96   46   19   42   49   34   31   32   33    66    6
 97   49   50   44   31   56   55   54   55    83   19
 98   37   22   34   20   41   37   37   40    98   11
 99   28   13   37   48   48   46   48   48    86   20
100   11   48   18   10   22   27   26   23    85    7
101   11   33   10   37   25   31   32   26    94    7
102   12   36   50   40   46   51   52   51   100   17
103   16   22   48   12   35   34   34   38    93   14
104   29   22   40   23   23   22   22   24    63    5
105   18   23   22   23   25   26   26   26    79    9
106   25   23   28   48   44   45   47   44    92   16
107   15   48   47   10   18   21   20   21    68    1
108   33   41   34   10   24   24   22   24    72    3
109   50   29   24   25   41   38   37   39    62   18
110   16   30   15   27   18   21   21   18    75    3
111   44   19   33   49   28   26   27   27    61    4
112   38   23   27   11   27   23   22   26    86    3
113   31   20   16   17   15   14   13   14    61    1
114   24   15   42   17   35   32   32   36    98   10
115   38   34   42   21   23   21   20   23    62    1
116   46   29   20   45   40   39   39   38    68   14
117   41   43   44   27   37   36   35   37    68   10
118   45   49   50   38   60   60   60   61    96   17
119   26   23   46   41   28   28   29   30    83    1
120   33   18   37   16   43   39   38   43    96   16
121   28   41   12   47   32   36   37   32    78    9
122   48   46   27   47   45   46   46   44    78   12
123   44   28   19   28   38   36   35   36    94    7
124   28   34   30   32   49   50   50   49    95   20
125   21   21   35   45   27   28   29   28    88    1
126   34   31   23   13   29   27   25   27    95    3
127   25   17   38   46   32   31   33   33    73    9
128   38   17   43   41   40   36   37   40    91    6
129   22   48   11   15   24   27   26   24    65   10
130   22   27   26   48   25   27   28   26    66    6
131   38   23   31   20   22   19   19   21    68    1
132   22   11   36   35   27   26   27   28    77    7
133   26   33   25   25   31   32   32   31    80   10
134   15   10   11   35   19   20   21   19    71    7
135   21   20   42   10   22   20   19   24    96    0
136   42   42   30   36   29   29   29   28    76    0
137   26   10   38   37   31   29   30   32    77    9
138   33   15   29   11   29   24   23   27    93    5
139   27   48   42   11   23   24   23   24    78    0
140   39   10   23   38   33   29   30   31    91    4
141   22   30   42   23   38   39   39   40    99   11
142   31   36   10   10   28   28   27   26    83    9
143   25   25   15   35   26   27   28   25    89    4
144   30   44   29   33   29   31   31   29    62    9
145   29   15   11   34   21   21   21   20    64    6
146   39   29   29   35   21   20   20   20    61    0
147   25   37   47   46   44   46   47   46    71   19
148   19   44   18   11   26   29   27   26    77   10
149   13   29   14   36   36   40   41   37    90   18
150   32   12   32   18   41   37   36   40    81   19
151   17   50   11   44   25   31   32   26    69    8
152   49   43   15   27   38   37   36   35    71   12
153   15   46   19   16   17   21   20   18    74    2
154   24   20   18   18   27   26   26   27    97    7
155   29   40   48   47   41   43   43   43    61   18
156   45   14   40   48   38   34   35   37    76    7
157   39   48   14   44   36   39   39   35    82    7
158   27   38   19   20   32   34   33   32    80   12
159   18   44   22   36   36   41   41   37    88   13
160   22   38   41   47   37   40   41   39    86    8
161   48   49   38   37   49   49   48   48    98    6
162   11   46   33   37   23   29   30   26    85    1
163   31   12   15   21   37   35   34   36    84   18
164   25   35   29   43   28   31   32   29    76    5
165   20   12   44   24   23   21   21   24    75    4
166   20   40   37   18   18   19   19   19    61    2
167   31   35   33   42   36   38   38   37   100    2
168   36   12   48   41   53   49   50   54    93   19
169   38   37   35   50   47   48   49   47    74   18
170   43   25   24   41   37   35   35   35    89    5
171   21   47   13   50   43   49   50   43    80   20
172   22   31   42   13   35   35   34   37    83   14
173   32   28   26   44   41   42   43   41    92   11
174   16   19   15   43   30   32   34   30    81   12
175   42   40   21   31   28   28   27   26    65    5
176   14   15   48   31   26   26   27   28    65   10
177   33   49   36   43   38   41   41   39    77    9
178   42   36   42   14   37   34   33   37    79    9
179   35   11   16   17   22   18   18   20    84    2
180   11   28   15   33   31   36   37   32    97   13
181   31   42   44   18   36   36   35   37    89    7
182   38   24   39   22   26   23   22   25    78    0
183   31   23   49   44   34   33   34   36    88    2
184   29   18   39   32   38   37   37   39    63   19
185   34   25   41   24   40   38   38   40    75   16
186   42   28   35   40   37   35   35   36    92    2
187   23   38   19   42   31   34   35   31    68   12
188   10   49   11   48   33   40   41   34    66   18
189   33   45   27   40   41   44   44   41    91   10
190   20   18   17   44   36   37   39   36    90   14
191   48   45   19   29   32   32   31   30    76    4
192   30   33   30   45   29   31   32   30    79    3
193   31   16   17   31   26   24   25   25    72    7
194   13   35   29   12   31   33   32   32    71   17
195   12   40   37   20   31   34   34   33    78   13
196   32   45   24   25   42   44   43   42    82   17
197   25   43   26   38   32   36   36   32    98    2
198   16   27   41   20   29   30   30   31    68   13
199   37   27   24   48   28   28   29   27    75    2
200   24   22   49   22   45   43   43   47    91   19
