index 303
DMU 150
input 4
output 4
instance 3
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   37   24   16   25   17   18   17   17    67    0
  2   33   49   18   17   52   52   48   55   100   19
  3   45   32   45   14   34   32   28   30    61   11
  4   22   23   36   42   43   44   48   44    94   17
  5   20   16   39   36   34   33   37   32    99    9
  6   23   38   49   30   49   47   46   48    93   15
  7   21   47   31   36   27   28   29   31    65    5
  8   48   36   22   36   31   32   32   31    77    4
  9   17   20   14   36   16   18   21   18    65    4
 10   37   33   20   48   47   51   54   50    96   17
 11   34   24   33   28   40   39   39   38    69   19
 12   42   24   19   20   36   36   34   34    66   18
 13   36   47   21   18   30   30   27   32    74    5
 14   23   38   25   37   31   32   34   34    70   10
 15   40   31   42   31   35   34   33   33    68   10
 16   44   33   48   16   39   36   32   34    68   12
 17   28   20   27   22   29   29   28   28    79   10
 18   17   22   28   48   40   42   48   43    90   18
 19   20   21   43   39   38   37   41   37    98   10
 20   11   46   50   43   39   39   42   43    97    3
 21   13   22   35   29   27   26   28   27    95    4
 22   13   47   49   41   34   34   35   37    64   10
 23   37   11   24   20   22   21   19   17    90    1
 24   23   29   16   42   36   39   43   41    98   12
 25   32   22   15   13   29   28   26   27    89    9
 26   11   49   42   26   34   34   33   39    98    1
 27   48   32   47   19   27   24   21   22    64    1
 28   41   44   39   20   52   50   46   51    94   15
 29   16   28   18   23   30   31   32   33    77   14
 30   38   29   45   43   38   37   39   36    88    5
 31   18   29   17   22   26   27   27   28    69   11
 32   11   19   44   44   36   36   40   37    70   18
 33   12   31   44   31   27   26   27   28    68    7
 34   21   37   38   10   36   34   30   36    94    8
 35   18   39   18   37   27   29   31   32    72    8
 36   48   10   49   42   46   44   45   39    86   16
 37   42   37   43   29   36   35   33   35    72    8
 38   45   17   49   36   46   43   43   39    88   14
 39   15   45   17   14   26   27   25   31    91    3
 40   46   21   44   29   44   41   39   37    97    9
 41   35   12   20   16   37   36   34   32    98   16
 42   13   43   40   36   37   38   40   42    99    5
 43   12   23   17   46   32   35   41   36    88   14
 44   27   41   11   24   32   34   33   37    87    9
 45   31   23   25   49   24   26   29   25    61    7
 46   17   45   39   36   52   53   54   56    96   19
 47   37   17   37   25   31   29   29   27    83    7
 48   11   24   27   37   25   27   30   28    87    6
 49   40   36   35   29   49   49   47   48    81   20
 50   31   31   17   46   24   26   28   26    62    6
 51   18   43   46   12   39   37   34   39    65   17
 52   28   33   31   32   38   38   38   39    71   16
 53   30   46   26   28   43   43   42   45    75   17
 54   20   25   16   22   34   34   35   35    85   16
 55   38   38   15   19   43   43   40   44    79   19
 56   26   44   18   23   35   37   35   40    93    8
 57   44   41   48   29   45   43   41   43    70   15
 58   48   43   21   37   25   27   26   26    62    2
 59   21   41   37   27   33   32   32   35    94    2
 60   49   41   23   35   37   38   37   37    74    9
 61   35   28   33   36   34   34   34   33    70   11
 62   44   39   20   36   47   49   48   49    90   16
 63   37   26   12   33   28   30   31   29    87    6
 64   46   50   34   23   29   29   25   29    68    1
 65   11   32   38   27   22   21   22   24    81    0
 66   21   25   36   27   39   38   39   38    85   16
 67   11   36   37   45   27   28   32   31    83    2
 68   13   40   13   40   36   40   44   44    92   14
 69   17   19   15   45   20   23   28   23    86    3
 70   48   16   19   42   25   26   27   23    62    7
 71   34   48   23   50   43   47   50   49    98    7
 72   21   19   31   27   29   28   29   27    91    7
 73   22   41   17   33   29   31   32   34    88    4
 74   21   18   29   32   39   39   42   39    87   19
 75   38   10   32   49   25   25   30   22    85    1
 76   24   24   37   42   46   47   50   46   100   17
 77   49   48   21   32   44   46   43   46    93    8
 78   31   41   37   49   30   31   34   33    75    2
 79   12   15   49   27   35   33   35   33    74   17
 80   23   43   19   13   42   42   39   45    91   17
 81   20   12   44   32   31   30   31   28    71   13
 82   13   46   41   19   36   34   32   39    97    4
 83   25   22   25   17   32   31   30   31    63   17
 84   42   41   48   30   53   51   48   51   100   11
 85   25   32   32   16   37   35   33   36    72   16
 86   17   25   21   49   31   34   39   35    81   12
 87   19   14   33   38   21   21   25   20    92    0
 88   24   34   17   21   24   24   24   26    63    8
 89   36   19   19   38   32   33   35   31    82   11
 90   19   41   17   29   23   25   25   27    78    2
 91   44   15   21   32   21   21   22   18    76    1
 92   14   23   50   16   35   31   30   32    94    9
 93   49   27   24   26   22   22   20   20    66    1
 94   20   12   11   34   27   29   31   28    69   16
 95   30   50   19   22   38   39   37   41    65   17
 96   46   19   42   49   42   41   44   37    93    8
 97   49   50   44   31   63   61   58   62    92   20
 98   37   22   34   20   39   37   34   35    90   12
 99   28   13   37   48   29   30   34   28    71   10
100   11   48   18   10   30   31   28   36    81   10
101   11   33   10   37   31   34   36   36    64   18
102   12   36   50   40   41   40   42   42    65   19
103   16   22   48   12   32   28   26   28    98    6
104   29   22   40   23   39   37   36   36    81   15
105   18   23   22   23   28   28   28   28    83   10
106   25   23   28   48   40   42   47   42    99   13
107   15   48   47   10   45   42   38   46    86   15
108   33   41   34   10   36   33   28   35    93    4
109   50   29   24   25   36   35   32   33    92    5
110   16   30   15   27   34   36   37   38    86   16
111   44   19   33   49   40   41   44   38    92   10
112   38   23   27   11   20   18   15   17    64    2
113   31   20   16   17   34   33   32   32    85   15
114   24   15   42   17   26   23   23   22    61   10
115   38   34   42   21   37   35   33   35    66   13
116   46   29   20   45   39   41   42   39    67   17
117   41   43   44   27   42   41   39   41    61   17
118   45   49   50   38   51   50   48   50    78   14
119   26   23   46   41   37   36   38   36    65   16
120   33   18   37   16   37   34   32   32    83   14
121   28   41   12   47   25   29   32   31    81    1
122   48   46   27   47   46   48   49   48    92    8
123   44   28   19   28   33   34   32   32    94    5
124   28   34   30   32   34   34   35   35    68   13
125   21   21   35   45   26   27   31   26    88    2
126   34   31   23   13   40   39   36   39    74   19
127   25   17   38   46   27   27   32   26    89    2
128   38   17   43   41   44   43   44   40    72   20
129   22   48   11   15   26   27   24   31    81    4
130   22   27   26   48   30   32   36   32    73   10
131   38   23   31   20   30   28   26   26    99    1
132   22   11   36   35   28   27   31   25    94    6
133   26   33   25   25   30   30   30   31    79    8
134   15   10   11   35   10   12   16   12    68    1
135   21   20   42   10   29   25   23   25    89    6
136   42   42   30   36   38   39   38   39    82    7
137   26   10   38   37   38   37   40   35    84   17
138   33   15   29   11   22   20   17   18    75    4
139   27   48   42   11   37   34   29   37    91    3
140   39   10   23   38   24   25   27   22    74    6
141   22   30   42   23   36   34   33   35    92    8
142   31   36   10   10   32   33   29   34    78   13
143   25   25   15   35   21   23   25   23    85    1
144   30   44   29   33   40   41   41   43    90    9
145   29   15   11   34   17   19   21   18    73    3
146   39   29   29   35   32   32   32   31    88    3
147   25   37   47   46   38   38   40   39    69   12
148   19   44   18   11   43   44   40   47    92   19
149   13   29   14   36   25   27   30   29    60   13
150   32   12   32   18   37   34   33   31    99   13
