index 35
DMU 50
input 3
output 3
instance 5
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   11   36   43   29   30   32    89    3
  2   33   15   24   21   23   21    78    3
  3   17   12   15   24   25   24    90   11
  4   25   38   23   31   26   30    86    4
  5   36   35   29   51   50   50    97   18
  6   16   39   37   34   32   35    96    4
  7   19   31   22   43   40   43    95   19
  8   43   20   25   35   36   34    76   13
  9   13   22   17   29   28   29    71   16
 10   33   38   24   36   34   35    66   14
 11   13   29   12   22   17   21    76    6
 12   30   30   15   40   37   38    85   17
 13   11   23   50   34   42   40    98   11
 14   37   26   30   24   25   24    63    5
 15   48   32   36   45   46   44    79   15
 16   31   27   30   32   33   32    89    6
 17   28   14   30   36   40   37    87   17
 18   40   46   23   48   42   45    74   18
 19   48   28   25   40   40   38    84   11
 20   26   22   15   26   24   24    99    4
 21   31   32   18   40   36   38    97   12
 22   26   38   40   35   35   37    94    3
 23   12   32   29   28   26   29    92    5
 24   28   43   28   44   40   43    78   16
 25   18   30   33   22   22   23    83    0
 26   33   11   47   33   40   35    60   18
 27   17   32   42   39   41   41    79   16
 28   49   26   45   36   41   37    88    3
 29   17   15   11   15   14   15    75    4
 30   33   41   29   46   44   46    76   19
 31   42   48   20   52   44   48    93   14
 32   18   15   11   24   23   23    66   14
 33   48   14   23   36   39   35    70   17
 34   28   32   19   32   28   30    88    7
 35   23   35   46   38   41   41    97    6
 36   16   25   29   22   22   23    65    7
 37   44   49   16   42   36   39    71   13
 38   48   30   22   41   40   39    84   12
 39   21   38   39   35   35   37    78   10
 40   35   15   15   35   36   34    93   15
 41   39   30   18   27   25   25    75    4
 42   29   14   17   15   16   15    62    3
 43   15   18   45   34   41   38    91   14
 44   45   23   19   36   36   34    82   12
 45   20   47   48   40   40   42    72   13
 46   38   43   40   37   36   37    74    7
 47   13   48   42   34   32   35    62   12
 48   31   44   39   37   35   37    71    9
 49   25   35   15   43   38   41    90   18
 50   36   29   30   28   29   28    77    4
