index 370
DMU 200
input 2
output 2
instance 10
DMU   i1   i2   o1   o2   eff  err
  1   34   14   29   30    94   12
  2   39   43   46   46    97    5
  3   36   16   22   23    79    6
  4   19   24   29   29    92    8
  5   44   50   44   44    62   14
  6   44   24   39   40    71   19
  7   40   39   45   45    84   12
  8   21   24   24   24    64    9
  9   35   38   46   46    82   15
 10   36   21   25   25    65    9
 11   43   48   58   58    90   16
 12   16   20   30   29    87   13
 13   33   48   53   53    84   16
 14   11   37   28   27    74    5
 15   10   23   35   35    96   16
 16   21   36   34   34    68   12
 17   38   50   38   38    72    4
 18   48   35   40   40    76   11
 19   17   13   24   24    79   13
 20   39   46   48   48    95    6
 21   23   50   56   55    84   19
 22   38   28   24   24    68    3
 23   14   49   51   50   100   10
 24   39   40   39   39    85    5
 25   32   13   13   14    66    2
 26   27   42   50   50    94   14
 27   32   30   35   35    95    6
 28   12   44   36   35    83    6
 29   31   49   49   48    77   14
 30   28   28   34   34    61   17
 31   13   19   21   21    62   10
 32   44   20   28   29    99    3
 33   13   28   34   34    75   16
 34   25   34   42   41    80   16
 35   19   11   12   12    90    0
 36   30   35   36   36    87    7
 37   47   28   39   39    86   11
 38   48   49   46   46    78    8
 39   36   30   21   21    64    1
 40   22   25   26   26    77    7
 41   46   46   47   47    78   11
 42   34   50   45   45    70   13
 43   46   20   38   39    80   17
 44   49   32   39   40    82   10
 45   11   33   36   36    84   13
 46   28   46   41   41    68   13
 47   43   32   52   53    99   18
 48   14   39   31   30    89    1
 49   30   19   35   35    91   15
 50   38   18   28   29    84    9
 51   30   24   16   16    62    0
 52   49   21   22   22    64    4
 53   30   34   26   26    72    2
 54   18   45   44   43    62   20
 55   17   12   26   27    72   17
 56   48   13   35   36    86   17
 57   16   35   43   42    97   13
 58   40   33   48   48    94   15
 59   11   44   50   49    96   15
 60   43   29   48   48    90   19
 61   38   18   31   31    91   10
 62   21   46   42   41    82    9
 63   45   32   38   38    70   13
 64   46   19   29   30    76   10
 65   23   44   57   56    99   18
 66   30   32   38   38    68   17
 67   17   12   13   14    87    2
 68   18   40   24   24    66    1
 69   43   31   39   39    67   16
 70   42   35   33   33    62   10
 71   22   20   28   28    73   13
 72   29   30   40   40    90   13
 73   24   44   47   46    68   20
 74   11   44   55   53    95   20
 75   41   17   26   27    75    9
 76   28   33   37   36    93    7
 77   50   26   35   36    68   14
 78   38   49   56   55    96   11
 79   35   34   41   41    96    8
 80   43   37   52   52    94   16
 81   34   12   25   26    70   13
 82   39   41   43   43    86    8
 83   42   11   24   24    69   11
 84   39   49   44   44    71   11
 85   29   12   16   16    62    6
 86   29   42   33   32    76    3
 87   39   47   46   46    75   12
 88   20   35   28   28    74    5
 89   19   45   33   32    63    8
 90   40   31   27   27    79    1
 91   26   17   28   29    81   13
 92   34   13   15   15    72    2
 93   41   39   48   48    93   11
