index 338
DMU 150
input 5
output 5
instance 8
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   12   38   42   24   27   33   32   34   32   35    93    5
  2   21   44   20   33   27   45   48   48   46   46    87   20
  3   26   22   40   44   19   33   31   30   31   30    77    8
  4   45   32   20   25   41   32   34   34   35   34    69   12
  5   40   46   49   17   16   32   36   36   36   37    91    4
  6   28   41   21   40   19   40   43   42   41   40    91   13
  7   20   10   41   29   44   31   24   26   27   28    91    2
  8   16   25   35   22   17   36   35   36   35   36    66   20
  9   30   21   21   50   36   35   33   32   33   31    87    6
 10   22   37   31   31   40   34   33   35   33   35    82    7
 11   11   39   30   19   14   27   29   30   27   30   100    4
 12   19   23   39   14   39   21   18   20   20   22    60    4
 13   15   17   34   46   44   48   41   42   42   42    94   14
 14   23   32   35   34   34   41   39   40   39   40    83   13
 15   35   12   24   20   50   32   29   30   31   31    82    9
 16   22   40   29   30   19   30   31   31   30   31    87    5
 17   29   46   41   36   34   44   44   45   43   45    89   10
 18   14   18   16   20   47   21   19   20   20   21    71    4
 19   27   42   30   36   47   30   29   30   29   30    61    7
 20   17   17   42   43   34   37   31   32   32   32    89    6
 21   20   43   48   27   29   49   48   50   48   51    95   16
 22   35   50   14   31   49   36   38   39   38   38    67   13
 23   32   40   39   27   38   41   42   43   42   44    99    7
 24   43   13   47   24   40   30   27   27   29   29    81    3
 25   31   12   48   20   12   27   25   24   26   26    82    6
 26   33   31   47   30   17   38   38   38   38   38    61   19
 27   17   28   26   38   46   34   31   32   31   32    73    9
 28   47   16   48   26   48   29   26   27   28   28    65    5
 29   36   42   14   22   44   40   43   43   43   43    76   18
 30   45   23   28   46   21   30   30   28   30   26    89    1
 31   23   20   42   36   47   40   36   37   37   38    72   14
 32   44   41   26   27   41   28   31   31   31   31    73    4
 33   47   23   28   49   22   42   42   40   41   38    76   16
 34   41   25   38   49   11   42   43   39   41   38    96   10
 35   39   25   46   35   15   41   41   39   41   40    78   16
 36   27   36   12   28   13   23   26   25   24   24    72    7
 37   40   45   19   29   18   24   30   28   28   27    85    1
 38   20   28   20   37   30   35   34   34   34   33    74   14
 39   30   14   47   31   32   41   36   37   38   39    99    9
 40   36   40   24   12   28   24   28   28   28   29    96    0
 41   22   48   11   42   39   37   39   39   37   37    76   12
 42   19   13   19   31   38   21   18   19   19   19    60    5
 43   46   48   31   45   49   37   38   38   38   37    74    5
 44   17   27   36   35   34   34   31   32   31   32    89    5
 45   33   15   23   19   23   14   14   14   15   14    62    1
 46   32   29   33   13   19   32   34   34   34   35    94   10
 47   31   17   16   23   48   24   22   24   24   24    88    1
 48   41   29   38   22   24   38   39   39   39   39    79   15
 49   40   32   38   25   21   35   36   36   36   36    67   15
 50   41   15   47   17   21   43   42   42   44   44    90   19
 51   32   33   26   16   12   20   24   23   23   23    89    1
 52   44   38   43   10   12   28   33   32   33   34    97    3
 53   37   35   42   45   14   33   34   32   33   32    68    9
 54   22   46   39   38   40   41   40   41   40   41    62   17
 55   18   49   36   38   34   37   37   38   35   37   100    0
 56   34   20   46   32   17   35   33   32   34   33    88    8
 57   49   40   45   28   14   35   38   37   37   37    68   13
 58   34   40   24   25   49   36   37   39   38   39    89    7
 59   45   45   39   23   34   38   40   40   40   41    66   15
 60   26   11   39   36   12   39   36   34   36   34    91   14
 61   47   12   37   32   45   42   39   39   41   40    91   11
 62   11   41   18   49   38   38   36   37   35   35    94    5
 63   41   24   22   41   24   38   39   37   38   35   100    8
 64   38   49   41   30   40   30   31   32   31   32    63    6
 65   44   39   19   31   26   25   29   28   28   26    79    2
 66   12   37   40   21   41   45   43   46   44   47    95   15
 67   35   35   11   26   43   32   34   34   34   34    79   10
 68   24   16   35   37   20   21   18   18   19   18    72    0
 69   46   28   38   12   22   33   36   35   36   37    96    8
 70   13   38   30   28   13   22   23   23   22   23    86    0
 71   26   50   45   44   38   44   44   44   43   44    71   14
 72   31   28   42   15   39   37   36   37   37   39    71   15
 73   39   24   34   34   42   25   24   24   25   24    61    4
 74   26   22   29   43   35   49   46   46   46   45    89   19
 75   49   29   29   11   15   18   22   20   22   21    76    1
 76   27   15   31   16   20   34   34   34   35   35    91   15
 77   30   32   39   41   17   41   41   40   40   39    89   12
 78   13   11   13   33   43   38   33   34   34   34    98   13
 79   50   34   24   27   35   25   27   27   27   27    65    5
 80   27   14   11   15   47   19   17   19   19   19    77    2
 81   24   13   22   11   12   26   27   26   27   27    85   13
 82   27   23   37   46   41   43   39   39   40   39    82   12
 83   39   22   35   41   35   35   34   33   34   33    60   14
 84   33   47   12   10   14   31   37   37   36   36    66   19
 85   50   30   14   21   13   27   34   31   33   30    96    7
 86   46   36   45   16   45   48   49   50   51   53    98   14
 87   41   16   33   44   32   48   45   44   46   43    99   14
 88   45   23   15   18   24   39   43   41   43   41    95   19
 89   21   31   18   26   47   32   31   33   31   33    96    4
 90   30   26   38   18   22   31   32   32   32   33    63   15
 91   36   30   19   29   47   26   26   26   26   26    73    3
 92   18   34   27   31   12   29   30   30   29   29    75   10
 93   42   15   29   43   34   35   33   32   34   32    83    8
 94   39   43   13   43   41   41   43   43   42   41    80   13
 95   44   12   21   29   13   35   37   34   37   34    98   14
 96   42   11   24   33   17   41   41   39   42   38    99   17
 97   27   39   13   16   40   30   32   33   32   33    67   13
 98   37   16   46   29   19   25   23   23   24   24    70    4
 99   22   35   39   48   34   47   44   44   43   44    92   11
100   10   32   13   12   44   23   22   25   23   25    71    7
101   18   39   34   43   46   31   29   30   29   30    69    4
102   23   28   33   29   47   50   46   48   48   49    98   17
103   11   14   43   15   25   35   31   33   33   34    65   19
104   48   21   11   19   19   36   41   39   41   38    99   17
105   33   36   46   44   42   51   48   49   49   49    95   11
106   12   39   39   25   31   44   43   45   43   45    87   17
107   10   20   19   12   17   16   16   16   16   17    99    0
108   40   26   11   12   25   32   37   36   37   36    96   14
109   26   37   41   16   50   41   40   43   42   45    96    9
110   45   38   20   50   42   30   31   30   31   29    76    1
111   43   46   19   34   19   36   42   40   40   38    80   13
112   16   29   10   17   31   27   28   28   27   28    64   14
113   29   23   16   35   18   36   37   35   36   34    78   17
114   11   35   35   13   10   28   29   30   28   30    76   12
115   48   49   39   35   31   40   43   42   42   42    81    9
116   39   35   40   42   49   51   49   49   50   50    88   14
117   49   41   47   14   16   36   41   40   41   42    95    8
118   45   33   26   24   19   26   29   28   29   28    66    9
119   34   25   22   35   36   30   30   29   30   29    86    4
120   21   15   31   25   24   29   26   27   27   27    90    7
121   34   40   38   22   32   30   31   32   31   33    78    5
122   23   23   24   35   18   18   18   17   17   17    63    2
123   33   39   44   18   14   32   35   34   34   35    82    9
124   41   13   29   20   28   35   35   34   36   35    87   14
125   48   28   31   37   13   31   33   31   33   30    71   10
126   20   42   34   36   33   31   31   32   30   31    76    5
127   10   39   36   49   11   27   26   26   25   25    64    6
128   49   19   33   35   27   29   29   27   30   28    90    1
129   21   25   43   27   40   39   36   37   37   39    63   18
130   11   49   48   42   48   29   26   29   26   29    62    2
131   50   44   47   16   35   27   29   30   30   31    66    4
132   12   21   32   45   17   30   27   27   27   26    67   10
133   36   12   23   45   13   22   21   19   21   18    79    1
134   19   43   25   11   46   25   26   29   27   30    91    0
135   35   27   40   21   22   35   36   35   36   36    76   14
136   25   21   40   45   13   27   25   24   25   24    74    4
