index 304
DMU 150
input 4
output 4
instance 4
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   25   44   37   16   47   45   46   47    93   18
  2   12   45   48   26   28   25   26   30    76    2
  3   36   40   40   24   36   35   36   36    91    4
  4   43   34   28   18   32   33   33   30    99    2
  5   28   36   11   32   36   36   37   33    94   10
  6   22   45   44   34   39   36   38   40    77   10
  7   35   33   13   34   41   42   43   39    74   20
  8   25   38   11   22   29   29   30   27    60   14
  9   23   47   32   12   36   34   35   34    80   12
 10   19   41   19   39   39   37   39   38    78   15
 11   22   23   33   47   36   36   36   38    74   13
 12   39   14   43   46   47   49   47   51    95   15
 13   32   45   40   23   41   39   40   40    66   17
 14   26   49   14   37   31   30   33   29    75    7
 15   22   44   25   18   35   34   35   34    82   12
 16   25   29   12   47   25   25   26   24    67    6
 17   32   30   22   47   36   36   37   36    70   13
 18   37   20   24   30   31   33   32   31    75   11
 19   33   19   20   50   32   34   33   33    65   13
 20   36   38   32   40   37   37   37   36    90    4
 21   14   31   13   24   28   27   29   27    76   12
 22   30   30   27   36   32   32   32   32    77    8
 23   42   41   46   43   36   36   36   37    77    3
 24   17   49   25   27   22   20   22   21    62    3
 25   16   49   40   34   47   43   46   48    99   11
 26   44   20   40   16   35   37   35   35    87   10
 27   28   13   35   25   38   39   37   40    90   16
 28   14   35   17   37   30   28   30   29    96    4
 29   43   32   22   20   34   36   35   32    77   12
 30   24   35   31   32   25   24   24   25    76    1
 31   24   42   10   32   41   40   42   38    89   16
 32   10   11   48   40   31   30   29   38    90    7
 33   21   21   22   34   31   31   31   32    66   15
 34   38   50   11   33   24   24   26   21    72    0
 35   37   38   46   30   38   37   37   39    98    1
 36   43   39   44   42   28   28   28   28    65    1
 37   13   46   31   26   24   22   24   24    69    3
 38   14   18   36   49   27   26   27   30    69    7
 39   29   33   43   26   49   48   48   50    87   20
 40   42   16   43   39   33   35   33   36    96    1
 41   31   14   36   34   43   44   43   45    83   20
 42   11   16   23   41   17   16   17   18    64    2
 43   40   13   13   19   28   31   29   26    84   11
 44   13   30   30   39   31   30   30   32    62   13
 45   24   29   17   14   33   33   34   32    81   16
 46   17   32   10   41   36   35   37   35    62   20
 47   49   26   26   19   26   28   27   24    66    7
 48   46   42   33   38   49   50   50   47    83   16
 49   16   42   42   23   36   32   34   37    86    8
 50   48   36   49   31   41   42   41   42    85    7
 51   34   30   11   48   20   21   21   18    61    1
 52   39   27   45   39   44   45   43   46    89   11
 53   32   50   15   43   43   43   45   40    87   12
 54   19   19   21   27   37   37   37   38    93   17
 55   49   18   13   25   27   31   29   24    89    5
 56   22   15   16   35   38   39   39   39    88   19
 57   30   41   23   13   32   32   33   30    85    9
 58   26   23   31   33   39   39   38   40    95   12
 59   40   50   21   17   40   40   41   35    95    9
 60   23   33   36   17   41   39   40   41    92   15
 61   12   47   14   32   40   38   41   39    77   19
 62   34   19   12   14   19   21   20   17    84    3
 63   41   34   49   27   35   35   34   35    79    5
 64   22   37   22   46   23   22   23   23    64    2
 65   43   36   43   46   51   52   51   52    89   14
 66   47   12   27   20   34   37   34   33    79   14
 67   14   16   27   47   24   24   24   27    67    7
 68   10   42   37   10   35   32   33   35    71   16
 69   42   42   47   49   42   42   42   42    66   12
 70   19   40   32   37   29   27   28   29    72    5
 71   12   50   45   18   35   31   33   35    80    8
 72   41   34   20   46   45   46   46   43    80   17
 73   30   26   36   28   38   38   37   39    96    9
 74   26   22   29   12   36   36   36   36    88   17
 75   45   19   44   25   31   33   31   32    66   10
 76   19   20   12   50   36   36   37   36    66   19
