index 337
DMU 150
input 5
output 5
instance 7
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   41   37   39   35   23   23   22   23   25   24    68    0
  2   37   31   14   14   22   28   24   24   25   25    85    6
  3   24   26   32   49   19   37   40   40   42   40    65   20
  4   30   25   48   39   41   29   31   31   29   31    62    7
  5   27   39   28   27   19   31   30   31   32   31    77   10
  6   34   38   19   32   49   47   48   45   44   44    91   14
  7   13   38   42   41   31   35   37   38   38   38    61   17
  8   15   10   45   14   42   30   30   32   27   31    62   14
  9   11   29   29   32   38   33   35   35   34   34    61   17
 10   46   20   32   11   16   41   35   37   37   39    89   16
 11   29   17   34   12   19   36   34   36   35   37    79   18
 12   12   47   38   17   18   25   22   26   26   25    94    1
 13   26   10   35   39   49   27   31   29   26   29    72    4
 14   16   38   36   27   42   23   23   24   22   23    65    2
 15   20   14   10   35   48   40   46   41   38   39    96   15
 16   46   50   23   22   38   46   40   40   41   40    99    7
 17   48   38   24   39   35   40   40   38   40   38    85    8
 18   34   21   40   13   37   41   39   40   37   41    71   19
 19   36   30   19   16   11   19   15   16   18   17    74    1
 20   49   18   20   20   32   34   31   30   30   31    73   11
 21   29   37   18   17   39   34   32   32   31   31    65   14
 22   40   24   44   16   13   24   20   23   23   24    71    4
 23   29   26   42   47   14   22   24   25   27   26    66    4
 24   26   18   12   42   50   41   47   41   40   40    96   12
 25   30   36   45   30   14   40   38   41   43   42    91   13
 26   28   41   44   21   29   33   30   33   32   32    69   10
 27   19   30   11   43   46   39   45   41   40   39    94   12
 28   45   16   31   40   22   31   32   31   33   33    61   13
 29   45   18   11   13   13   42   37   36   38   38   100   19
 30   45   43   46   12   10   46   38   43   45   45    83   19
 31   49   29   18   39   25   28   27   25   28   26    69    5
 32   47   29   22   15   44   45   40   39   37   39    87   13
 33   20   46   32   38   17   27   28   29   32   29    83    4
 34   14   48   25   13   22   29   26   28   28   27    71   11
 35   41   28   43   36   32   50   49   50   50   51    94   16
 36   16   39   21   17   48   43   42   41   39   39    85   17
 37   36   45   27   30   49   37   36   35   34   34    65   11
 38   46   30   30   46   39   50   52   49   50   50    81   19
 39   37   49   47   23   32   35   31   34   33   34    80    4
 40   50   42   35   18   43   53   48   48   47   49    87   17
 41   12   35   35   11   19   22   20   23   22   22    64    8
 42   29   46   49   17   47   39   35   38   35   37    80    7
 43   21   49   48   45   25   52   53   56   58   55    99   18
 44   40   14   32   21   37   26   25   25   22   25    81    1
 45   23   14   41   16   22   22   21   23   21   24    81    3
 46   11   33   26   45   27   26   30   29   30   28    75    7
 47   17   12   33   17   18   31   31   34   32   34    98   13
 48   30   26   35   38   25   22   23   23   24   24    62    4
 49   43   15   45   15   11   27   22   26   25   28    89    3
 50   12   42   34   43   46   38   41   41   40   39    66   16
 51   41   46   43   47   13   26   26   27   31   28    64    4
 52   36   15   33   32   38   35   37   36   34   36    90    7
 53   42   49   30   43   49   45   45   43   44   43    77   11
 54   41   14   45   45   22   30   32   33   33   34    83    4
 55   13   47   23   48   13   25   28   28   31   27    73    7
 56   43   47   24   47   19   44   44   43   48   44    79   17
 57   11   46   23   23   21   32   31   32   33   31    70   15
 58   34   14   20   21   18   26   25   25   25   26    67   11
 59   33   14   36   42   29   34   37   37   36   37    67   15
 60   48   14   43   21   29   48   45   46   44   48    97   16
 61   19   43   40   41   35   30   32   33   33   32    76    5
 62   27   14   44   36   43   34   36   37   33   36    80    8
 63   10   14   43   46   28   37   43   44   42   43    81   18
 64   17   38   40   36   12   30   31   34   36   34    82   10
 65   26   39   31   20   32   28   26   27   26   26    88    1
 66   19   26   17   19   32   34   34   33   32   32    62   19
 67   28   45   48   23   47   54   51   54   50   53    88   19
