index 488
DMU 250
input 2
output 2
instance 8
DMU   i1   i2   o1   o2   eff  err
  1   23   20   27   27   100    5
  2   42   36   57   58    94   20
  3   47   44   52   53    97    8
  4   41   26   35   36    66   12
  5   27   41   32   30    85    4
  6   47   23   36   38    62   13
  7   28   49   28   26    71    2
  8   22   41   44   42    82   20
  9   25   38   34   33    95    6
 10   49   11   30   33    67    7
 11   39   25   33   34    86    4
 12   46   35   30   31    62    4
 13   15   27   28   27    73   14
 14   36   12   38   41    95   13
 15   28   13   23   24    63    9
 16   40   45   34   33    69    5
 17   19   29   31   30    93   10
 18   18   20   18   18    75    4
 19   28   20   22   23    61    7
 20   37   30   39   40    96    6
 21   30   14   36   38    85   16
 22   47   31   44   46    77   13
 23   32   36   37   37    90    7
 24   40   24   27   28    71    3
 25   12   28   19   18    72    6
 26   22   48   43   41    75   19
 27   11   42   25   23    71    9
 28   39   19   33   35    90    5
 29   13   19   33   32    95   18
 30   31   38   22   22    63    1
 31   46   48   46   46    68   14
 32   31   45   26   25    61    4
 33   49   17   43   46    73   16
 34   27   36   39   38    96   10
 35   35   34   43   43    79   16
 36   33   15   28   30    80    7
 37   23   19   17   17    73    1
 38   23   32   38   37    89   14
 39   29   33   30   30    70    9
 40   13   19   13   13    88    0
 41   31   17   37   39    99   12
 42   16   23   19   18    73    5
 43   48   41   32   33    60    5
 44   29   38   26   26    66    5
 45   22   24   19   18    77    1
 46   40   32   44   45    93   10
 47   38   25   31   33    92    1
 48   21   41   40   38    87   15
 49   15   47   41   37    95   15
 50   17   21   35   35    88   19
 51   32   33   24   24    70    1
 52   26   16   17   18    63    3
 53   12   44   27   24    73    9
 54   38   43   46   45    72   17
 55   10   12    7    7    64    0
 56   37   35   40   40    87    8
 57   42   45   52   52    91   13
 58   14   22   21   20    84    7
 59   46   39   50   50    80   15
 60   38   40   38   37    61   14
 61   18   49   33   31    75   11
 62   36   38   29   28    64    5
 63   34   34   40   40    95    8
 64   20   46   32   30    88    6
 65   32   17   24   25    83    2
 66   49   40   56   57    91   15
 67   45   28   37   38    69   10
 68   14   34   17   15    77    0
 69   40   24   41   43    97    8
 70   25   49   31   28    90    0
 71   45   45   46   46    71   14
 72   39   23   35   37    62   15
 73   34   26   27   27    73    4
 74   11   39   36   33    76   19
 75   36   12   17   19    60    1
 76   47   12   35   38    60   15
 77   37   32   41   41    82   12
 78   45   11   44   48    97   13
 79   41   18   28   30    70    5
 80   49   38   41   43    88    2
 81   41   24   34   35    61   13
 82   22   41   34   32    74   12
 83   24   38   38   37    83   14
 84   49   41   63   64    96   19
 85   30   40   31   30    72    7
 86   44   39   48   48    80   14
 87   19   31   31   30    71   14
 88   26   12   33   34    68   19
 89   37   40   31   30    70    4
 90   21   41   34   32    65   15
 91   35   35   25   25    62    3
 92   11   26   21   20    67   10
 93   43   24   31   33    65    8
 94   16   35   32   30    81   13
 95   37   20   33   34    62   14
 96   46   28   44   45    68   17
 97   38   12   35   37    78   13
 98   22   13   16   16    63    4
 99   38   30   33   34    63   11
100   28   13   24   26    77    7
101   26   50   37   34    93    4
102   45   44   56   56    87   17
103   38   31   46   47    77   19
104   28   42   40   39    69   17
105   15   39   33   30    91   11
106   39   24   47   49    91   17
107   34   34   31   31    91    0
108   42   26   38   39    66   14
109   22   29   30   30    87    9
110   43   35   34   35    82    1
111   49   29   54   57   100   13
112   29   11   27   29    60   14
113   15   27   35   34    94   17
114   15   31   30   28    83   12
115   16   20   23   23    82    9
116   30   32   41   41    87   14
117   39   41   43   43    89    8
118   17   13   20   20    71    9
119   11   13   11   11    61    4
120   33   43   40   39    89    7
121   50   34   47   49    95    5
122   24   27   19   19    67    2
123   35   27   41   42    99    9
124   14   11   24   25    81   14
125   15   47   32   29    82   10
126   24   13   17   18    61    5
127   22   11   19   20    73    6
128   12   27   13   11    65    1
129   23   37   40   38    76   18
130   46   41   41   42    89    2
131   39   22   27   29    72    4
132   35   41   37   37    73   10
133   35   33   27   27    76    1
134   47   12   32   36    96    0
135   10   14   23   23    78   14
136   50   30   34   36    72    4
137   14   21   18   17    85    4
138   13   46   26   23    74    7
139   36   45   46   45    99    7
140   16   45   27   24    96    1
141   41   16   41   43    76   17
142   33   44   31   31    60    9
143   32   45   27   26    74    0
144   23   15   19   20    89    1
145   18   24   26   25    62   13
146   21   31   29   28    94    6
147   18   26   30   29    88   11
148   47   30   51   53    79   19
149   26   38   30   28    67    9
150   18   22   27   26    90    9
151   36   30   30   31    89    0
152   19   29   28   27    97    6
153   47   18   39   42    68   15
154   34   27   37   38    62   18
155   31   12   36   38   100   12
156   42   15   34   37    88    6
157   29   43   37   36    68   14
158   34   39   35   34    89    3
159   43   13   28   30    66    7
160   43   41   39   40    91    1
161   44   12   29   33    91    0
162   21   29   32   31    94    9
163   13   42   26   23   100    2
164   11   24   12   11    63    2
165   33   17   24   26    79    3
166   27   39   41   40    95   11
167   13   16   25   25    79   14
168   40   37   37   37    72    9
169   16   46   35   32    96    9
170   29   19   31   32    86    9
171   22   35   24   23    71    5
172   39   48   48   47    71   18
173   34   10   29   31    61   14
174   32   13   24   26    89    2
175   12   44   31   28    76   13
176   18   39   24   21    91    0
177   34   43   33   32    89    0
178   46   23   54   57    98   18
179   28   33   24   24    65    5
180   29   47   46   44    77   18
181   11   14   12   12    85    2
182   43   15   27   30    82    1
183   25   48   35   34    60   15
184   21   11   17   18    66    6
185   19   19   29   29    96   11
186   33   36   39   39    98    6
187   46   44   50   50    99    5
188   42   12   44   48    95   15
189   39   39   38   38    96    1
190   25   31   33   33    63   16
191   10   20   16   15    73    6
192   19   12   30   31    75   18
193   17   40   39   37    83   18
194   26   11   26   28    80   10
195   12   25   27   25    98   10
196   26   37   31   30    99    1
197   41   16   28   30    67    7
198   50   45   36   36    70    2
199   38   20   40   42    92   11
200   50   42   42   43    71    9
201   43   46   48   48    69   18
202   19   34   29   27    98    5
203   19   16   18   18    65    6
204   29   10   38   41    99   17
205   17   31   40   39    95   19
206   29   23   24   25    87    1
207   16   35   33   31    99   10
208   18   11   17   18    96    2
209   35   35   50   50    96   16
210   13   10   13   13    76    4
211   48   49   54   54    80   15
212   39   35   34   34    64   10
213   31   39   33   32    78    6
214   35   40   38   38    76   10
215   42   49   37   36    81    1
216   49   41   53   54    88   13
217   47   14   44   48    95   11
218   16   45   31   29    66   13
219   33   26   43   44    86   17
220   24   19   25   25    90    5
221   34   25   43   44    78   19
222   22   35   29   28    63   12
223   36   21   45   46    82   20
224   15   31   21   20    87    3
225   25   24   28   29    71   11
226   34   40   31   30    76    3
227   38   22   30   32    64   10
228   32   23   45   46    90   19
229   23   24   31   31    63   16
230   35   18   33   34    62   15
231   33   39   26   26    66    3
232   44   18   26   28    67    3
233   14   41   27   25    79    8
234   13   29   22   21    91    5
235   20   28   28   27    76   10
236   48   28   41   43    74   11
237   31   37   38   38    94    7
238   13   20   20   19    88    6
239   42   34   38   39    88    4
240   36   33   36   36    75   10
241   10   39   25   23    62   12
242   36   49   44   43    89    8
243   11   49   33   29    94    9
244   19   33   22   21    78    3
245   35   27   42   43    82   16
246   21   25   41   40   100   18
247   43   27   36   38    85    5
248   40   11   30   32    61   12
249   49   48   38   38    66    6
250   42   48   38   38    62   11
