index 455
DMU 200
input 5
output 5
instance 5
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   45   20   40   10   40   43   43   44   45   41    95   13
  2   28   13   41   22   50   28   27   26   29   26    76    3
  3   34   10   20   24   34   39   38   38   38   37    94   15
  4   44   48   44   43   36   53   54   54   54   54    88   16
  5   35   44   15   25   12   24   26   26   24   25    61   10
  6   15   15   15   27   28   22   20   20   20   21    79    5
  7   43   34   22   14   32   31   33   34   32   31    86    8
  8   15   46   26   20   16   28   30   31   30   30    92    8
  9   37   30   41   14   29   44   45   46   47   44    94   16
 10   27   36   46   30   34   40   40   40   41   40    61   19
 11   42   40   45   32   41   48   48   48   49   48    80   16
 12   27   40   46   13   40   45   46   46   48   45    89   16
 13   25   16   34   22   15   33   34   33   35   34    66   18
 14   33   40   22   50   25   30   30   30   28   31    74    5
 15   15   50   21   17   48   25   25   25   25   25    61    8
 16   23   21   26   41   28   32   31   30   31   32    93    5
 17   23   11   43   33   37   41   38   37   41   39    97    9
 18   19   28   19   19   17   26   27   27   26   27    83   10
 19   15   25   43   38   22   49   48   47   50   50    99   19
 20   43   31   40   12   34   26   27   28   28   25    79    1
 21   22   36   35   29   43   45   45   44   45   45    94   14
 22   19   33   34   24   39   23   23   23   23   23    71    2
 23   24   33   23   41   37   25   24   24   23   25    79    0
 24   48   33   32   38   37   39   39   39   38   38    71   12
 25   13   24   47   26   42   33   32   31   34   32    81    7
 26   34   42   41   42   25   53   54   54   54   54    96   18
 27   16   46   36   32   18   23   25   24   24   25    83    0
 28   10   27   32   12   19   28   29   28   30   28    91   10
 29   31   36   33   20   48   50   49   49   50   48    92   19
 30   41   36   14   27   26   24   25   26   23   25    75    4
 31   14   26   44   21   42   34   34   33   35   34    63   15
 32   14   37   17   26   48   32   31   31   31   31    61   15
 33   48   15   17   24   12   33   34   35   33   33    62   19
 34   35   26   23   45   26   39   38   38   37   39    91   10
 35   36   32   16   33   28   41   41   41   39   41    80   18
 36   25   45   35   19   49   35   36   36   36   35    85    7
 37   40   18   24   40   29   32   31   31   30   31    92    3
 38   43   31   40   44   50   41   40   40   40   40    63   14
 39   38   40   36   38   14   37   38   39   38   39    84   10
 40   12   33   46   32   10   32   33   33   34   34    69   14
 41   45   19   49   24   32   41   42   42   43   41    69   17
 42   36   25   47   33   35   46   46   45   47   45    87   14
 43   34   26   40   26   20   28   29   29   30   29    89    2
 44   39   43   22   29   10   36   38   40   37   38    89   13
 45   23   15   35   33   41   48   46   45   47   46    97   17
 46   45   40   41   16   50   39   39   40   40   38    79    9
 47   23   35   18   38   42   33   32   32   31   33    78    9
 48   28   49   23   18   30   43   45   46   44   45    92   19
 49   12   35   21   33   30   33   33   32   32   33    74   14
 50   19   27   48   37   15   36   36   35   38   37    95    7
 51   25   33   36   22   31   41   42   42   43   41    97   13
 52   37   33   12   44   42   40   39   39   37   39    80   13
 53   23   39   37   10   11   22   25   26   26   24    97    1
 54   26   33   15   13   42   28   28   29   27   27    90    6
 55   35   26   28   32   48   45   43   43   43   43    79   17
 56   19   32   40   46   27   28   27   26   28   29    82    0
 57   14   21   27   42   40   40   38   37   38   39    88   13
 58   27   36   42   25   21   21   22   22   22   21    63    2
 59   21   43   23   16   40   27   27   28   27   27    96    1
 60   11   18   47   18   47   23   21   20   24   21    74    0
 61   43   27   45   44   39   46   46   45   46   46    71   17
 62   46   22   35   46   29   43   42   42   42   42    96    7
 63   30   20   30   13   41   25   24   24   25   23    75    4
 64   46   33   15   49   47   47   45   45   43   46    91   12
 65   39   29   38   16   43   33   33   34   35   32    97    1
 66   21   21   20   29   42   37   35   35   35   35    98   10
 67   24   44   25   32   31   33   33   33   32   33    66   13
 68   13   11   35   10   16   25   25   25   27   25    67   13
 69   33   18   17   34   46   38   36   36   36   37    75   15
 70   14   36   24   24   37   38   38   38   38   38    74   19
 71   16   32   47   13   17   17   18   18   20   18    65    1
 72   32   48   18   37   30   41   42   43   40   43    98   11
 73   10   31   38   18   46   24   23   23   25   23    79    1
 74   19   39   25   47   28   47   47   46   45   48    93   18
 75   18   43   35   26   41   28   28   28   28   28    82    2
 76   42   41   13   20   27   27   28   29   26   27    60   11
 77   24   49   26   17   14   31   33   34   33   33    75   14
 78   22   13   19   37   14   23   23   22   22   23    64    9
 79   17   11   20   46   47   44   40   39   40   41    84   17
 80   28   36   44   39   41   49   48   48   49   49    78   19
 81   46   39   21   36   41   37   37   38   36   37    63   15
 82   42   41   48   49   32   37   38   38   38   38    62   11
 83   32   46   49   37   49   50   50   49   50   49    86   13
 84   24   40   45   18   18   31   33   33   34   32    73   11
 85   10   31   36   20   12   20   21   21   22   21    67    6
 86   10   31   41   20   33   42   42   42   44   42    86   19
 87   20   44   45   32   14   37   38   38   39   39    83   12
 88   13   46   41   42   27   42   43   42   43   44    76   17
 89   11   11   27   19   17   37   36   35   37   36    91   20
 90   41   16   19   10   35   36   36   37   36   34    96   13
 91   21   15   37   45   10   29   28   28   29   30    69   10
 92   46   12   25   33   47   35   33   33   33   32    76    8
 93   22   23   10   42   10   23   23   23   22   24    67    9
 94   17   46   47   49   37   51   50   49   51   52    85   17
 95   31   15   20   42   14   25   24   24   23   25    93    1
 96   45   36   45   46   15   38   39   39   39   39    69   12
 97   21   24   25   43   24   30   29   29   29   30    64   12
 98   18   49   33   19   21   32   34   34   34   34    83   11
 99   25   34   15   34   31   30   29   29   28   30    69   11
100   13   12   31   20   46   29   27   26   29   27    80    8
101   27   17   29   25   45   44   42   42   43   42    93   16
102   30   15   43   31   30   44   43   43   45   43    88   16
103   30   18   18   22   42   22   21   21   21   20    78    1
104   32   17   33   44   23   37   36   35   36   36    71   14
105   35   17   31   28   37   23   23   22   23   22    72    1
106   20   45   22   31   26   36   36   37   35   37    88   12
107   10   11   40   11   30   32   31   30   34   30    88   12
108   12   43   20   30   46   37   37   36   36   37    76   15
109   16   32   18   42   45   33   31   30   29   32    99    2
110   42   36   17   33   39   31   31   32   30   31    78    6
111   17   47   29   19   17   18   20   20   20   20    62    4
112   29   30   24   35   20   33   33   34   33   34    67   15
113   29   32   31   10   24   25   26   27   27   25    64   10
114   19   34   22   11   38   34   35   35   35   34    70   18
115   20   17   21   11   41   28   27   27   27   26    73   11
116   34   18   46   19   42   50   50   49   52   48    99   17
117   31   30   47   49   28   38   38   37   39   39    97    1
118   27   35   20   45   28   36   36   35   34   37    75   13
119   45   29   28   37   43   53   52   52   51   51    91   19
120   24   22   13   35   34   23   22   22   21   23    77    3
121   45   49   27   47   42   38   38   39   36   38    81    5
122   50   20   36   13   31   32   32   33   33   31    75    9
123   49   22   36   47   29   43   42   42   42   42    75   14
124   15   31   26   25   28   21   20   20   20   21    75    2
125   32   31   17   36   12   34   34   35   33   35    61   19
126   14   48   49   47   21   41   42   41   43   44    89   10
127   38   25   34   50   12   30   30   30   30   32    87    2
128   40   26   25   28   49   38   37   37   37   36    70   14
129   43   19   12   39   42   30   28   28   27   28    73    6
130   46   48   44   43   21   44   46   47   46   47    91    9
131   17   20   12   42   23   36   34   33   33   36    96   13
132   19   33   17   40   31   37   36   36   35   37    63   19
133   20   20   11   37   49   37   34   34   33   35    71   16
134   14   31   26   39   23   32   31   31   31   33    74   12
135   34   13   13   17   28   29   29   29   29   28    86   11
136   15   43   28   44   47   39   37   37   37   39    93    6
137   49   19   23   42   29   43   42   43   41   42    90   13
138   43   15   35   48   39   42   40   40   41   41    61   18
139   22   11   14   29   14   25   25   25   24   25    65   13
140   23   35   19   45   49   52   50   49   48   51    98   18
141   33   20   34   39   45   40   38   37   39   38    88    8
142   26   38   46   49   36   49   49   48   49   50    86   15
143   31   12   42   39   29   35   33   32   35   34    95    3
