index 541
DMU 250
input 4
output 4
instance 1
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   40   24   38   48   47   47   45   46    76   18
  2   49   11   39   18   46   48   43   42   100   18
  3   23   26   21   11   31   32   32   31    98   12
  4   47   32   42   50   47   47   46   47    75   15
  5   36   10   41   16   39   39   37   37    76   20
  6   40   14   31   49   50   50   47   49   100   16
  7   10   14   31   22   19   17   18   19    77    3
  8   10   32   46   20   35   33   36   36    79   13
  9   19   22   44   36   30   29   29   30    70    8
 10   31   46   47   25   36   35   36   36    63   12
 11   23   17   41   49   42   41   40   42    77   16
 12   46   15   23   35   30   31   29   29    70   10
 13   40   25   43   11   44   44   43   42    82   20
 14   13   35   16   43   34   33   35   36    75   13
 15   40   32   24   49   36   36   35   36    88    4
 16   21   21   18   25   24   24   24   24    94    4
 17   37   40   17   11   36   37   37   35    76   17
 18   32   27   46   26   32   31   31   31    85    4
 19   13   13   19   36   34   34   34   35    82   17
 20   44   42   49   25   33   33   33   32    79    2
 21   47   29   35   25   34   35   33   33    76    9
 22   43   36   29   27   24   25   24   23    63    3
 23   45   36   39   31   29   30   29   28    73    2
 24   18   20   14   35   34   34   34   34    66   19
 25   27   50   20   15   41   42   45   43    93   16
 26   43   25   31   34   45   46   44   44    76   20
 27   36   28   40   26   34   34   34   33    75   10
 28   26   35   13   21   33   34   34   33    81   14
 29   37   25   21   48   38   38   37   38    90    8
 30   36   49   11   47   34   35   36   36    63   12
 31   42   36   22   17   29   30   29   28    67   10
 32   49   12   49   23   35   36   32   32    93    5
 33   12   33   23   15   33   32   35   34    98   12
 34   37   18   44   50   54   53   51   53    95   18
 35   36   17   10   46   35   36   34   35    93   10
 36   35   23   15   25   37   38   37   36    89   16
 37   20   26   18   45   35   34   35   36    60   18
 38   13   48   26   31   33   32   37   36    97    4
 39   15   20   27   37   41   40   40   42    92   17
 40   34   20   40   17   36   36   35   34    72   16
 41   29   35   26   23   30   31   31   30    69   11
 42   32   48   28   45   44   43   45   45    95    7
 43   20   29   16   45   41   41   42   43    89   16
 44   12   10   43   14   29   28   28   28    73   14
 45   46   28   38   20   32   33   31   30    82    6
 46   12   17   23   40   17   16   17   18    70    0
 47   21   22   46   26   34   33   33   34    96    6
 48   39   16   11   17   29   31   28   27    94   11
 49   28   16   22   26   17   17   16   16    61    3
 50   21   35   46   21   33   32   33   33    79    8
 51   38   46   46   16   51   51   52   50    94   17
 52   27   25   21   11   30   31   31   30    66   17
 53   47   50   41   13   32   33   33   31    76    4
 54   39   16   43   39   36   36   33   34    89    5
 55   23   26   23   24   29   29   29   29    82    9
 56   49   18   18   20   35   37   34   33    81   15
 57   28   22   18   25   23   24   23   23    66    8
 58   27   28   39   27   30   29   29   29    87    3
 59   25   17   34   19   43   43   42   42    97   20
 60   44   30   45   32   46   46   44   44    98    9
 61   39   33   39   48   40   40   39   40    80    8
 62   17   44   46   33   45   43   46   46    93   11
 63   29   36   37   14   19   19   19   18    62    1
 64   15   30   43   25   41   39   41   41    77   18
 65   33   30   11   48   27   28   27   28    72    5
 66   30   35   48   34   37   36   37   37    69   11
 67   13   34   22   46   33   32   34   35    64   14
 68   49   17   24   48   42   43   39   40    90   11
 69   16   27   39   39   39   37   39   40    76   15
 70   38   31   26   45   41   41   40   41    68   17
 71   21   48   22   33   39   39   42   41    86   12
 72   48   37   36   31   52   53   51   50    93   17
 73   37   48   45   39   42   42   43   43    93    3
 74   32   11   35   43   39   39   37   38    85   13
 75   50   10   20   38   42   44   39   40    99   14
 76   17   25   45   16   29   28   29   29    96    4
 77   45   40   19   45   30   31   31   30    66    6
 78   26   15   18   33   37   37   36   37    83   18
 79   31   11   49   33   28   27   25   26    72    5
 80   15   30   44   38   36   34   36   37    82    9
 81   21   23   27   20   27   27   27   27    98    5
 82   25   21   26   23   28   28   27   27    87    7
 83   35   11   11   41   18   19   17   18    72    1
 84   29   49   48   32   39   38   40   40    70   11
 85   48   21   42   37   40   40   38   38    62   17
 86   23   44   40   30   40   39   41   41    85   10
 87   40   32   48   13   34   35   34   32    87    6
 88   41   37   45   26   46   47   46   46    80   17
 89   19   40   24   28   28   27   29   29    70    8
 90   21   32   46   41   36   34   36   37    96    1
 91   20   35   31   46   36   34   36   38    90    5
 92   34   46   10   24   25   27   28   26    81    3
 93   44   13   18   33   30   31   27   28    90    6
 94   14   40   12   40   29   29   32   32    89    5
 95   46   16   34   25   37   38   35   35    89   11
