index 333
DMU 30
input 5
output 5
instance 3
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   22   35   11   22   35   28   28   30   27   28    64   12
  2   22   31   33   45   39   35   33   35   33   34    68   11
  3   38   22   43   15   46   42   40   41   41   42    76   17
  4   37   17   41   18   24   41   42   39   43   42    94   16
  5   14   30   49   27   46   30   27   30   27   31    67    7
  6   42   42   22   29   16   36   39   35   38   36    77   13
  7   15   25   27   20   28   21   19   21   19   21    75    3
  8   35   39   48   29   43   43   42   43   42   44    71   15
  9   27   14   26   45   16   23   24   22   24   22    79    3
 10   24   10   13   47   39   42   41   44   41   38   100   16
 11   40   12   29   45   36   36   37   36   38   33    87    9
 12   50   25   27   30   47   29   30   29   30   26    83    0
 13   49   39   19   48   44   46   48   47   47   44    67   20
 14   39   34   24   48   28   40   42   40   41   39    79   13
 15   46   32   28   33   29   30   32   30   32   30    65    9
 16   46   30   25   40   26   35   37   34   37   33    73   11
 17   40   38   42   22   20   32   33   30   33   34    80    6
 18   40   24   38   43   23   34   35   33   36   34    61   14
 19   40   50   14   48   14   43   47   43   46   43    94   12
 20   24   36   33   34   46   46   44   48   43   46    99   11
 21   32   47   13   20   28   30   31   31   30   30    81    7
 22   42   21   28   33   29   41   42   40   43   39    84   16
 23   45   27   42   25   35   39   39   38   40   39    84   10
 24   29   35   35   41   27   31   31   31   31   31    83    3
 25   28   37   46   41   48   37   35   37   35   37    65   10
 26   22   13   41   37   41   38   35   37   36   37    82   12
 27   26   25   21   35   23   32   33   32   33   32    78   12
 28   17   43   31   11   38   30   28   31   27   31    71    9
 29   26   29   25   45   35   27   27   28   26   26    75    3
 30   47   35   39   16   46   25   25   25   25   25    66    1
