index 548
DMU 250
input 4
output 4
instance 8
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   46   48   31   45   47   46   46   47    93    7
  2   49   17   27   36   47   45   43   45    91   17
  3   35   34   33   15   25   24   24   25    69    5
  4   23   19   23   32   22   23   22   22    70    5
  5   29   33   13   19   23   22   22   23    65    7
  6   31   17   16   23   35   34   33   35    72   19
  7   48   41   29   38   51   50   49   51    97   13
  8   22   24   40   32   31   32   33   30    99    2
  9   38   25   21   41   30   29   28   29    76    5
 10   15   47   17   21   39   39   41   40    89   16
 11   32   33   26   16   36   35   36   37    89   13
 12   12   44   38   43   40   42   44   41    70   16
 13   10   12   37   35   30   33   33   29    91    9
 14   42   45   14   22   37   35   35   38    67   16
 15   46   39   38   40   56   55   55   56   100   15
 16   18   49   36   38   41   43   44   42    63   19
 17   34   34   20   46   36   35   34   35    82    7
 18   32   17   49   40   41   43   42   40   100    7
 19   45   28   14   34   24   22   20   23    76    0
 20   40   24   25   49   47   46   44   46    97   12
 21   45   45   39   23   40   39   39   41    78   11
 22   34   26   11   39   33   31   30   32    92    6
 23   36   12   47   12   21   22   21   21    67    5
 24   37   32   45   11   21   21   21   21    67    1
 25   41   18   49   38   41   42   41   40    99    6
 26   41   24   22   41   34   33   32   34    71   11
 27   24   38   49   41   41   43   43   41    69   15
 28   30   40   44   39   43   44   44   43    68   17
 29   19   31   26   12   20   20   21   21    70    5
 30   37   40   21   41   51   50   49   51    97   16
 31   35   35   11   26   26   25   24   26    65    8
 32   43   24   16   35   40   38   36   39    80   15
 33   37   20   46   28   25   25   25   25    76    1
 34   38   12   22   13   26   25   24   26    79   10
 35   38   30   28   13   30   28   28   30    86    7
 36   26   50   45   44   41   43   44   42    73   11
 37   38   31   28   42   38   38   37   38    94    5
 38   15   39   39   24   42   44   46   43    98   14
 39   34   34   42   26   47   47   47   47    81   20
 40   22   29   43   35   39   41   41   39    94    9
 41   49   29   29   11   21   19   19   21    63    3
 42   15   27   15   31   41   42   42   41    93   20
 43   16   20   30   32   27   28   28   27    65   11
 44   39   41   17   13   31   29   29   31    68   12
 45   11   13   33   43   29   31   31   29    60   14
 46   50   34   24   27   37   35   34   37    73   12
 47   35   27   14   11   29   27   27   29    67   14
 48   15   47   24   13   40   40   42   41    93   17
 49   22   11   12   27   24   24   23   24    98    6
 50   23   37   46   41   37   39   39   37    66   13
 51   39   22   35   41   48   48   47   47    96   15
 52   35   33   47   12   34   34   35   34   100    4
 53   10   14   50   30   42   46   47   42    90   20
 54   14   21   13   46   22   23   23   22    80    2
 55   36   45   16   45   32   31   31   32    61    9
 56   41   16   33   44   31   31   29   30    77    5
 57   32   45   23   15   24   23   24   25    77    2
 58   18   24   21   31   22   22   22   22    69    5
 59   18   26   47   30   24   26   27   24    79    1
 60   26   38   18   22   30   30   30   31    66   13
 61   36   30   19   29   29   27   27   29    88    3
 62   47   18   34   27   31   30   28   30    87    4
 63   31   12   42   15   30   30   30   29    80   11
