index 70
DMU 50
input 4
output 4
instance 10
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   11   39   29   36   39   37   40   39    95   13
  2   45   24   11   11   29   33   31   33    75   13
  3   24   29   25   17   32   33   34   34    80   14
  4   17   21   42   15   37   35   37   35    78   18
  5   21   25   17   19   25   26   26   27    83    9
  6   16   34   39   38   33   31   32   31    81    7
  7   13   46   33   17   27   27   31   29    67   11
  8   46   18   26   45   30   30   27   28    71    4
  9   17   49   25   34   33   33   36   36    78   11
 10   11   23   26   33   36   34   34   33    95   13
 11   37   16   37   29   28   27   26   25    74    4
 12   22   25   18   22   22   23   23   23    95    2
 13   18   18   23   24   36   36   35   35    86   18
 14   38   19   29   41   37   37   34   35    77   11
 15   37   12   45   31   43   42   40   39    87   13
 16   34   49   27   42   42   43   44   45    92    9
 17   27   23   37   40   46   45   43   43    87   17
 18   20   33   44   18   37   35   38   36    81   14
 19   43   12   42   35   44   43   41   40    65   20
 20   11   31   21   49   32   30   30   30    62   14
 21   32   18   25   37   33   33   31   31    67   13
 22   47   18   23   37   37   38   35   36    69   14
 23   14   12   14   35   25   23   21   22    80    8
 24   50   23   12   21   26   29   27   29    73    7
 25   12   46   21   21   19   19   22   22    78    2
 26   40   28   47   43   59   58   56   55    96   19
 27   47   41   14   42   31   34   31   34    86    1
 28   49   14   43   21   28   29   27   26    77    2
 29   32   17   24   30   26   26   24   25    77    5
 30   26   21   26   45   37   36   34   35    66   16
 31   45   34   41   16   49   51   52   51   100   16
 32   19   32   39   18   34   33   36   35    86   12
 33   29   17   50   25   32   30   30   28    89    3
 34   28   17   20   39   28   28   26   26    65   10
 35   46   42   49   13   38   39   41   40    61   16
 36   12   42   43   44   37   34   36   35    70   12
 37   46   15   31   38   40   40   36   37    75   13
 38   14   21   30   22   32   31   32   31    73   16
 39   39   35   14   27   26   28   27   29    77    5
 40   48   39   38   22   41   42   43   42    61   19
 41   20   20   20   29   23   22   21   21    85    3
 42   27   40   23   50   43   42   42   43    71   18
 43   27   46   42   29   38   38   41   40    89    8
 44   22   12   17   43   25   24   20   21    88    2
 45   14   13   18   22   16   16   15   15    76    3
 46   20   20   43   45   45   42   41   41    75   19
 47   29   45   43   24   28   28   31   30    82    1
 48   17   20   46   14   27   25   27   25    68   10
 49   47   44   40   37   30   31   31   31    67    2
 50   23   43   40   20   31   31   35   33    87    6
