index 61
DMU 10
input 4
output 4
instance 1
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   35   37   48   15   40   38   40   39    92    8
  2   16   25   22   47   24   26   25   25    79    4
  3   30   31   39   24   38   37   38   38    80   13
  4   19   40   39   41   33   35   35   34    73   10
  5   13   37   37   26   16   17   17   16    62    0
  6   13   28   20   11   25   26   26   25    96    9
  7   34   21   30   44   25   26   25   26    68    3
  8   46   22   27   43   37   37   36   37    86    6
  9   47   11   41   10   39   35   36   37    84   12
 10   44   20   30   26   24   23   23   23    64    3
