index 186
DMU 100
input 4
output 4
instance 6
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   10   30   16   41   27   25   25   26    94    3
  2   15   36   45   12   31   37   32   30    75   12
  3   46   42   17   11   38   36   41   40    95   11
  4   27   50   30   40   28   28   27   28    61    5
  5   12   37   11   40   22   20   20   22    71    3
  6   33   27   15   45   37   31   35   37    94    7
  7   36   39   32   32   40   40   40   40    74   14
  8   30   48   16   30   41   40   42   42    68   20
  9   33   32   23   18   21   21   22   21    76    1
 10   46   36   46   11   46   50   49   47    83   19
 11   40   48   42   14   34   37   36   34    72    9
 12   36   34   18   13   27   26   29   28    96    3
 13   25   43   27   25   45   46   46   45    85   20
 14   28   42   34   48   30   29   29   30    67    4
 15   48   42   28   11   34   34   37   35    99    3
 16   43   26   32   30   35   34   36   36    92    5
 17   40   11   18   13   30   28   32   31    91   12
 18   46   39   42   18   42   44   44   43    78   15
 19   11   23   20   39   38   37   36   37    91   16
 20   37   40   35   34   39   39   39   39    71   13
 21   16   49   15   11   28   30   29   28    76   11
 22   37   22   17   14   29   28   30   30    64   15
 23   40   47   27   29   40   40   42   41    88    9
 24   45   11   19   11   33   31   35   34    81   16
 25   22   24   36   27   26   28   26   26    76    6
 26   34   40   36   46   45   44   44   45    73   16
 27   15   38   43   43   26   29   25   25    75    0
 28   40   15   19   18   21   19   22   22    70    5
 29   43   20   49   26   31   33   31   31    89    1
 30   35   20   12   37   40   34   39   40    91   15
 31   18   30   19   47   32   29   29   31    78    8
 32   31   41   24   37   35   34   35   36    87    6
 33   41   14   34   40   28   26   27   28    69    5
 34   44   25   25   32   39   35   39   40   100    7
 35   28   46   13   11   30   30   32   31    72   13
 36   35   43   35   33   35   36   36   35    78    7
 37   28   43   13   33   38   36   39   39    78   15
 38   42   16   39   21   27   28   28   27    76    5
 39   37   43   41   27   32   34   33   32    69    7
 40   43   48   15   48   48   42   48   49    92   11
 41   26   47   35   39   37   38   36   36    78    8
 42   20   33   16   44   29   25   27   28    90    2
 43   34   40   49   46   39   41   38   38    83    4
 44   46   30   30   45   48   45   48   48    83   16
 45   27   25   39   29   30   32   30   30    85    5
 46   50   46   16   35   39   33   40   40    95    3
 47   14   16   46   50   31   32   29   30    63   11
 48   46   28   27   33   33   31   33   33    64   11
 49   20   44   35   46   40   40   38   39    99    3
 50   25   27   35   46   32   32   31   31    77    6
 51   23   41   48   42   30   32   29   29    65    5
 52   48   22   41   13   22   24   24   23    73    1
 53   49   11   28   41   32   27   32   33    88    3
 54   18   38   25   26   45   46   45   44    96   19
 55   23   31   43   38   34   35   33   33    61   13
 56   11   23   25   30   31   31   29   30    78   13
 57   20   12   35   23   21   23   20   20    85    2
 58   17   39   41   30   39   42   38   38    85   12
 59   31   48   34   35   36   36   36   36    72    9
 60   47   18   36   24   32   31   33   32    94    3
 61   10   37   36   46   40   42   38   39    98    8
 62   27   34   20   47   30   27   29   30    69    7
 63   32   23   28   26   37   37   38   38    79   16
 64   45   38   17   42   39   34   39   39    78   10
 65   14   32   18   29   27   27   27   27    85    7
 66   42   20   38   47   37   35   36   37    64   13
 67   22   45   18   45   48   45   47   48    94   16
 68   20   45   13   49   49   45   47   49    96   17
 69   42   15   33   24   29   29   30   30    65   11
 70   22   39   14   33   35   33   35   35    86   11
 71   49   21   18   37   28   23   29   29    88    0
 72   24   40   29   23   25   27   26   25    78    3
 73   36   19   45   49   36   35   34   35    78    6
 74   23   38   44   13   28   34   30   28    81    6
 75   33   20   41   25   41   42   41   40    71   20
 76   42   34   11   23   37   33   38   38    92   11
 77   15   22   29   40   30   29   28   29    75    9
 78   24   23   11   34   33   28   32   33    93   10
 79   31   47   24   48   45   42   44   45    74   16
 80   48   37   37   27   38   39   40   39    78   10
 81   12   43   13   39   47   45   46   47   100   19
 82   46   26   22   18   36   35   38   37    69   17
 83   13   14   23   18   18   20   18   18    85    4
 84   10   11   35   44   33   33   29   31    92    9
 85   21   47   20   27   44   44   44   44    90   18
 86   46   50   37   27   56   57   58   57    95   19
 87   15   47   26   22   38   41   38   38    95   12
 88   12   47   17   28   39   40   39   39    77   19
 89   11   21   46   36   45   49   43   44    89   20
 90   16   21   29   44   21   20   19   20    63    3
 91   32   33   25   37   35   33   34   35    92    5
 92   26   33   40   28   26   28   26   26    62    7
 93   48   19   25   22   35   32   36   36    87   10
 94   37   26   33   44   37   35   36   37    85    7
 95   41   18   28   26   17   16   17   17    60    0
 96   45   42   26   43   37   33   37   38    88    2
 97   20   20   42   37   34   36   32   33    91    7
 98   26   46   28   16   33   36   35   34    87    9
 99   24   36   35   26   31   33   32   31    62   13
100   21   49   33   45   53   53   52   52    90   19
