index 63
DMU 50
input 4
output 4
instance 3
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   50   15   40   19   43   46   37   42    97   13
  2   17   29   40   41   39   38   41   41    81   14
  3   42   46   13   18   27   28   27   24    64    7
  4   36   15   38   45   29   27   28   29    70    5
  5   44   17   12   43   33   28   31   29    78    7
  6   20   41   15   20   31   32   34   31    81   12
  7   17   23   41   33   42   43   44   45    94   17
  8   41   24   22   20   31   31   28   29    89    6
  9   23   18   33   17   25   27   24   27    98    4
 10   11   37   11   28   19   18   22   19    67    4
 11   45   36   25   49   44   41   44   42    68   16
 12   38   48   39   46   35   35   37   35    66    7
 13   33   49   19   38   33   32   35   31    66    9
 14   32   47   43   29   32   35   33   33    86    1
 15   24   24   37   45   49   45   49   50    93   18
 16   43   22   13   36   34   30   31   30    80    8
 17   42   13   27   21   29   29   24   27    89    5
 18   36   27   31   29   33   33   32   33    94    4
 19   36   39   27   12   38   42   37   37    79   16
 20   47   30   43   49   55   53   53   54    92   15
 21   50   37   15   21   34   34   31   30    75    9
 22   13   42   43   10   29   37   33   34    92    9
 23   30   39   18   17   29   31   30   28    75   10
 24   32   30   23   39   45   42   45   43    84   17
 25   48   12   48   12   26   30   22   27    61    9
 26   42   16   37   11   40   45   35   40    95   16
 27   19   11   15   14   30   30   29   30    67   20
 28   47   10   24   42   29   24   25   26    75    3
 29   45   22   21   27   38   36   34   35   100    7
 30   35   17   43   42   46   44   44   47    78   19
 31   32   46   11   24   30   30   32   28    66   11
 32   18   28   25   13   30   33   31   31    94   12
 33   36   37   19   11   25   28   25   24    76    6
 34   49   37   30   21   42   44   40   40    84   13
 35   32   43   26   38   32   31   33   31    62   10
 36   33   16   40   48   37   34   36   38    77   10
 37   25   49   31   42   32   31   35   32    74    5
 38   26   38   44   32   31   32   32   33    66    9
 39   41   45   21   17   40   42   40   38    70   18
 40   12   42   47   21   34   38   37   38    73   15
 41   35   19   45   45   26   25   25   27    67    2
 42   30   26   33   25   25   26   25   26    69    6
 43   25   49   48   12   22   29   24   26    75    1
 44   29   19   49   27   38   40   37   40    66   19
 45   27   49   34   20   39   42   41   40    75   16
 46   20   34   30   24   38   39   39   39    77   18
 47   46   17   14   42   36   32   34   33    68   13
 48   23   22   35   48   33   29   33   34    75    8
 49   41   13   29   49   39   34   36   37    76   11
 50   42   25   33   18   26   29   24   26    77    4
