index 394
DMU 200
input 3
output 3
instance 4
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   46   43   17   33   36   37    66   11
  2   49   25   27   33   36   37    86    5
  3   16   49   40   43   40   39    85   13
  4   34   44   20   40   41   42    92   11
  5   40   16   28   44   47   47    95   18
  6   13   35   25   38   35   35    96   14
  7   14   35   17   20   19   19    92    0
  8   37   43   32   29   29   29    67    4
  9   22   20   24   38   38   38    95   17
 10   35   31   32   36   37   37    87    8
 11   24   42   10   28   29   30    73   11
 12   32   10   11   30   32   33    70   18
 13   48   40   21   43   46   47    84   14
 14   21   22   34   34   32   32    74   14
 15   38   50   11   51   54   55    99   20
 16   33   37   38   36   36   36    70   11
 17   46   30   43   40   41   41    75   10
 18   39   44   42   49   48   48    83   14
 19   13   46   31   35   32   32    72   13
 20   26   14   18   33   34   34    83   17
 21   36   49   29   33   33   33    69    7
 22   33   43   26   39   39   39    71   15
 23   42   16   43   35   36   36    97    2
 24   39   31   14   33   37   38    96    8
 25   36   34   11   41   44   45    87   19
 26   16   23   41   36   33   32    74   15
 27   40   13   13   37   40   41    85   19
 28   19   13   30   34   33   32    88   15
 29   30   39   24   32   32   33    92    4
 30   29   17   14   19   20   21    67    6
 31   17   32   10   29   29   29    63   17
 32   41   49   26   33   35   35    81    3
 33   26   19   46   39   38   37    73   16
 34   42   33   38   39   39   40    61   16
 35   16   42   42   39   36   35    63   17
 36   23   48   36   54   52   51    98   19
 37   49   31   34   44   47   47    99    7
 38   30   11   48   48   46   45    89   20
 39   39   27   45   37   36   36    95    1
 40   39   32   50   39   38   38    86    4
 41   15   43   19   30   29   29    67   13
 42   19   21   27   19   18   18    60    5
 43   49   18   13   42   47   49    89   20
 44   25   22   15   13   14   14    61    1
 45   16   35   30   39   37   36    75   18
 46   41   23   13   38   42   43    96   15
 47   26   23   31   30   29   29    95    4
 48   33   40   50   36   35   34    60   11
 49   21   17   23   33   33   33    87   15
 50   33   36   17   42   43   44    93   16
 51   12   47   14   36   35   35    71   19
 52   32   34   19   33   34   34    64   15
 53   12   14   41   36   34   33    68   20
 54   34   49   27   33   34   34    88    2
 55   22   37   22   34   34   34    68   16
 56   46   43   36   42   43   43    89    5
 57   43   46   47   49   48   48    72   16
 58   12   27   20   32   30   30    99   12
 59   14   16   27   25   23   23    74   10
 60   47   10   42   30   31   31    83    2
 61   37   10   42   30   30   30    95    1
 62   42   47   49   50   49   49    64   20
 63   19   40   32   33   31   31    68   12
 64   37   12   50   36   36   35    64   14
 65   45   18   41   28   30   30    81    0
 66   34   20   46   29   28   27    81    1
 67   30   26   36   43   42   42    99   12
 68   28   26   22   39   39   40    87   17
 69   29   12   45   27   26   25    84    2
 70   19   44   25   32   31   31    90    6
 71   19   20   12   29   30   30    86   15
 72   50   24   37   33   35   36    90    0
 73   29   23   18   37   38   39    95   15
 74   34   40   50   52   50   49    75   20
 75   20   21   28   39   38   38    85   19
 76   41   11   43   34   34   34    73   10
 77   24   49   16   41   41   41    87   16
 78   45   25   18   28   31   32    81    5
 79   18   34   40   46   43   43    86   19
 80   13   27   35   20   18   17    69    2
 81   40   37   21   46   48   49    85   19
 82   36   30   48   33   32   31    77    3
 83   50   36   16   41   44   45    66   20
 84   33   48   25   42   42   42    66   19
 85   42   13   50   44   44   43    82   14
 86   13   33   37   40   37   36    80   17
 87   49   44   34   48   50   51    92   10
 88   47   22   36   40   41   41    68   16
 89   29   15   20   27   28   28    83    9
 90   39   30   47   38   38   38    62   14
 91   41   45   44   40   40   40    93    0
 92   42   50   26   31   32   33    74    3
 93   18   49   44   46   43   42    91   12
 94   34   46   16   24   25   25    61    5
 95   49   41   25   35   37   38    62   12
 96   28   36   39   32   31   31    63   10
 97   12   44   34   29   27   26    66    9
 98   46   30   36   32   34   34    74    5
 99   33   24   42   48   47   46   100   14
100   27   28   16   24   25   25    62   10
101   25   30   35   46   45   44    99   16
102   36   14   48   34   34   33    65   12
103   22   37   23   28   28   28    82    6
104   36   32   11   41   43   45    87   19
105   41   48   24   38   40   41    92    5
106   37   24   19   39   41   42    99   13
107   11   36   11   33   32   33    75   19
108   46   12   23   32   35   36    93    7
109   38   29   22   24   26   26    76    2
110   30   50   22   26   26   26    75    1
111   32   45   25   35   35   35    62   14
112   32   40   13   29   31   32    82    7
113   14   25   33   32   30   29    84   11
114   22   43   48   55   51   50    95   18
115   50   47   34   34   35   36    70    4
116   10   42   23   38   36   35    97   14
117   18   21   21   26   25   25    78   10
118   28   28   11   26   28   29    85    8
119   47   23   49   40   40   40    79    8
120   36   38   49   56   55   54    89   19
121   34   26   21   35   37   37    98    9
122   19   33   41   32   30   30    67   11
123   36   21   13   30   32   33    70   14
124   28   25   19   34   35   35    64   19
125   49   44   41   42   43   43    87    3
126   13   50   38   33   29   29    88    3
127   10   38   40   33   29   28    74   10
128   33   45   27   41   41   41    92    9
129   30   50   34   32   31   31    84    0
130   21   33   41   33   31   30    70   10
131   27   19   43   44   42   42    77   20
132   20   15   19   23   23   23    93    6
133   29   15   31   21   21   21    78    1
134   20   20   45   37   34   32    95    8
135   35   27   49   35   34   33    81    4
136   14   48   46   40   35   34    98    4
137   28   34   17   33   35   35    96    9
138   35   36   36   41   41   41    99    6
139   26   45   29   41   40   40    95   10
140   40   39   30   31   32   32    81    2
141   33   24   43   32   32   31    62   11
142   17   46   22   24   23   23    69    5
143   31   30   17   37   39   39    80   17
144   29   10   48   37   36   35    68   16
145   16   36   21   24   23   23    65    8
146   27   33   17   42   43   43    99   17
147   36   44   30   40   40   41    97    5
148   25   43   31   36   35   35    60   16
149   37   45   42   58   57   57    96   18
150   32   32   10   30   33   34    88   10
151   49   11   21   30   34   35    77   10
152   32   16   45   30   29   28    80    4
153   38   43   14   44   46   47    82   19
154   17   40   31   27   25   25    82    3
155   43   40   44   35   35   35    67    7
156   31   48   42   42   40   40    84    8
157   17   24   29   32   30   30    65   16
158   17   19   28   38   36   36    98   16
159   42   10   29   38   40   40    74   18
160   43   34   40   55   55   55    94   18
161   21   38   36   42   40   39    80   16
162   32   45   24   30   31   31    68    8
163   18   47   33   43   41   40    82   16
164   28   18   14   23   25   26    80    8
165   23   21   28   25   24   24    89    3
166   46   29   48   39   40   39    80    6
167   37   39   11   36   39   40    89   12
168   36   37   30   30   31   31    65    8
169   36   12   39   29   30   29    65   10
170   36   13   45   35   35   35    81    9
171   43   26   41   53   53   53    88   20
172   49   44   27   45   48   49    86   12
173   24   10   30   35   35   35    70   20
174   28   24   45   33   31   31    90    3
175   16   25   32   22   21   20    69    5
176   17   20   25   16   15   15    65    2
177   15   40   26   36   34   34    80   14
178   27   27   12   23   25   26    87    5
179   49   37   40   31   32   32    66    3
180   46   27   26   46   49   49    87   18
181   39   40   16   26   29   30    81    2
182   22   48   15   37   37   38   100   10
183   19   19   37   35   33   32    94   10
184   46   33   14   35   38   39    62   17
185   34   12   31   37   38   38    86   15
186   12   16   33   36   34   33    73   20
187   36   35   11   31   34   35    93    7
188   39   37   43   37   37   36    62   12
189   39   38   35   35   35   35    64   11
190   45   45   42   47   48   48    94    6
191   27   34   29   27   27   27    64    8
192   14   39   29   36   34   34    69   17
193   17   21   16   26   26   26    82   11
194   22   30   30   29   28   28    79    7
195   46   38   16   35   38   39    79   10
196   16   20   16   29   29   29    84   15
197   20   48   13   27   27   27    81    6
198   28   24   43   30   29   28    92    0
199   19   37   33   25   23   23    80    1
200   22   39   42   40   37   37    79   12
