index 361
DMU 200
input 2
output 2
instance 1
DMU   i1   i2   o1   o2   eff  err
  1   38   50   39   40    69   10
  2   10   11   21   21    84   12
  3   40   37   43   43    67   17
  4   24   12   15   15    66    2
  5   48   30   47   45    91    8
  6   16   23   33   34    99   15
  7   46   27   46   45    98    7
  8   20   14   25   25    84   10
  9   19   13   23   23    96    7
 10   19   27   25   26    93    5
 11   16   24   17   18    66    5
 12   22   27   22   22    66    6
 13   40   36   45   45    65   20
 14   27   29   34   34    89    9
 15   14   12   20   20    61   12
 16   36   15   23   22    71    2
 17   22   22   36   36    73   20
 18   28   47   35   37    97    2
 19   30   10   35   33    70   18
 20   50   24   39   37    81    5
 21   17   27   23   23    63   10
 22   41   19   36   34    87    6
 23   11   13    9    9    60    2
 24   24   24   30   30    85   10
 25   45   23   43   42    71   16
 26   26   37   45   46    92   18
 27   17   30   31   32    75   15
 28   39   45   44   45    86    9
 29   12   32   34   36    83   19
 30   32   43   39   40    96    5
 31   35   26   36   36    76   12
 32   10   22   28   29    71   18
 33   24   16   23   22    91    3
 34   22   40   30   32    98    3
 35   25   43   31   32    90    3
 36   16   43   34   36    82   14
 37   14   23   31   32    94   15
 38   37   47   36   36    64   10
 39   48   35   45   44    89    6
 40   18   43   38   39    72   19
 41   39   10   40   38    77   17
 42   30   34   41   42    84   15
 43   28   48   37   39    85    8
 44   40   12   47   45    87   20
 45   36   22   40   39    77   16
 46   27   49   36   37    73   11
 47   34   20   31   30    65   12
 48   23   42   36   38    74   15
 49   39   18   36   35    71   13
 50   11   39   27   29    63   15
 51   22   17   32   32    85   15
 52   40   16   30   28    79    4
 53   44   31   38   37    70   10
 54   23   42   25   27    84    1
 55   36   13   28   27    67    9
 56   23   25   26   26    65   11
 57   22   46   42   43    83   17
 58   35   49   49   50    76   19
 59   14   43   22   24    78    4
 60   43   32   36   36    77    6
 61   31   14   26   25    70    8
 62   23   33   34   34    79   13
 63   26   18   26   25    72    9
 64   34   35   31   31    89    0
 65   33   17   32   31    76   11
 66   35   33   33   33    84    4
 67   25   26   28   28    80    8
 68   45   14   44   41    93   11
 69   45   50   61   62    91   19
 70   21   20   22   22    93    3
 71   30   31   45   45    97   16
 72   21   47   39   41    73   18
 73   15   19   17   17    75    5
 74   22   48   24   25    72    2
 75   10   43   35   37    78   19
 76   34   19   31   30    95    3
 77   27   35   41   41    87   15
 78   39   11   44   41    95   15
 79   48   49   50   50    96    4
 80   42   18   49   47    86   19
 81   42   46   49   50    98    7
 82   13   13   10   10    62    2
 83   13   34   24   26    98    5
 84   28   26   39   38    75   18
 85   31   40   32   33    86    3
 86   29   25   21   21    62    4
 87   46   33   48   47    93    9
 88   11   40   33   35    84   16
 89   12   31   33   34    77   19
 90   29   45   42   43    76   16
 91   45   13   47   44    92   15
 92   21   46   43   46    98   15
 93   26   38   34   35    81   10
 94   15   37   30   32    99    8
 95   41   20   38   37    85    9
 96   50   47   61   60    97   13
 97   30   29   41   41    80   17
 98   36   26   28   27    82    1
 99   43   34   35   34    67    8
100   28   45   47   49    94   16
101   39   29   40   39    92    7
102   49   12   37   34    85    5
103   18   25   26   27    99    6
104   33   47   46   47    81   16
105   27   16   30   29    84   10
106   22   26   31   31    89   10
107   48   45   48   48    73   14
108   40   35   35   35    87    2
109   27   32   37   37    74   16
110   33   49   40   41    84    8
111   47   12   42   40    70   17
112   30   24   31   30    92    5
113   43   41   53   53    83   18
114   27   47   43   45    88   14
115   27   14   35   34    66   20
116   40   40   35   35    67    8
117   15   13   24   24    80   13
118   15   31   33   35    92   15
119   11   34   24   26    84    9
120   12   18   20   21    90    8
121   28   20   30   30    63   14
122   12   32   24   26    88    8
123   36   17   38   36    85   12
124   25   14   17   16    78    0
125   36   12   26   24    84    2
126   36   17   35   33    75   12
127   38   15   29   28    60   11
128   43   40   36   36    72    6
129   20   41   23   25    79    2
130   37   40   26   26    65    1
131   13   48   26   28    82    6
132   16   35   26   27    81    8
133   15   38   35   36    75   18
134   28   17   25   24    99    1
135   40   19   44   43    75   19
136   24   38   32   33    84    8
137   47   29   37   36    71    8
138   10   39   19   21    74    5
139   17   43   38   40    75   19
140   49   24   56   54    93   18
141   35   23   34   33    66   13
142   42   38   49   49    74   19
143   15   44   42   45    96   19
144   35   21   31   30    72    9
145   49   31   55   54    98   13
146   33   43   37   38    97    2
147   37   44   31   32    62    7
148   12   36   17   19    88    0
149   41   37   48   48    75   18
150   38   23   27   26    64    6
151   34   30   25   25    61    5
152   22   39   26   27    65    8
153   30   48   41   43    96    7
154   40   23   25   24    60    4
155   44   10   36   33    74   11
156   15   23   30   31    91   14
157   27   45   24   25    68    2
158   14   38   25   27    62   12
159   23   30   41   42    93   18
160   29   35   33   33    71   11
161   11   49   28   30    73   11
162   49   18   39   37    82    7
163   17   11   30   30    88   17
164   14   14   26   26    90   13
165   29   39   39   40    88   11
166   39   37   40   40    93    4
167   27   22   26   25    86    4
168   14   20   17   17    99    1
169   49   24   46   45    69   18
170   19   38   27   28    99    2
171   12   49   24   27    84    4
172   38   44   41   42    61   17
173   16   19   25   25   100    8
174   19   32   25   26    95    3
175   43   24   47   46    85   16
176   31   34   30   30    72    7
177   11   11   25   25    96   14
178   36   31   37   37    93    5
179   47   40   45   44    96    2
180   23   39   25   26    72    5
181   29   48   43   45    78   16
182   32   37   30   30    74    5
183   20   46   23   24    63    5
184   18   42   34   35    77   14
185   13   15   15   15    95    2
186   16   15   24   24    75   12
187   45   21   35   33    86    3
188   33   12   25   24    89    2
189   13   48   27   30    94    4
190   46   32   43   42    91    5
191   20   40   35   36    62   19
192   25   20   18   18    61    4
193   47   11   48   46    82   19
194   19   12   27   26    63   16
195   29   43   38   40    91    8
196   40   16   44   42    99   12
197   31   49   44   45    86   12
198   31   35   30   30    65    9
199   28   48   35   36    87    5
200   28   46   39   40    76   13
