index 153
DMU 20
input 3
output 3
instance 3
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   33   20   28   22   23   22    72    3
  2   33   42   44   34   33   34    81    1
  3   15   47   36   24   22   24    65    2
  4   39   35   40   37   37   37    95    1
  5   18   26   44   35   34   34    78   11
  6   15   45   39   39   36   39    89    8
  7   39   16   28   25   27   25    80    4
  8   28   11   26   24   25   23    69    9
  9   41   33   34   44   44   44    69   19
 10   38   32   46   43   43   42    90    8
 11   20   47   33   42   40   43    77   16
 12   33   40   14   32   31   33    97    4
 13   29   43   41   35   34   35    67    9
 14   13   35   46   39   37   39    71   16
 15   34   27   35   37   37   36    74   13
 16   50   18   44   55   58   54    99   19
 17   35   25   40   42   43   42    70   19
 18   35   41   19   33   32   33    82    7
 19   39   19   25   36   38   36   100    9
 20   34   32   37   40   40   40    85   11
