index 482
DMU 50
input 2
output 2
instance 2
DMU   i1   i2   o1   o2   eff  err
  1   31   19   27   28   100    2
  2   44   28   29   29    76    1
  3   49   49   42   42    75    5
  4   32   48   40   39    98    1
  5   35   12   43   44    99   19
  6   33   27   25   25    76    2
  7   44   25   35   35    76    8
  8   22   19   26   27    80   10
  9   47   28   51   52    96   15
 10   29   34   39   39    77   15
 11   30   28   45   45    90   19
 12   24   20   27   27    85    8
 13   25   49   45   44   100    9
 14   13   27   29   28    80   13
 15   35   26   26   26    75    3
 16   24   49   40   39    80   11
 17   44   12   31   33    95    4
 18   14   21   28   28    62   17
 19   16   23   28   28    62   16
 20   39   19   33   34    64   14
 21   47   42   47   47    98    3
 22   49   19   47   48    83   18
 23   10   46   32   31    62   15
 24   36   19   32   33    62   15
 25   21   24   24   24    80    6
 26   47   44   40   40    77    5
 27   26   37   37   36    99    6
 28   13   26   31   30    98   12
 29   44   20   31   32    78    6
 30   45   26   49   49    96   14
 31   13   16   22   22    86   10
 32   35   49   48   48    82   14
 33   14   41   32   31    63   15
 34   32   44   35   35    69    9
 35   41   36   32   32    62    8
 36   21   12   25   26    80   12
 37   12   36   27   26    73   10
 38   18   30   17   17    69    1
 39   39   31   51   52    92   19
 40   43   18   30   31    91    2
 41   46   17   24   25    61    4
 42   41   40   38   38    73    8
 43   12   32   20   19    77    3
 44   45   27   32   33    78    4
 45   14   19   32   32    85   18
 46   39   30   29   30    79    2
 47   16   47   39   37    87   12
 48   14   43   33   32    82   10
 49   32   12   30   31    83   11
 50   36   48   44   43    88    7
