index 278
DMU 150
input 3
output 3
instance 8
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   24   27   38   35   40   38   100    8
  2   43   41   45   50   50   50    84   14
  3   12   13   23   25   28   27    74   15
  4   14   21   46   18   28   24    77    3
  5   14   26   32   37   43   40    85   20
  6   45   13   21   43   36   39    77   18
  7   26   13   32   29   30   30    64   14
  8   19   27   39   19   24   22    61    5
  9   48   23   29   45   40   42    65   20
 10   14   44   11   37   37   37    97   16
 11   33   15   32   37   36   36    74   16
 12   17   35   22   32   34   33    63   18
 13   29   35   16   26   23   24    72    5
 14   32   23   16   29   25   26    61   12
 15   20   25   44   19   25   23    62    4
 16   26   24   15   22   18   19    77    3
 17   25   44   14   31   29   29    73   10
 18   14   26   12   15   15   15    87    0
 19   26   13   24   24   23   24    96    3
 20   26   44   39   40   45   43    91   10
 21   12   38   42   29   40   36    89    9
 22   24   27   21   24   23   23    72    6
 23   44   20   33   34   29   31    85    3
 24   27   26   22   36   34   35    91   12
 25   40   44   19   37   30   33    85    4
 26   45   32   20   33   25   28    83    1
 27   25   41   40   43   49   47    97   13
 28   46   49   17   39   32   35    62   12
 29   16   28   41   14   20   18    60    1
 30   21   40   19   17   17   17    64    0
 31   20   10   41   39   46   44   100   19
 32   29   44   16   44   41   42    80   19
 33   25   35   22   33   32   32    64   15
 34   17   30   21   28   29   29    71   13
 35   21   50   36   30   34   32    63   10
 36   22   37   31   40   44   43    96   14
 37   31   40   11   40   33   36    86   13
 38   39   30   19   47   40   43    95   15
 39   14   19   23   27   29   28    66   16
 40   39   14   39   49   49   49    95   19
 41   15   17   34   36   43   40    91   20
 42   46   44   23   43   37   39    66   15
 43   32   35   34   45   46   46    83   18
 44   34   35   12   32   24   27    94    2
 45   24   20   50   24   32   29    82    3
 46   22   40   29   45   48   46    95   18
 47   30   19   29   31   30   30    73   11
 48   46   41   36   36   34   35    65    8
 49   34   14   18   25   20   22    68    7
 50   16   20   47   20   29   26    74    5
 51   27   42   30   34   36   35    71   12
 52   36   47   17   37   31   33    81    7
 53   17   42   43   24   32   29    68    6
 54   34   20   43   36   38   37    76   12
 55   48   27   29   52   44   47    97   13
 56   35   50   14   34   28   30    80    5
 57   31   49   32   29   30   30    76    2
 58   40   39   27   45   40   42    88   11
 59   38   43   13   32   25   28    68    7
 60   47   24   40   36   33   34    72    7
 61   31   12   48   36   41   39    86   12
 62   20   12   33   30   34   33    80   15
 63   31   47   30   38   39   38    69   14
 64   17   17   28   20   24   23    79    6
 65   26   38   46   42   50   47    97   11
 66   47   16   48   33   33   33    68    7
 67   26   48   36   35   39   37    84    7
 68   42   14   22   31   25   27    77    7
 69   44   45   23   46   39   42    81   12
 70   28   46   21   24   23   23    62    4
 71   23   20   42   35   41   39    92   12
 72   36   47   44   40   42   41    65   14
 73   41   26   27   45   40   42    79   17
 74   41   47   23   42   36   38    93    4
 75   28   49   22   30   29   29    84    2
 76   41   25   38   48   47   47    89   16
 77   49   11   39   36   31   33    93    1
 78   25   46   35   30   33   32    63   10
 79   15   27   36   24   32   29    93    5
 80   12   28   13   24   25   25    91    9
 81   40   45   19   56   48   51    94   19
 82   29   18   20   24   22   23    62    9
 83   28   20   37   30   32   32    71   11
 84   30   30   14   36   31   33    79   14
 85   47   31   32   27   23   24    63    1
 86   36   40   24   38   34   35    92    5
 87   12   28   22   27   29   28    61   16
 88   48   11   42   39   37   38    74   12
 89   39   19   13   38   29   33    83   13
 90   19   31   38   28   33   31    67   11
 91   46   48   31   34   30   32    77    0
 92   45   49   17   52   43   46    89   14
 93   27   36   35   32   34   34    63   13
 94   34   33   15   40   35   37    66   19
 95   23   19   23   21   21   21    90    1
 96   32   29   33   46   46   46    87   19
 97   13   19   31   15   20   18    66    4
 98   17   16   23   28   30   29    96   11
 99   48   41   29   48   42   44    79   13
100   38   22   24   30   26   27    69    8
101   40   32   38   33   32   33    72    6
102   25   21   41   30   35   33    85    8
103   15   47   17   39   40   39    89   17
104   21   32   33   33   38   36    98    8
105   26   16   12   33   28   30    84   15
106   44   38   43   25   25   25    60    0
107   10   12   37   30   39   36    82   19
108   35   42   45   43   46   45    63   19
109   14   22   46   28   36   33    62   16
110   39   38   40   56   56   56    94   19
111   18   49   36   40   45   43    68   20
112   38   34   34   49   48   48    89   17
113   20   46   32   42   47   45    84   18
114   17   49   40   30   39   35    93    3
115   45   28   14   47   35   40    96   12
116   34   40   24   26   24   24    73    1
117   25   49   45   32   38   36    78    5
118   45   39   23   45   38   40    83   11
119   34   26   11   41   34   36    79   18
120   39   36   12   37   27   30    97    3
121   47   12   37   35   32   33    61   13
122   32   45   11   22   17   19    64    1
123   41   18   49   39   41   40    93    6
124   38   41   24   42   39   40    65   18
125   22   41   24   22   23   22    75    1
126   38   49   41   45   46   46    98    4
127   30   40   44   42   45   44    71   17
128   39   19   31   27   25   25    61    7
129   26   12   37   16   19   18    69    0
130   40   21   41   42   42   42    69   18
131   35   35   11   39   31   34    83   12
132   26   43   24   35   35   35    86    9
133   16   35   37   38   46   43    96   15
134   20   46   28   32   35   34    94    5
135   38   12   22   32   26   28    92    6
136   13   38   30   21   25   24    62    7
137   28   13   26   27   26   26    89    6
138   50   45   44   58   55   56    89   15
139   38   31   28   44   41   42    75   18
140   42   15   39   30   28   29    81    2
141   39   24   34   25   23   24    60    4
142   34   42   26   25   23   23    70    0
143   22   29   43   25   31   29    69    7
144   35   49   29   42   41   41    62   18
145   29   11   15   25   21   22    67   10
146   27   15   31   32   33   32    90   10
147   16   20   30   20   24   23    76    6
148   32   39   41   35   38   37    61   14
149   17   13   11   14   13   13    62    5
150   13   33   43   31   40   36    75   14
