index 190
DMU 100
input 4
output 4
instance 10
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   45   34   41   16   31   30   26   30    77    4
  2   19   32   39   18   18   19   15   18    65    0
  3   29   17   50   25   38   35   32   35    96    5
  4   28   17   20   39   32   31   36   32    69   14
  5   46   42   49   13   40   39   33   39    83    8
  6   12   42   43   44   33   37   32   35    93    0
  7   46   15   31   38   47   42   49   45    99   13
  8   14   21   30   22   32   33   31   32    71   16
  9   39   35   14   27   28   28   30   28    78    7
 10   48   39   38   22   28   27   26   27    63    5
 11   20   20   20   29   22   22   23   22    71    6
 12   27   40   23   50   34   36   40   36    93    3
 13   27   46   42   29   34   36   31   35    76    7
 14   22   12   17   43   40   38   46   40    99   16
 15   14   13   18   22   28   28   29   28    77   15
 16   20   20   43   45   47   46   47   46    98   13
 17   29   45   43   24   37   39   33   37    83    8
 18   17   20   46   14   28   28   23   27    67   10
 19   47   44   40   37   59   59   58   59    99   18
 20   23   43   40   20   30   32   26   31    71    8
 21   45   25   30   28   35   33   35   34    80    9
 22   33   31   17   21   24   24   25   24    87    3
 23   28   45   24   45   26   28   29   28    75    1
 24   36   27   37   42   36   34   37   35    97    0
 25   37   31   15   12   22   22   21   22    90    2
 26   17   19   30   23   35   35   34   35    99   12
 27   28   46   36   27   36   38   34   37    72   12
 28   27   16   50   36   41   39   39   40    78   13
 29   39   15   11   20   38   35   40   37    94   18
 30   25   23   27   11   22   22   19   21    77    5
 31   35   21   39   38   34   31   34   32    75    7
 32   26   25   32   18   35   35   33   35    78   15
 33   17   37   35   35   39   40   38   39    67   18
 34   37   47   27   24   48   50   47   49    90   20
 35   33   17   31   36   44   42   45   43    78   20
 36   19   14   46   32   30   28   27   28    79    5
 37   37   29   43   39   55   53   54   54    93   19
 38   49   37   37   38   43   41   43   42    86    8
 39   27   24   13   48   35   35   42   36    83   13
 40   11   14   20   42   33   32   36   33    65   18
 41   42   34   17   29   41   41   44   42    96   14
 42   43   35   36   42   39   38   40   39    87    5
 43   20   48   16   45   27   31   31   30    67    8
 44   25   14   16   48   33   32   40   33    78   13
 45   11   30   14   21   19   21   20   20    69    7
 46   34   14   39   43   32   29   33   31    77    5
 47   36   16   19   24   24   22   26   23    85    4
 48   44   50   44   24   51   53   47   51    84   18
 49   40   39   21   24   40   41   41   41    87   15
 50   35   38   36   21   34   34   31   34    74   10
 51   43   48   16   20   39   41   40   40    83   16
 52   33   48   11   37   41   44   46   43    92   15
 53   10   23   21   36   28   29   31   29    73   12
 54   38   50   48   35   38   39   36   38    73    7
 55   17   13   39   46   29   27   30   28    78    4
 56   23   50   38   28   46   50   44   47    81   19
 57   14   49   39   40   50   55   50   52    88   20
 58   32   13   27   42   36   33   39   35    82   11
 59   32   30   12   44   35   35   41   36    86   11
 60   31   49   28   28   26   29   26   27    70    4
 61   13   19   44   20   33   33   28   32    77   12
 62   13   28   25   34   38   39   39   39    83   17
 63   19   11   30   35   31   29   32   30    73   12
 64   47   28   48   49   59   56   60   57    93   17
 65   36   30   22   25   34   33   34   34    65   16
 66   46   46   34   50   47   48   50   48    76   15
 67   46   20   49   32   42   37   38   39    99    2
 68   11   33   28   46   31   33   34   33    89    5
 69   43   32   14   39   23   23   28   24    75    1
 70   30   19   38   18   38   37   35   37    72   18
 71   30   24   49   21   34   33   30   33    65   12
 72   30   34   18   45   33   34   39   34   100    3
 73   17   12   48   13   25   23   18   23    77    4
 74   16   35   40   33   43   45   41   44    86   16
 75   11   44   43   29   45   49   41   46    88   17
 76   38   18   21   46   35   33   40   35    71   13
 77   45   32   46   19   28   27   24   27    74    1
 78   23   44   30   32   43   46   43   44    81   18
 79   17   12   18   40   30   29   33   30    61   16
 80   43   31   42   35   51   49   50   50    98   13
 81   22   20   29   30   39   39   40   39    85   17
 82   24   44   11   44   39   42   45   42    79   18
 83   41   17   28   33   34   31   36   33    81    9
 84   50   26   38   49   46   44   49   45    72   16
 85   35   34   43   37   29   29   28   29    74    1
 86   34   12   39   41   28   25   28   26    62    6
 87   42   11   39   49   36   33   38   35    63   12
 88   29   12   29   42   23   21   25   22    70    2
 89   39   47   20   35   31   32   33   32    61   11
 90   19   45   40   31   26   29   24   27    69    3
 91   26   17   34   13   37   35   33   35    90   15
 92   41   39   32   41   51   51   53   51    99   14
 93   22   27   35   31   40   40   39   40    95   12
 94   20   15   49   45   35   33   35   34    78    7
 95   42   43   28   31   39   39   39   39    60   18
 96   24   22   39   10   23   22   18   22    73    4
 97   24   44   39   45   31   33   32   33    68    6
 98   21   11   20   34   27   26   30   27    85    8
 99   49   24   32   33   41   38   42   39    87   10
100   29   39   50   37   53   53   50   52    89   17
