index 31
DMU 10
input 3
output 3
instance 1
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   16   16   23   14   13   13    61    2
  2   20   24   38   27   24   25    79    3
  3   48   29   13   33   40   39    84   13
  4   23   44   46   35   30   30    71    5
  5   48   12   31   27   33   35    74    8
  6   13   10   44   28   23   26    85    5
  7   28   31   43   47   44   45    93   13
  8   28   16   16   27   30   30    70   15
  9   45   42   34   32   33   33    67    6
 10   19   10   19   21   22   23    97    6
