index 123
DMU 20
input 2
output 2
instance 3
DMU   i1   i2   o1   o2   eff  err
  1   40   24   35   41    67   16
  2   43   39   47   49    73   18
  3   28   32   27   25    70    5
  4   24   18   18   20    85    1
  5   25   43   39   32    80    9
  6   49   29   48   57    88   17
  7   22   18   29   31    80   14
  8   47   43   37   38    70    6
  9   20   43   37   29    69   12
 10   17   38   41   34    70   19
 11   38   41   45   44    66   19
 12   21   19   29   30    94   11
 13   42   46   54   52    94   12
 14   15   11   19   20    70   10
 15   48   17   30   39    60   14
 16   17   41   29   21    62    8
 17   19   37   41   33    93   12
 18   45   29   44   50    78   17
 19   26   14   19   24    70    7
 20   28   46   43   36    85    9
