index 271
DMU 30
input 3
output 3
instance 1
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   15   23   11   30   28   29    74   17
  2   23   14   36   27   31   31    71   12
  3   34   44   26   31   28   29    65    7
  4   18   39   17   38   35   36    73   18
  5   27   18   38   35   40   40    95   12
  6   47   37   41   26   26   26    64    0
  7   17   40   17   23   20   21    68    4
  8   19   20   43   34   42   42    99   11
  9   31   12   42   24   30   30    88    3
 10   36   17   24   34   33   33    67   17
 11   18   27   21   35   34   35    87   15
 12   34   15   10   35   31   30    80   18
 13   50   36   35   48   45   45    98    8
 14   45   20   36   36   37   36    69   14
 15   36   20   32   39   40   40    87   15
 16   20   36   47   32   37   37    64   12
 17   37   26   14   33   28   28    78   11
 18   49   35   44   50   51   51    97   10
 19   27   32   48   33   37   37    72    9
 20   12   22   25   20   22   22    60    9
 21   43   34   26   44   39   39    96    9
 22   26   17   29   18   20   19    79    0
 23   47   49   15   44   37   37    63   17
 24   35   31   30   34   34   34    63   14
 25   46   18   49   35   38   38    67   12
 26   36   29   13   20   16   15    65    1
 27   43   31   33   39   38   38    96    5
 28   29   48   47   30   32   33    67    3
 29   14   31   29   36   38   39    98   12
 30   18   50   24   42   39   39   100    8
