index 547
DMU 250
input 4
output 4
instance 7
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   21   49   48   45   50   47   52   46    95   10
  2   25   40   14   32   24   22   24   23    67    4
  3   21   37   23   14   30   26   29   25    99    4
  4   41   16   22   11   30   32   28   32    97    9
  5   33   26   45   27   45   46   45   45    92   16
  6   17   12   33   17   16   17   16   16    66    4
  7   18   30   26   35   23   23   24   23    66    5
  8   38   25   43   15   45   46   44   44    93   18
  9   45   15   11   12   27   29   25   30    77   12
 10   42   34   43   46   44   46   44   46    87    9
 11   41   46   43   47   61   61   62   61    97   18
 12   13   36   15   33   41   38   42   39    99   15
 13   32   38   42   49   51   51   52   51    99   11
 14   30   43   49   41   44   43   45   42    78   12
 15   14   45   45   22   47   43   48   40    93   16
 16   13   47   23   48   35   31   36   32    89    3
 17   13   43   47   24   23   20   24   18    66    1
 18   47   19   11   46   43   47   42   50    83   19
 19   23   23   21   34   42   42   42   43    98   17
 20   14   20   21   18   33   32   33   32    81   18
 21   33   14   36   42   29   34   29   34    98    1
 22   29   48   14   43   33   31   33   32    71    7
 23   21   29   19   43   24   24   24   25    76    2
 24   40   41   35   27   27   26   26   25    70    1
 25   14   44   36   43   48   46   50   45    90   16
 26   10   14   43   46   20   22   21   21    61    4
 27   28   17   38   40   38   41   39   41    94   11
 28   36   12   26   39   27   30   27   31    63   11
 29   31   20   32   19   24   25   23   24    69    7
 30   26   17   19   32   32   34   32   35    88   12
 31   28   45   48   23   39   37   40   36    60   17
 32   47   15   26   27   34   37   33   38    71   15
 33   47   46   42   11   53   50   51   49    93   18
 34   14   15   31   48   35   37   36   37    70   17
 35   13   21   12   49   24   24   25   26    73    6
 36   17   34   16   36   37   36   38   36    62   20
 37   34   32   48   16   40   39   40   37    94   10
 38   44   40   34   22   45   44   44   44    81   16
 39   15   47   18   33   38   34   39   34    89   10
 40   24   23   49   15   23   24   24   21    85    1
 41   11   42   35   13   44   38   45   36    96   17
 42   15   43   47   21   48   44   49   41    97   16
 43   43   42   48   47   44   45   44   44    61   17
 44   47   11   16   31   26   30   25   31    60   12
 45   48   50   29   22   45   43   44   43    64   20
 46   38   39   26   47   39   39   39   41    92    4
 47   11   35   31   31   24   22   25   21    81    1
 48   45   40   19   31   36   34   34   36    98    1
 49   15   12   33   11   32   33   33   32    87   18
 50   33   17   44   12   41   43   41   42    89   20
 51   27   29   21   14   36   34   35   34   100   12
 52   33   29   43   15   32   32   32   30    78    9
 53   12   48   48   32   43   39   44   37    72   16
 54   33   13   43   34   35   40   36   39    95    9
 55   41   32   27   34   36   37   36   38    91    6
 56   31   28   10   17   18   17   17   18    71    2
 57   40   26   30   37   35   36   34   37    64   14
 58   45   44   41   47   58   58   58   59    86   20
 59   37   24   30   45   38   40   38   41    79   12
 60   20   47   33   31   39   36   40   35    74   13
 61   31   43   40   37   37   35   37   35    90    2
 62   26   21   15   32   31   31   31   32    67   15
 63   43   32   28   26   33   33   32   33    77    8
 64   49   37   28   33   26   26   25   27    70    0
 65   32   22   12   24   24   25   23   26    80    6
 66   42   44   17   30   43   41   41   42    66   19
