index 430
DMU 200
input 4
output 4
instance 10
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   13   19   44   20   22   23   25   27    68    8
  2   13   28   25   34   31   31   32   29    78   11
  3   19   11   30   35   21   24   25   25    81    4
  4   47   28   48   49   43   45   46   47    70   15
  5   36   30   22   25   32   31   30   31    64   13
  6   46   46   34   50   53   53   52   50    75   19
  7   46   20   49   32   32   34   34   38    75    7
  8   11   33   28   46   37   38   40   34   100    7
  9   43   32   14   39   44   43   41   38   100    9
 10   30   19   38   18   37   38   39   43    90   16
 11   30   24   49   21   35   36   37   42    97    8
 12   30   34   18   45   29   29   28   25    70    5
 13   17   12   48   13   24   26   27   31    60   14
 14   16   35   40   33   41   42   43   42    77   18
 15   11   44   43   29   24   24   25   24    74    1
 16   38   18   21   46   42   43   43   41    77   18
 17   45   32   46   19   37   37   37   43    94    6
 18   23   44   30   32   43   41   41   39    78   16
 19   17   12   18   40   29   31   32   28    83   11
 20   43   31   42   35   47   47   47   49    79   18
 21   22   20   29   30   35   36   37   37    88   14
 22   24   44   11   44   43   41   40   33    95    9
 23   41   17   28   33   32   34   33   35    95    5
 24   50   26   38   49   34   36   36   36    86    0
 25   35   34   43   37   52   53   54   55    90   20
 26   34   12   39   41   33   36   37   38    75   12
 27   42   11   39   49   39   43   44   44    82   13
 28   29   12   29   42   34   37   38   37    78   14
 29   39   47   20   35   48   45   44   41    84   15
 30   19   45   40   31   47   46   47   46    96   14
 31   26   17   34   13   26   26   27   30    78   10
 32   41   39   32   41   42   42   41   40    97    4
 33   22   27   35   31   34   35   36   36    99    7
 34   20   15   49   45   21   25   26   26    63    4
 35   42   43   28   31   34   32   32   31    68    8
 36   24   22   39   10   34   34   35   40    90   15
 37   24   44   39   45   41   41   41   39    79   10
 38   21   11   20   34   35   37   38   36    88   17
 39   49   24   32   33   35   36   35   37    69   12
 40   29   39   50   37   40   41   42   43    87    8
 41   27   15   46   19   24   26   27   31    75    7
 42   33   43   49   21   44   43   43   46    79   16
 43   28   13   21   43   30   33   33   31    91    7
 44   26   49   27   48   34   33   33   30    62    9
 45   33   17   49   21   26   29   29   35    84    5
 46   30   37   25   47   36   36   36   32    90    3
 47   40   49   22   28   35   32   31   30    81    4
 48   44   27   25   28   31   31   30   31    62   12
 49   17   40   28   29   35   33   34   31    96    6
 50   43   36   33   15   32   31   29   33    82    6
 51   46   37   17   28   23   22   20   20    64    1
 52   19   27   35   34   38   39   40   39    69   19
 53   37   24   33   42   33   34   34   34    66   11
 54   23   23   28   31   30   31   32   31    94    6
 55   38   32   36   20   29   29   28   31    72    7
 56   27   33   23   43   36   36   36   32    93    5
 57   15   26   49   39   44   46   48   48    85   19
 58   25   22   15   50   44   46   46   40    89   18
 59   27   36   38   21   30   29   30   32    91    3
 60   24   31   11   48   31   30   30   24    84    4
 61   35   29   31   22   33   32   32   34    99    4
 62   24   12   13   20   20   21   20   20    89    5
 63   11   19   40   49   42   46   48   45    89   18
 64   45   28   10   23   21   20   19   19    63    3
 65   18   35   37   39   47   48   49   47    86   20
 66   18   10   20   38   30   32   33   31    73   15
 67   26   11   37   42   24   27   28   28    67    7
 68   24   21   21   16   29   28   28   29    71   14
 69   24   41   41   37   42   42   43   42    63   20
 70   27   31   46   26   45   46   47   49    92   17
 71   28   16   12   10   19   18   17   18    98    2
 72   13   34   34   35   34   34   36   33    80   11
 73   46   19   25   40   42   44   43   43    79   17
 74   46   49   50   19   40   38   38   42    79    8
 75   48   26   36   46   48   50   50   50    77   19
 76   37   20   26   36   32   33   33   33    66   13
 77   23   21   18   46   21   22   23   19    69    2
 78   41   30   42   40   27   29   29   30    72    1
 79   35   24   19   49   45   46   46   42    88   16
 80   50   33   33   18   40   38   37   41    92    9
 81   33   43   35   45   32   32   32   30    75    2
 82   42   39   13   19   34   31   29   29    84    7
 83   12   45   34   16   28   25   26   26    92    2
 84   18   42   44   35   23   23   24   23    66    0
 85   13   45   41   35   23   22   23   22    67    0
 86   44   47   29   42   48   46   45   43    90    9
 87   12   21   34   14   32   33   34   36    88   16
 88   32   15   40   37   23   25   26   28    78    1
 89   34   24   46   18   37   38   38   43    84   14
 90   22   26   29   45   38   39   40   37    76   15
 91   34   18   50   35   39   42   44   47    94   11
 92   16   44   45   33   35   34   36   35    87    5
 93   27   11   12   49   42   45   45   40    93   19
 94   25   30   40   37   26   27   28   28    74    3
 95   36   28   14   27   32   31   30   29    73   11
