index 545
DMU 250
input 4
output 4
instance 5
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   15   25   43   38   31   29   31   27    69    8
  2   22   43   31   40   43   40   39   39    76   15
  3   12   34   22   36   23   20   19   19    67    3
  4   35   29   43   19   32   36   38   36    85    9
  5   33   34   24   39   51   49   47   49    93   19
  6   24   33   23   41   36   34   32   33    69   13
  7   37   48   33   32   34   34   34   35    64   11
  8   38   37   13   24   40   40   38   43    83   18
  9   47   26   42   34   28   29   30   30    69    3
 10   42   41   42   25   33   36   37   37    80    6
 11   16   46   36   32   36   34   34   33    93    5
 12   18   10   27   32   37   35   36   33    88   15
 13   12   19   31   36   40   38   38   35    78   18
 14   33   20   48   41   30   29   31   28    71    3
 15   36   14   27   26   37   38   39   39    72   19
 16   14   26   44   21   33   34   37   33    88   11
 17   42   14   37   17   31   35   38   36    88   10
 18   26   48   48   15   30   33   35   34    76    8
 19   17   24   12   35   28   24   21   23    99    2
 20   26   23   45   26   24   25   27   24    78    1
 21   36   32   16   33   35   34   32   35    62   16
 22   28   25   45   35   33   33   34   32    67   10
 23   19   49   40   18   21   22   23   22    64    3
 24   24   40   29   43   34   31   30   31    70    8
 25   31   40   44   50   36   33   33   32    73    3
 26   38   40   36   38   51   50   50   51    99   13
 27   14   12   33   46   34   29   29   25    97    2
 28   32   10   45   19   33   36   39   35    75   15
 29   49   24   32   36   52   53   53   54    91   20
 30   25   47   33   35   39   38   38   38    77   12
 31   34   26   40   26   32   34   35   34    81    8
 32   20   39   43   22   27   28   29   27    75    5
 33   29   10   23   15   24   26   27   27    75   11
 34   35   33   41   45   45   43   43   42    75   14
 35   40   41   16   50   31   28   25   29    61    6
 36   23   35   18   38   40   37   35   36    89   12
 37   42   28   49   23   44   49   51   49    87   17
 38   18   30   12   35   22   19   17   19    70    3
 39   21   33   30   19   32   33   34   33    73   15
 40   27   48   37   15   27   31   32   32    91    3
 41   25   33   36   22   28   30   31   29    96    2
 42   31   37   33   12   14   17   18   18    63    0
 43   44   42   23   39   35   35   33   36    71    9
 44   37   10   11   26   31   31   30   32    74   15
 45   33   15   13   42   39   36   34   36    86   13
 46   35   26   28   32   40   40   40   41    93   12
 47   48   19   32   40   51   51   51   52    90   19
 48   46   27   14   21   23   24   23   26    61    8
 49   27   42   40   27   38   39   39   39    65   17
 50   36   42   25   21   33   35   35   38    98    6
 51   21   43   23   16   38   39   39   40    88   18
 52   40   11   18   47   33   30   28   30    86    4
 53   18   47   43   27   43   43   44   42    95   12
 54   45   44   39   46   38   38   37   38    75    5
 55   22   35   46   29   50   50   53   49    95   19
 56   30   20   30   13   29   32   34   33    86   12
 57   41   46   33   15   29   32   32   34    64   11
 58   49   47   39   29   47   50   50   52    82   17
 59   38   16   43   21   37   41   43   41    81   16
 60   21   20   29   42   48   45   44   43    89   19
 61   24   44   25   32   32   31   30   31    61   13
 62   31   13   11   35   25   22   21   23    80    4
 63   10   16   33   18   35   35   37   33    86   18
 64   17   34   46   14   38   41   44   40    81   19
 65   36   24   24   37   38   37   36   37    61   18
 66   16   32   47   13   39   43   46   41    99   16
 67   17   32   48   18   30   32   35   31    74   11
 68   37   30   10   31   43   42   40   44    88   19
 69   38   18   46   19   36   41   44   41    92   12
 70   39   25   47   28   31   33   35   33    62   11
 71   18   43   35   26   43   43   43   42    78   20
 72   41   42   41   13   31   35   36   37    66   13
 73   20   27   24   49   50   44   43   42    90   17
 74   26   17   14   22   28   28   27   29    90   10
 75   13   19   37   14   23   25   27   24    76    9
 76   17   11   20   46   34   28   27   25    98    4
 77   47   28   36   44   28   27   27   27    69    0
 78   39   41   46   39   48   48   49   48    93   10
 79   21   36   41   42   25   23   24   22    61    2
 80   41   48   49   32   35   38   39   38    82    3
