index 363
DMU 40
input 2
output 2
instance 3
DMU   i1   i2   o1   o2   eff  err
  1   22   10   26   26    70   15
  2   39   49   51   51    82   15
  3   11   20   29   29    91   15
  4   35   26   41   41    77   17
  5   24   47   50   50    93   17
  6   34   29   39   39    73   16
  7   41   17   19   19    62    1
  8   26   42   25   25    65    3
  9   39   37   26   26    68    0
 10   27   35   33   33   100    2
 11   30   38   32   32    86    3
 12   27   10   22   22    68    9
 13   14   50   26   26    65    5
 14   13   21   19   19    79    6
 15   19   19   22   22    62   10
 16   36   30   41   41    72   17
 17   18   45   21   21    62    2
 18   47   48   49   49    87    8
 19   29   11   20   20    89    2
 20   23   11   32   32    75   19
 21   48   28   24   24    63    0
 22   35   47   39   39    77    7
 23   47   38   45   45    94    5
 24   12   43   24   24    74    4
 25   44   48   52   52    98    7
 26   39   49   44   44    74   11
 27   43   29   40   40    92    7
 28   22   28   30   30    78   11
 29   19   32   42   42    96   18
 30   37   46   35   35    65    8
 31   14   13   11   11    65    2
 32   37   26   37   37    61   18
 33   19   38   34   34    64   16
 34   24   14   35   35    84   19
 35   16   23   25   25    91    7
 36   11   21   23   23    90    9
 37   48   28   37   37    83    5
 38   15   42   32   32    60   15
 39   15   47   40   40    80   15
 40   10   45   32   32    76   11
