index 121
DMU 100
input 2
output 2
instance 1
DMU   i1   i2   o1   o2   eff  err
  1   29   34   28   29    85    2
  2   25   38   46   50    92   19
  3   47   23   45   39    94    9
  4   35   30   37   35    80   10
  5   42   35   49   47    90   13
  6   15   34   34   38    65   20
  7   16   18   27   28    84   13
  8   20   32   35   37    77   16
  9   12   49   19   27    76    0
 10   21   33   32   35    94    8
 11   40   35   52   50    88   18
 12   31   13   23   19    85    2
 13   31   12   36   31    80   16
 14   29   46   52   57    98   18
 15   38   24   37   34    81   10
 16   22   32   40   43    94   16
 17   14   35   22   27    75    6
 18   38   37   31   31    73    4
 19   45   34   41   38    84    6
 20   14   44   36   43    85   15
 21   35   40   38   39    87    6
 22   12   43   27   35    86    8
 23   47   38   42   40    65   13
 24   32   37   32   33    89    2
 25   44   11   33   24    88    4
 26   38   43   51   53    96   13
 27   21   26   21   23    93    0
 28   34   29   30   28    73    6
 29   37   13   31   24    96    3
 30   43   14   40   33    84   12
 31   34   34   44   44    89   14
 32   23   10   18   15    70    5
 33   37   31   36   35    84    7
 34   23   16   35   33    81   18
 35   12   45   20   27    72    3
 36   13   11   21   20    89   10
 37   48   34   50   47    76   17
 38   27   33   36   37    92    9
 39   44   14   36   29    74   11
 40   16   23   28   30    92   11
 41   33   43   38   40    90    5
 42   42   14   27   21    72    4
 43   37   23   40   38    66   19
 44   23   29   40   41    91   17
 45   45   13   30   23    76    4
 46   24   34   30   32    79    8
 47   41   20   26   21    78    0
 48   14   29   19   22    77    4
 49   23   36   41   44    90   16
 50   47   41   45   43    89    5
 51   50   49   51   51    67   18
 52   35   24   42   39   100   11
 53   45   42   43   42    86    5
 54   49   21   51   42    98   12
 55   46   50   49   50    90    6
 56   44   36   48   46    90   11
 57   26   23   31   30    76   12
 58   25   17   32   30    77   15
 59   12   47   22   28    65    6
 60   40   41   27   27    60    3
 61   37   29   39   37    82   11
 62   11   33   30   36    83   15
 63   15   31   33   37    74   18
 64   29   30   29   29    68    9
 65   49   30   49   45    75   17
 66   29   44   38   41    69   14
 67   19   24   39   40    96   19
 68   29   22   30   28    71   11
 69   36   37   54   54    95   19
 70   23   36   20   23    74    0
 71   24   42   29   34    95    0
 72   36   24   33   30    87    5
 73   40   32   41   39    64   17
 74   49   13   49   40    81   19
 75   20   25   31   32    62   18
 76   17   44   27   33    82    5
 77   16   11   15   14    79    4
 78   36   21   27   24    67    6
 79   47   44   46   45    84    7
 80   36   40   39   40    62   16
 81   31   15   26   22    74    7
 82   39   20   41   36    85   13
 83   17   12   20   19    91    6
 84   44   17   37   32    73   12
 85   29   28   39   39    90   13
 86   42   31   43   41    66   18
 87   43   36   57   55    99   17
 88   48   31   46   41    98    5
 89   47   29   55   50    92   17
 90   18   44   17   22    61    1
 91   49   16   46   37    92   11
 92   30   44   36   40    95    3
 93   35   14   17   13    60    0
 94   49   33   42   38    78    8
 95   28   39   44   47    95   14
 96   20   21   34   35    76   19
 97   37   20   44   40    77   20
 98   36   10   34   30    60   18
 99   22   45   40   46    85   15
100   23   31   30   31    61   14
