index 97
DMU 50
input 5
output 5
instance 7
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   21   18   25   32   44   28   32   27   28   31    74    8
  2   21   25   41   25   42   23   24   23   24   23    76    0
  3   15   19   19   10   18   25   25   25   26   25    82   12
  4   12   48   12   35   19   40   40   40   40   43    99   15
  5   15   21   36   46   30   42   42   41   40   42    69   20
  6   33   24   39   37   25   30   28   29   28   27    80    3
  7   16   29   33   19   50   34   37   35   37   37    75   14
  8   44   16   13   26   12   36   35   35   33   34    98   13
  9   43   29   36   21   12   35   30   36   35   30    89    9
 10   44   47   33   15   20   44   41   47   47   41    91   16
 11   43   28   44   41   14   34   29   33   31   29    77    5
 12   31   39   33   14   19   26   23   28   28   23    89    2
 13   32   48   29   27   40   26   27   27   28   28    78    0
 14   22   21   46   24   39   35   35   36   36   35    77   12
 15   43   36   47   20   24   43   39   44   44   39    69   19
 16   27   30   41   24   43   45   46   45   47   45    84   18
 17   49   23   15   50   28   50   52   48   46   51    88   20
 18   27   25   30   18   29   24   24   25   25   24    69    7
 19   36   15   13   32   14   25   25   24   22   24    82    6
 20   29   26   35   28   26   43   42   43   43   41    99   14
 21   38   25   17   19   15   33   33   34   33   32    63   19
 22   46   42   28   19   24   41   39   43   43   40    88   14
 23   12   29   41   32   36   35   35   35   35   35    92    7
 24   24   18   26   20   27   36   36   36   36   36    91   15
 25   19   25   32   27   30   34   34   34   34   34    81   12
 26   43   26   32   30   27   33   32   33   32   32    65   12
 27   48   12   41   41   12   27   23   26   24   22    60    6
 28   30   47   35   45   26   51   49   51   50   50    95   15
 29   34   16   50   37   34   24   23   23   23   22    64    1
 30   12   11   41   44   30   41   40   39   38   39    92   13
 31   16   23   34   48   26   33   32   31   30   32    61   13
 32   15   12   40   44   25   34   32   32   31   32    79   10
 33   41   11   32   42   26   30   29   28   27   28    79    4
 34   24   45   45   27   42   32   32   33   35   33    82    3
 35   23   26   50   28   15   29   22   29   28   23    88    1
 36   25   43   43   39   26   55   51   55   54   52    96   19
 37   14   41   33   28   39   25   26   26   27   27    70    4
 38   49   26   47   11   12   30   24   32   31   23    82    5
 39   41   47   46   30   12   28   23   29   28   24    61    5
 40   43   10   24   37   41   31   34   30   30   33    66   11
 41   23   23   39   39   15   35   31   34   32   31    79   10
 42   12   47   49   32   29   36   34   37   37   35    67   13
 43   17   37   16   18   48   23   29   24   27   30    84    4
 44   43   33   33   37   26   25   24   25   24   24    62    3
 45   16   43   48   15   47   37   37   39   40   38    69   15
 46   22   27   19   17   36   29   31   29   30   31    62   15
 47   23   11   34   46   44   39   42   36   36   40    97    7
 48   28   20   37   43   34   47   47   45   45   46    88   17
 49   41   37   39   35   23   27   25   28   27   25    67    3
 50   37   31   14   14   22   16   17   17   17   17    68    1
