index 453
DMU 200
input 5
output 5
instance 3
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   26   14   37   19   33   29   29   27   25   28    98    2
  2   27   39   18   47   25   37   37   39   39   37    66   17
  3   13   31   41   47   30   29   32   32   32   30    86    3
  4   27   42   13   12   45   34   33   33   36   38    84   12
  5   24   50   23   47   24   26   27   29   30   28    65    6
  6   44   27   23   31   48   41   39   39   38   40    88    9
  7   23   37   43   25   39   40   42   40   41   42    96    9
  8   50   38   27   14   28   31   29   28   29   30    69    8
  9   28   43   39   19   17   27   28   28   29   28    72    7
 10   28   19   27   36   17   22   22   22   21   20    64    5
 11   45   13   16   21   15   23   21   21   20   20    60    8
 12   38   18   33   16   13   31   29   28   27   28    84    9
 13   27   20   44   22   29   32   33   31   30   31    85    7
 14   43   10   41   28   31   41   40   37   34   36   100    7
 15   13   45   34   23   12   30   33   33   36   33    91   10
 16   40   23   11   46   13   36   33   37   35   32    99    8
 17   33   28   11   23   41   25   24   24   25   26    73    5
 18   26   46   28   49   43   43   44   46   47   45    73   17
 19   33   37   20   30   19   35   34   36   37   35    98    8
 20   11   28   43   23   10   25   27   27   27   25    70   10
 21   34   35   10   50   39   40   39   41   41   40    69   17
 22   44   35   17   24   38   32   29   30   30   32    94    1
 23   14   20   34   23   45   24   26   24   24   26    79    3
 24   26   48   19   30   40   31   31   32   34   34    71    9
 25   41   19   17   13   23   26   23   23   23   24    85    5
 26   22   35   14   38   39   30   31   32   33   32    69   11
 27   13   44   21   24   30   37   39   39   42   41    75   20
 28   38   45   26   43   13   23   23   25   26   23    70    1
 29   45   30   32   46   27   30   29   30   29   28    72    3
 30   42   43   17   38   13   39   37   40   40   38    81   14
 31   16   18   41   25   23   37   39   38   37   37    92   15
 32   39   24   33   22   30   27   26   25   24   26    80    2
 33   28   35   37   35   40   32   33   33   33   33    79    5
 34   33   23   27   17   20   39   38   38   37   38    89   17
 35   46   47   38   29   15   48   47   48   48   47    88   17
 36   36   12   47   38   36   41   41   39   37   38    74   14
 37   43   40   32   20   36   46   44   44   45   47    98   12
 38   36   48   44   33   21   40   41   41   42   41    77   13
 39   38   28   46   45   36   41   41   41   39   39    68   14
 40   34   26   37   42   23   41   41   41   40   39    65   19
 41   11   20   20   34   13   36   38   39   39   36    98   18
 42   29   40   18   30   36   41   40   41   43   43    84   16
 43   19   35   48   22   38   21   23   21   22   23    64    1
 44   48   27   19   13   36   26   23   23   23   25    66    5
 45   19   25   47   34   42   48   50   48   48   49    94   17
 46   41   46   22   24   43   33   31   32   34   35    91    1
 47   48   22   31   36   23   27   25   26   24   24    69    3
 48   44   26   49   16   24   46   45   43   42   44    88   16
 49   38   28   21   29   27   38   37   38   37   37    65   19
 50   27   12   12   25   42   25   24   24   23   25    63    9
 51   31   28   27   11   24   27   27   26   26   28    74    9
 52   24   15   28   28   36   28   28   27   26   27   100    1
 53   13   39   36   13   21   26   28   27   29   28    68   11
 54   11   43   42   29   35   26   29   28   30   29    64    8
 55   13   48   44   27   25   35   39   39   42   40    96    9
 56   35   41   48   27   38   57   58   57   57   59   100   20
 57   29   31   14   50   49   29   29   30   30   30    79    2
 58   33   27   24   32   36   31   30   31   30   31    91    3
 59   11   47   36   25   14   33   36   36   38   36    64   19
 60   20   46   12   39   19   34   35   39   41   37    97   11
 61   15   35   48   33   19   45   49   48   48   46    97   18
 62   50   13   34   47   16   38   36   36   32   31    89    6
 63   39   42   23   23   15   39   38   39   40   39    69   20
 64   47   18   37   13   47   42   39   37   35   40    95    8
 65   45   10   40   39   38   47   46   45   42   43    74   19
 66   12   24   10   36   39   34   34   36   37   36    99   11
 67   32   17   13   12   29   25   23   23   23   24    81    7
 68   19   21   24   24   14   26   26   27   26   25    84    9
 69   29   14   14   50   26   21   20   22   20   19    72    1
 70   45   10   29   12   40   37   35   33   31   35    74   14
 71   17   27   29   27   42   39   41   40   40   41    82   17
 72   25   27   39   36   40   22   23   22   22   22    60    2
 73   35   38   24   13   46   23   22   21   23   25    70    1
 74   13   12   31   47   37   27   28   28   26   26    84    3
 75   32   11   24   33   22   34   33   33   31   31    62   17
 76   27   42   47   14   11   20   21   21   22   21    68    2
 77   46   11   24   41   32   48   45   45   42   42    91   16
 78   17   20   23   43   14   34   35   36   35   33    62   20
 79   34   35   14   12   40   30   28   28   30   32    89    6
 80   39   41   46   28   40   48   48   47   47   49   100    9
 81   21   43   34   19   39   33   35   34   37   37    88    8
 82   22   18   12   25   12   27   26   28   27   26    95   10
 83   19   44   43   50   47   29   31   31   32   31    65    4
 84   14   10   35   12   44   26   27   24   23   27    80    7
 85   45   34   26   19   27   42   40   40   40   41    83   16
 86   31   21   26   49   23   36   36   38   35   33    98    6
 87   32   31   17   17   46   34   32   32   33   36    99    5
 88   14   29   33   32   48   25   27   26   26   27    80    1
 89   13   22   18   38   16   31   32   33   33   31    82   14
 90   14   25   43   28   26   43   46   44   44   44    92   19
 91   32   30   12   23   10   36   34   36   36   35    72   20
 92   20   43   45   33   19   35   39   39   40   37    97    7
 93   13   14   21   12   15   22   22   22   22   22    61   13
 94   15   40   34   32   41   43   45   45   46   46    77   20
 95   27   13   47   33   20   28   29   28   25   25    89    2
 96   38   15   38   11   47   47   46   43   41   46    93   17
 97   18   33   14   43   17   19   19   21   22   19    72    2
 98   15   12   16   12   14   15   15   14   14   14    83    3
 99   11   34   32   43   35   22   24   25   25   24    70    2
100   23   14   45   14   24   35   36   34   32   34    76   16
101   28   10   26   15   14   25   24   23   22   23    61   12
