index 213
DMU 20
input 5
output 5
instance 3
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   50   40   20   36   47   35   34   37   36   33    67    9
  2   34   38   50   29   26   45   45   43   44   46    87   14
  3   15   11   47   29   46   37   40   38   36   41    81   15
  4   35   45   13   23   43   28   28   30   31   28    63    9
  5   22   12   38   38   24   40   39   38   36   40    74   19
  6   39   49   42   29   46   47   49   48   50   49    82   15
  7   27   21   42   30   22   23   23   21   21   23    64    4
  8   35   44   41   27   23   46   47   45   47   46    80   19
  9   46   23   20   31   14   46   43   46   43   40    92   19
 10   15   27   42   16   11   21   22   20   21   23    61    8
 11   19   15   21   41   39   27   26   27   25   27    87    3
 12   20   22   40   19   24   26   27   25   26   28    74    8
 13   12   18   37   23   35   32   34   32   32   36    94   10
 14   26   20   36   35   13   28   26   26   25   26    62   10
 15   21   14   48   22   15   24   25   22   22   25    70    7
 16   37   11   39   24   18   26   26   25   24   24    63    9
 17   31   47   17   27   16   31   29   30   32   29    78    8
 18   21   43   10   18   12   26   25   25   28   25    91    6
 19   44   19   21   48   31   34   32   34   31   31    66   11
 20   33   25   45   31   44   28   29   29   28   29    64    6
