index 92
DMU 10
input 5
output 5
instance 2
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   29   41   20   38   47   41   41   40   39   40    77   13
  2   26   48   46   11   30   27   26   30   30   29    68    8
  3   16   26   30   40   45   31   33   30   31   33    98    0
  4   12   41   23   12   43   23   22   24   24   25    73    5
  5   12   39   31   33   35   32   33   33   32   33    74   11
  6   28   18   43   35   21   33   35   33   35   34    82   10
  7   47   46   35   25   26   28   26   28   28   27    62    6
  8   39   23   47   22   28   46   46   48   50   48    87   20
  9   23   40   28   20   18   18   17   18   18   17    64    2
 10   28   13   29   37   28   32   33   31   32   32    63   14
