index 211
DMU 20
input 5
output 5
instance 1
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   47   32   48   32   42   31   31   31   31   31    64    5
  2   20   27   47   33   25   33   32   35   32   32    72   12
  3   37   34   49   30   17   45   44   47   46   45    84   18
  4   36   17   11   20   42   24   26   21   24   25    72    5
  5   44   20   41   40   36   38   40   38   38   40    83    9
  6   19   26   40   36   49   43   42   43   39   41   100    8
  7   11   16   17   16   35   33   33   33   32   33    66   20
  8   32   47   34   32   36   30   29   31   30   30    72    4
  9   24   21   13   34   38   33   35   31   32   34    87   10
 10   22   39   45   41   16   31   30   33   31   30    61   12
 11   28   19   19   35   20   30   32   29   31   31    68   14
 12   39   36   32   20   19   41   40   41   42   41    75   19
 13   14   39   17   37   36   25   25   25   25   25    73    4
 14   19   25   14   49   32   46   50   46   46   47   100   19
 15   17   40   38   12   19   18   14   19   17   16    65    1
 16   46   30   31   27   21   31   32   30   34   32    96    2
 17   41   39   36   17   23   21   19   21   22   21    60    2
 18   49   13   39   23   38   37   38   36   37   38    65   16
 19   21   15   46   25   44   39   38   39   35   37    90   11
 20   37   21   24   24   21   22   23   21   24   23    85    1
