index 484
DMU 250
input 2
output 2
instance 4
DMU   i1   i2   o1   o2   eff  err
  1   17   32   28   30    63   13
  2   10   41   24   28    78    5
  3   49   26   49   45    74   20
  4   26   19   22   21    93    1
  5   46   42   49   48    69   18
  6   33   38   46   46    87   15
  7   16   42   27   31    83    4
  8   42   23   35   33    72   11
  9   48   36   53   51    89   15
 10   49   31   54   51    92   16
 11   34   30   40   40    66   19
 12   11   48   39   45    86   15
 13   39   27   49   47    85   20
 14   45   39   41   40    92    2
 15   32   50   54   57    95   16
 16   15   43   31   36    96    5
 17   19   19   33   33    92   16
 18   21   27   28   29    67   12
 19   49   18   43   38    95   10
 20   13   25   18   20    87    2
 21   22   15   15   14    73    1
 22   16   35   37   40    70   20
 23   30   41   41   43    84   12
 24   23   13   28   26    74   14
 25   26   23   24   24    99    0
 26   31   33   23   24    70    1
 27   40   50   45   47    75   12
 28   21   17   33   32    83   17
 29   23   33   22   23    72    2
 30   36   17   29   26    83    6
 31   12   47   34   39    69   15
 32   14   32   16   18    71    0
 33   34   19   41   39    97   15
 34   12   14   32   33    96   20
 35   41   34   52   51    87   19
 36   49   27   39   36    74   10
 37   22   37   40   43    85   16
 38   22   46   34   38    88    5
 39   43   36   56   54    92   19
 40   43   46   32   32    67    2
 41   47   12   39   35    63   19
 42   27   20   22   21    81    3
 43   14   16   31   31    73   20
 44   27   47   41   43    61   19
 45   10   42   29   33    63   14
 46   37   10   41   37    98   17
 47   42   42   52   52    99   10
 48   47   49   59   59    89   16
 49   19   40   36   40    95    9
 50   32   37   43   44    86   14
 51   12   50   19   24    67    0
 52   45   18   23   20    60    3
 53   41   34   46   45    89   12
 54   20   46   24   27    61    5
 55   30   26   33   33    75   12
 56   36   28   41   40    96   10
 57   26   22   32   31    95    9
 58   29   12   18   16    60    5
 59   45   19   43   39    87   14
 60   44   25   43   40    93   10
 61   19   20   30   30    71   16
 62   12   50   31   35    64   12
 63   24   37   26   28    68    6
 64   29   23   42   41    88   19
 65   18   34   22   24    68    5
 66   40   50   53   54    89   13
 67   20   21   34   34    72   19
 68   28   41   40   43    99    7
 69   11   43   21   25    74    2
 70   24   49   30   34    83    1
 71   16   45   42   47    95   14
 72   25   18   21   20    64    7
 73   18   34   28   30    68   11
 74   40   13   36   33    64   18
 75   27   35   29   30    81    4
 76   40   37   45   45    81   14
 77   21   36   37   40    99   10
 78   30   48   41   44    87    8
 79   50   36   45   43    84    8
 80   16   33   40   43    90   19
 81   48   25   41   38    86    9
 82   42   13   37   32    90   11
 83   50   13   46   39    95   14
 84   33   37   45   46    75   19
 85   49   44   43   42    85    3
 86   34   47   32   34    73    3
 87   22   36   35   37    87   10
 88   29   15   27   25    81    9
 89   20   39   25   28    86    0
 90   30   47   36   38    69   10
 91   41   45   56   57    85   20
 92   44   42   39   39    77    6
 93   50   26   27   24    66    1
 94   18   49   29   33    66    8
 95   44   34   36   35    82    4
 96   46   16   30   26    80    4
 97   49   41   51   49    92    9
 98   25   28   24   24    68    6
 99   36   39   41   41    83   10
100   12   44   18   22    62    2
101   34   46   48   50    93   11
102   30   36   29   30    74    5
103   33   24   43   42    91   17
104   42   27   38   36    61   16
105   28   16   22   21    62    8
106   25   30   34   35    63   17
107   35   36   28   29    66    5
108   14   48   38   42    74   16
109   22   37   47   50   100   18
110   23   36   28   29    62   10
111   32   11   32   29    99   10
112   41   48   33   34    65    4
113   24   37   43   45    82   19
114   24   19   22   21    87    3
115   11   36   27   32    92    7
116   11   46   34   41    99    8
117   12   23   29   30    75   16
118   38   29   48   46    93   16
119   22   30   37   39    76   18
120   50   22   46   42    75   18
121   32   45   39   41    62   16
122   25   32   31   32    82    8
123   40   13   39   35    84   16
124   14   25   26   28    95    8
125   33   22   23   21    70    3
126   43   48   50   51    97    6
127   50   47   50   50    78   12
128   34   10   28   24    85    8
129   42   23   36   34    79   10
130   18   21   26   27    89    9
131   21   28   44   45    98   20
132   28   11   26   24    67   12
133   47   23   45   42    70   20
134   49   36   31   29    64    3
135   38   49   42   44    87    5
136   34   26   29   27    88    2
137   21   19   29   29    74   14
138   33   41   39   40    92    5
139   36   21   28   25    84    3
140   13   28   32   34    70   18
141   25   19   19   18    77    2
142   49   44   53   53    93   10
143   41   13   32   28    78   10
144   50   38   59   57    95   17
145   10   38   33   37    81   15
146   40   33   56   55    98   20
147   45   27   42   39    96    7
148   30   50   51   54    99   12
149   34   21   38   35    95   11
150   33   41   36   37    81    6
151   27   19   23   22    62    8
152   43   20   40   37    69   17
153   15   19   24   25    80   11
154   29   15   22   21    68    7
155   31   20   27   26    65   10
156   20   45   46   50    99   15
157   35   27   36   35    97    6
158   49   14   20   16    60    0
159   48   46   46   46    96    1
160   28   34   39   40    88   12
161   17   35   26   29    77    7
162   36   36   37   37    80    8
163   26   45   40   43    82   12
164   29   40   35   36    82    7
165   39   30   25   24    67    2
166   33   24   26   25    84    2
167   43   17   39   36    65   19
168   46   22   44   39    98    9
169   31   30   29   28    74    6
170   17   29   28   30    94    7
171   10   48   34   39    80   12
172   16   36   18   20    68    1
173   21   27   22   23    82    3
174   33   17   26   23    80    5
175   36   44   43   45    89    8
176   30   25   33   32    80   11
177   43   31   33   32    89    0
178   37   45   28   29    65    2
179   42   32   28   27    65    4
180   32   10   27   24    81    9
181   49   11   47   41    88   19
182   21   32   37   39    86   15
183   16   45   34   38    70   14
184   38   43   51   52    90   15
185   14   17   11   11    69    0
186   40   31   35   34    65   12
187   43   40   49   49    80   16
188   44   31   53   51    87   20
189   48   42   34   33    66    4
190   17   24   29   30    87   11
191   29   17   35   33    81   16
192   19   28   27   29   100    4
193   42   10   31   25    94    5
194   29   43   26   27    62    4
195   34   40   35   36    86    3
196   21   38   29   31    73    8
