index 336
DMU 150
input 5
output 5
instance 6
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   39   21   37   43   41   44   46   45   47   47    86   15
  2   27   43   48   15   48   50   50   46   45   51    82   18
  3   26   47   35   39   20   51   50   52   50   47    93   19
  4   33   16   44   34   40   45   49   45   48   50    94   16
  5   49   46   46   30   30   56   53   53   54   52    92   17
  6   45   27   25   39   29   28   28   29   30   27    63    8
  7   50   46   16   35   14   45   39   45   45   37    97   12
  8   16   46   50   46   28   24   25   25   24   24    62    1
  9   27   33   20   44   35   33   34   35   34   34    60   15
 10   46   25   27   35   46   36   36   36   36   37    65   13
 11   23   41   48   42   48   39   41   39   39   41    65   13
 12   22   41   13   49   11   27   26   30   29   24    68    9
 13   28   41   18   38   25   37   36   39   37   34    92    9
 14   26   23   31   43   38   22   24   23   24   24    60    4
 15   11   23   25   30   20   31   33   33   32   32    95   11
 16   12   35   23   17   39   45   45   43   40   46    99   18
 17   41   30   31   48   34   31   32   33   34   32    78    4
 18   35   47   18   36   24   43   40   44   42   38    90   13
 19   10   37   36   46   27   30   32   32   31   31    63   11
 20   34   20   47   32   23   37   38   36   38   38    66   17
 21   28   26   45   38   17   34   35   35   37   34    89    8
 22   42   14   32   18   29   23   22   21   23   24    78    2
 23   42   20   38   47   22   36   37   38   41   37    97    6
 24   45   18   45   20   45   43   44   41   43   47    86   14
 25   13   49   42   15   33   42   41   40   37   41    77   16
 26   24   22   39   14   33   29   29   27   28   30    62   12
 27   49   21   18   37   24   30   28   31   33   28    90    4
 28   40   29   23   36   19   28   26   28   29   25    71    7
 29   45   49   23   38   44   47   45   47   45   45    98    7
 30   13   33   20   41   25   21   22   23   21   21    65    4
 31   42   34   11   23   15   39   35   38   38   33    90   15
 32   22   29   40   24   23   40   40   39   39   40    88   15
 33   11   34   31   47   24   28   31   32   30   29    98    1
 34   48   48   37   37   27   55   51   54   54   50    89   18
 35   12   43   13   39   46   33   34   35   31   34    84    7
 36   26   22   18   13   14   34   32   33   33   32    96   15
 37   23   18   10   11   35   37   37   36   35   39    90   19
 38   44   21   47   20   27   28   27   26   28   28    69    6
 39   46   50   37   27   15   40   36   38   38   34    67   14
 40   47   26   22   12   47   48   46   45   45   49    87   20
 41   17   28   11   21   46   34   35   34   33   36    65   18
 42   36   16   21   29   44   29   31   30   31   32    74    9
 43   32   33   25   37   26   42   41   43   42   40    94   13
 44   33   40   28   48   19   33   32   35   34   30    78    7
 45   25   22   37   26   33   33   34   33   34   35    62   16
 46   44   41   18   28   26   42   39   41   40   38    71   18
 47   45   42   26   43   20   35   32   36   36   30    93    2
 48   20   42   37   26   46   33   34   32   30   35    82    4
 49   28   16   24   36   35   22   24   24   24   25    71    4
 50   26   21   49   33   45   41   45   41   42   46    80   15
 51   44   25   45   11   21   38   36   34   37   36    81   13
 52   44   24   18   26   33   27   25   26   27   26    89    1
 53   22   46   35   17   49   37   36   34   32   37    70   11
 54   42   41   28   41   21   27   25   28   28   24    63    5
 55   26   14   38   31   26   35   37   36   38   38    77   16
 56   23   25   20   39   41   21   23   23   22   23    64    3
 57   28   37   19   50   22   33   33   36   35   31    86    7
 58   28   28   26   19   42   28   28   27   26   30    89    2
 59   28   40   33   33   35   26   26   26   26   26    62    5
 60   45   13   14   49   27   32   33   35   37   33    69   14
 61   15   23   38   46   11   23   26   26   27   23    90    1
 62   28   35   35   22   44   40   40   38   37   41    85   11
 63   48   19   29   28   35   37   36   36   38   37    64   17
 64   14   44   46   15   36   33   33   30   28   33    76    7
 65   38   28   28   31   21   35   33   35   35   33    74   13
 66   42   25   43   24   28   49   48   46   49   49    97   17
 67   50   19   35   42   40   31   32   32   35   34    87    1
 68   45   45   27   39   13   35   32   35   35   29    77    8
 69   42   12   37   35   10   32   32   33   36   32    72   14
 70   38   41   37   12   40   37   35   33   33   36    70   11
 71   15   34   32   20   17   24   23   23   22   22    82    3
 72   25   37   50   12   48   40   40   37   36   42    62   17
 73   29   16   50   18   16   27   27   24   28   28    93    3
 74   19   33   39   42   35   31   33   32   32   33    62   11
 75   33   40   27   42   21   32   31   33   33   30    62   12
 76   41   10   19   13   39   24   23   22   24   26    74    6
 77   27   23   20   23   37   41   42   41   41   43    93   17
 78   23   39   20   25   31   31   30   31   29   30    61   13
 79   26   14   19   42   20   22   24   25   26   23    89    3
 80   15   32   32   16   22   25   25   24   23   25    93    2
 81   20   11   16   48   36   21   25   25   25   25    70    6
 82   36   14   33   27   17   26   27   26   29   27    89    5
 83   26   25   42   30   25   27   28   26   27   28    78    4
 84   35   42   45   32   31   26   26   26   25   25    64    2
 85   10   17   23   22   50   35   39   36   35   41    75   18
 86   31   28   29   42   30   28   29   30   30   29    76    5
 87   48   44   18   29   46   49   46   48   47   47    80   18
 88   49   35   48   50   17   40   39   41   43   37    88    6
 89   20   24   30   25   11   23   23   23   24   22    96    2
 90   15   25   28   35   47   23   26   25   24   27    68    4
 91   37   36   31   48   11   47   46   49   50   43    91   18
 92   27   39   15   43   39   31   32   33   31   31    75    7
 93   27   28   43   37   24   38   40   39   40   39    99    8
 94   41   17   32   15   32   24   23   22   23   24    71    4
 95   38   22   33   38   38   45   47   46   48   48    97   14
 96   27   16   27   49   31   29   31   31   32   31    60   13
 97   27   44   25   47   13   41   40   43   42   37    74   18
 98   27   46   27   25   48   49   49   48   45   49    91   16
 99   16   44   15   38   21   29   28   31   28   26    72    9
100   45   17   13   39   26   26   25   27   28   25    60   10
101   27   29   21   14   18   26   24   24   24   23    70    9
102   27   30   41   22   46   30   31   29   28   32    65    8
103   37   31   41   38   39   47   48   47   48   49    96   12
104   44   50   26   24   29   40   35   38   36   35    87    7
105   50   39   32   38   48   43   42   42   42   43    71   13
106   17   21   46   31   29   36   39   36   37   39    84   13
107   42   41   16   29   34   35   32   34   33   32    70   11
108   45   35   31   15   25   35   30   31   32   31   100    2
109   11   29   29   33   11   16   17   18   17   16    65    2
110   15   43   46   35   46   53   56   53   51   57    95   18
111   36   13   49   39   24   40   42   41   44   42    72   19
112   20   40   15   18   30   36   35   36   34   35    60   20
113   43   35   35   15   26   31   29   29   29   29    61   11
114   23   43   15   30   15   32   30   32   30   28    65   14
115   35   41   27   30   44   48   47   47   46   47    78   19
116   16   49   45   33   50   49   51   48   45   51    90   13
117   15   47   27   21   22   42   40   41   38   39    81   18
118   22   36   11   43   19   38   37   41   39   35    84   16
119   13   23   27   43   11   37   40   41   41   37    99   16
120   18   44   14   34   35   27   27   28   25   26    73    5
121   11   17   26   47   35   33   39   38   38   39    91   12
122   49   37   17   47   48   32   32   34   34   32    71    5
123   15   40   40   35   38   42   45   43   41   44    90   12
124   11   39   30   24   29   19   19   19   17   19    61    2
125   35   19   15   34   47   39   41   41   41   43    97   12
